SA2_CODE,obsValue,ARR_BAND
123011434,275,Arrived 1956 - 1965
123011434,594,Arrived 1966 - 1975
123011434,445,Arrived 1976 - 1985
123011434,638,Arrived 1986 - 1995
123011434,579,Arrived 1996 - 2005
123011434,601,Arrived 2006 - 2015
123011434,30,Arrived 1 Jan 2016 - 9 August 2016
123011434,88,Not stated
123011435,4700,Total
123011435,0,Arrived 1900 - 1945
123011435,109,Arrived 1946 - 1955
123011435,310,Arrived 1956 - 1965
123011435,711,Arrived 1966 - 1975
123011435,642,Arrived 1976 - 1985
123011435,893,Arrived 1986 - 1995
123011435,832,Arrived 1996 - 2005
123011435,1051,Arrived 2006 - 2015
123011435,42,Arrived 1 Jan 2016 - 9 August 2016
123011435,113,Not stated
123021436,3980,Total
123021436,6,Arrived 1900 - 1945
123021436,99,Arrived 1946 - 1955
123021436,265,Arrived 1956 - 1965
123021436,624,Arrived 1966 - 1975
123021436,512,Arrived 1976 - 1985
123021436,776,Arrived 1986 - 1995
123021436,674,Arrived 1996 - 2005
123021436,821,Arrived 2006 - 2015
123021436,65,Arrived 1 Jan 2016 - 9 August 2016
123021436,131,Not stated
123021437,5936,Total
123021437,5,Arrived 1900 - 1945
123021437,127,Arrived 1946 - 1955
123021437,277,Arrived 1956 - 1965
123021437,596,Arrived 1966 - 1975
123021437,644,Arrived 1976 - 1985
123021437,1189,Arrived 1986 - 1995
123021437,1139,Arrived 1996 - 2005
123021437,1676,Arrived 2006 - 2015
123021437,111,Arrived 1 Jan 2016 - 9 August 2016
123021437,165,Not stated
123021438,4933,Total
123021438,3,Arrived 1900 - 1945
123021438,79,Arrived 1946 - 1955
123021438,264,Arrived 1956 - 1965
123021438,704,Arrived 1966 - 1975
123021438,788,Arrived 1976 - 1985
123021438,1085,Arrived 1986 - 1995
123021438,979,Arrived 1996 - 2005
123021438,870,Arrived 2006 - 2015
123021438,31,Arrived 1 Jan 2016 - 9 August 2016
123021438,143,Not stated
123021439,0,Total
123021439,0,Arrived 1900 - 1945
123021439,0,Arrived 1946 - 1955
123021439,0,Arrived 1956 - 1965
123021439,0,Arrived 1966 - 1975
123021439,0,Arrived 1976 - 1985
123021439,0,Arrived 1986 - 1995
123021439,0,Arrived 1996 - 2005
123021439,0,Arrived 2006 - 2015
123021439,0,Arrived 1 Jan 2016 - 9 August 2016
123021439,0,Not stated
123021440,7746,Total
123021440,3,Arrived 1900 - 1945
123021440,146,Arrived 1946 - 1955
123021440,322,Arrived 1956 - 1965
123021440,607,Arrived 1966 - 1975
123021440,597,Arrived 1976 - 1985
123021440,1437,Arrived 1986 - 1995
123021440,1793,Arrived 1996 - 2005
123021440,2486,Arrived 2006 - 2015
123021440,131,Arrived 1 Jan 2016 - 9 August 2016
123021440,235,Not stated
123021441,4313,Total
123021441,8,Arrived 1900 - 1945
123021441,122,Arrived 1946 - 1955
123021441,269,Arrived 1956 - 1965
123021441,653,Arrived 1966 - 1975
123021441,449,Arrived 1976 - 1985
123021441,749,Arrived 1986 - 1995
123021441,833,Arrived 1996 - 2005
123021441,1042,Arrived 2006 - 2015
123021441,74,Arrived 1 Jan 2016 - 9 August 2016
123021441,127,Not stated
123021442,9738,Total
123021442,4,Arrived 1900 - 1945
123021442,134,Arrived 1946 - 1955
123021442,266,Arrived 1956 - 1965
123021442,620,Arrived 1966 - 1975
123021442,764,Arrived 1976 - 1985
123021442,1822,Arrived 1986 - 1995
123021442,2492,Arrived 1996 - 2005
123021442,3258,Arrived 2006 - 2015
123021442,151,Arrived 1 Jan 2016 - 9 August 2016
123021442,234,Not stated
123021443,7744,Total
123021443,3,Arrived 1900 - 1945
123021443,80,Arrived 1946 - 1955
123021443,245,Arrived 1956 - 1965
123021443,565,Arrived 1966 - 1975
123021443,724,Arrived 1976 - 1985
123021443,1496,Arrived 1986 - 1995
123021443,1852,Arrived 1996 - 2005
123021443,2456,Arrived 2006 - 2015
123021443,117,Arrived 1 Jan 2016 - 9 August 2016
123021443,200,Not stated
123021444,5254,Total
123021444,3,Arrived 1900 - 1945
123021444,104,Arrived 1946 - 1955
123021444,271,Arrived 1956 - 1965
123021444,766,Arrived 1966 - 1975
123021444,867,Arrived 1976 - 1985
123021444,1171,Arrived 1986 - 1995
123021444,830,Arrived 1996 - 2005
123021444,1029,Arrived 2006 - 2015
123021444,45,Arrived 1 Jan 2016 - 9 August 2016
123021444,176,Not stated
123031445,671,Total
123031445,0,Arrived 1900 - 1945
123031445,62,Arrived 1946 - 1955
123031445,116,Arrived 1956 - 1965
123031445,191,Arrived 1966 - 1975
123031445,86,Arrived 1976 - 1985
123031445,82,Arrived 1986 - 1995
123031445,53,Arrived 1996 - 2005
123031445,72,Arrived 2006 - 2015
123031445,0,Arrived 1 Jan 2016 - 9 August 2016
123031445,23,Not stated
123031446,1123,Total
123031446,3,Arrived 1900 - 1945
123031446,63,Arrived 1946 - 1955
123031446,153,Arrived 1956 - 1965
123031446,296,Arrived 1966 - 1975
123031446,163,Arrived 1976 - 1985
123031446,155,Arrived 1986 - 1995
123031446,117,Arrived 1996 - 2005
123031446,113,Arrived 2006 - 2015
123031446,3,Arrived 1 Jan 2016 - 9 August 2016
123031446,60,Not stated
123031447,2022,Total
123031447,11,Arrived 1900 - 1945
123031447,166,Arrived 1946 - 1955
123031447,264,Arrived 1956 - 1965
123031447,500,Arrived 1966 - 1975
123031447,281,Arrived 1976 - 1985
123031447,231,Arrived 1986 - 1995
123031447,243,Arrived 1996 - 2005
123031447,207,Arrived 2006 - 2015
123031447,7,Arrived 1 Jan 2016 - 9 August 2016
123031447,110,Not stated
123031448,1096,Total
123031448,5,Arrived 1900 - 1945
123031448,83,Arrived 1946 - 1955
123031448,164,Arrived 1956 - 1965
123031448,241,Arrived 1966 - 1975
123031448,132,Arrived 1976 - 1985
123031448,136,Arrived 1986 - 1995
123031448,120,Arrived 1996 - 2005
123031448,145,Arrived 2006 - 2015
123031448,15,Arrived 1 Jan 2016 - 9 August 2016
123031448,50,Not stated
124011449,1049,Total
124011449,11,Arrived 1900 - 1945
124011449,67,Arrived 1946 - 1955
124011449,162,Arrived 1956 - 1965
124011449,244,Arrived 1966 - 1975
124011449,167,Arrived 1976 - 1985
124011449,135,Arrived 1986 - 1995
124011449,128,Arrived 1996 - 2005
124011449,107,Arrived 2006 - 2015
124011449,8,Arrived 1 Jan 2016 - 9 August 2016
124011449,22,Not stated
124011450,2702,Total
124011450,10,Arrived 1900 - 1945
124011450,209,Arrived 1946 - 1955
124011450,372,Arrived 1956 - 1965
124011450,573,Arrived 1966 - 1975
124011450,440,Arrived 1976 - 1985
124011450,332,Arrived 1986 - 1995
124011450,335,Arrived 1996 - 2005
124011450,362,Arrived 2006 - 2015
124011450,5,Arrived 1 Jan 2016 - 9 August 2016
124011450,50,Not stated
124011451,0,Total
124011451,0,Arrived 1900 - 1945
124011451,0,Arrived 1946 - 1955
124011451,0,Arrived 1956 - 1965
124011451,0,Arrived 1966 - 1975
124011451,0,Arrived 1976 - 1985
124011451,0,Arrived 1986 - 1995
124011451,0,Arrived 1996 - 2005
124011451,0,Arrived 2006 - 2015
124011451,0,Arrived 1 Jan 2016 - 9 August 2016
124011451,0,Not stated
124011452,2873,Total
124011452,13,Arrived 1900 - 1945
124011452,195,Arrived 1946 - 1955
124011452,356,Arrived 1956 - 1965
124011452,578,Arrived 1966 - 1975
124011452,398,Arrived 1976 - 1985
124011452,323,Arrived 1986 - 1995
124011452,316,Arrived 1996 - 2005
124011452,466,Arrived 2006 - 2015
124011452,105,Arrived 1 Jan 2016 - 9 August 2016
124011452,134,Not stated
124011453,1842,Total
124011453,10,Arrived 1900 - 1945
124011453,114,Arrived 1946 - 1955
124011453,267,Arrived 1956 - 1965
124011453,500,Arrived 1966 - 1975
124011453,302,Arrived 1976 - 1985
124011453,247,Arrived 1986 - 1995
124011453,177,Arrived 1996 - 2005
124011453,165,Arrived 2006 - 2015
124011453,14,Arrived 1 Jan 2016 - 9 August 2016
124011453,44,Not stated
124011454,3277,Total
124011454,29,Arrived 1900 - 1945
124011454,261,Arrived 1946 - 1955
124011454,470,Arrived 1956 - 1965
124011454,817,Arrived 1966 - 1975
124011454,496,Arrived 1976 - 1985
124011454,413,Arrived 1986 - 1995
124011454,349,Arrived 1996 - 2005
124011454,320,Arrived 2006 - 2015
124011454,14,Arrived 1 Jan 2016 - 9 August 2016
124011454,112,Not stated
124011455,1171,Total
124011455,7,Arrived 1900 - 1945
124011455,85,Arrived 1946 - 1955
124011455,168,Arrived 1956 - 1965
124011455,284,Arrived 1966 - 1975
124011455,194,Arrived 1976 - 1985
124011455,144,Arrived 1986 - 1995
124011455,142,Arrived 1996 - 2005
124011455,100,Arrived 2006 - 2015
124011455,12,Arrived 1 Jan 2016 - 9 August 2016
124011455,35,Not stated
124021456,3,Total
124021456,0,Arrived 1900 - 1945
124021456,0,Arrived 1946 - 1955
124021456,0,Arrived 1956 - 1965
124021456,3,Arrived 1966 - 1975
124021456,0,Arrived 1976 - 1985
124021456,0,Arrived 1986 - 1995
124021456,0,Arrived 1996 - 2005
124021456,0,Arrived 2006 - 2015
124021456,0,Arrived 1 Jan 2016 - 9 August 2016
124021456,0,Not stated
124031457,2456,Total
124031457,4,Arrived 1900 - 1945
124031457,126,Arrived 1946 - 1955
124031457,287,Arrived 1956 - 1965
124031457,545,Arrived 1966 - 1975
124031457,321,Arrived 1976 - 1985
124031457,348,Arrived 1986 - 1995
124031457,340,Arrived 1996 - 2005
124031457,403,Arrived 2006 - 2015
124031457,15,Arrived 1 Jan 2016 - 9 August 2016
124031457,64,Not stated
124031458,4447,Total
124031458,5,Arrived 1900 - 1945
124031458,163,Arrived 1946 - 1955
124031458,341,Arrived 1956 - 1965
124031458,669,Arrived 1966 - 1975
124031458,499,Arrived 1976 - 1985
124031458,595,Arrived 1986 - 1995
124031458,724,Arrived 1996 - 2005
124031458,1307,Arrived 2006 - 2015
124031458,41,Arrived 1 Jan 2016 - 9 August 2016
124031458,109,Not stated
124031459,2212,Total
124031459,11,Arrived 1900 - 1945
124031459,171,Arrived 1946 - 1955
124031459,318,Arrived 1956 - 1965
124031459,525,Arrived 1966 - 1975
124031459,351,Arrived 1976 - 1985
124031459,282,Arrived 1986 - 1995
124031459,197,Arrived 1996 - 2005
124031459,249,Arrived 2006 - 2015
124031459,9,Arrived 1 Jan 2016 - 9 August 2016
124031459,98,Not stated
124031460,4137,Total
124031460,4,Arrived 1900 - 1945
124031460,116,Arrived 1946 - 1955
124031460,278,Arrived 1956 - 1965
124031460,653,Arrived 1966 - 1975
124031460,576,Arrived 1976 - 1985
124031460,819,Arrived 1986 - 1995
124031460,776,Arrived 1996 - 2005
124031460,779,Arrived 2006 - 2015
124031460,30,Arrived 1 Jan 2016 - 9 August 2016
124031460,107,Not stated
124031461,3118,Total
124031461,7,Arrived 1900 - 1945
124031461,185,Arrived 1946 - 1955
124031461,312,Arrived 1956 - 1965
124031461,670,Arrived 1966 - 1975
124031461,408,Arrived 1976 - 1985
124031461,403,Arrived 1986 - 1995
124031461,422,Arrived 1996 - 2005
124031461,606,Arrived 2006 - 2015
124031461,23,Arrived 1 Jan 2016 - 9 August 2016
124031461,82,Not stated
124031462,5316,Total
124031462,9,Arrived 1900 - 1945
124031462,140,Arrived 1946 - 1955
124031462,252,Arrived 1956 - 1965
124031462,562,Arrived 1966 - 1975
124031462,396,Arrived 1976 - 1985
124031462,795,Arrived 1986 - 1995
124031462,971,Arrived 1996 - 2005
124031462,1889,Arrived 2006 - 2015
124031462,128,Arrived 1 Jan 2016 - 9 August 2016
124031462,171,Not stated
124031463,1718,Total
124031463,7,Arrived 1900 - 1945
124031463,165,Arrived 1946 - 1955
124031463,233,Arrived 1956 - 1965
124031463,302,Arrived 1966 - 1975
124031463,197,Arrived 1976 - 1985
124031463,264,Arrived 1986 - 1995
124031463,267,Arrived 1996 - 2005
124031463,252,Arrived 2006 - 2015
124031463,5,Arrived 1 Jan 2016 - 9 August 2016
124031463,42,Not stated
124031464,3167,Total
124031464,5,Arrived 1900 - 1945
124031464,137,Arrived 1946 - 1955
124031464,262,Arrived 1956 - 1965
124031464,421,Arrived 1966 - 1975
124031464,259,Arrived 1976 - 1985
124031464,385,Arrived 1986 - 1995
124031464,479,Arrived 1996 - 2005
124031464,993,Arrived 2006 - 2015
124031464,59,Arrived 1 Jan 2016 - 9 August 2016
124031464,173,Not stated
124031465,574,Total
124031465,0,Arrived 1900 - 1945
124031465,48,Arrived 1946 - 1955
124031465,114,Arrived 1956 - 1965
124031465,136,Arrived 1966 - 1975
124031465,91,Arrived 1976 - 1985
124031465,67,Arrived 1986 - 1995
124031465,47,Arrived 1996 - 2005
124031465,39,Arrived 2006 - 2015
124031465,3,Arrived 1 Jan 2016 - 9 August 2016
124031465,25,Not stated
124041466,1988,Total
124041466,21,Arrived 1900 - 1945
124041466,163,Arrived 1946 - 1955
124041466,266,Arrived 1956 - 1965
124041466,415,Arrived 1966 - 1975
124041466,170,Arrived 1976 - 1985
124041466,193,Arrived 1986 - 1995
124041466,265,Arrived 1996 - 2005
124041466,386,Arrived 2006 - 2015
124041466,17,Arrived 1 Jan 2016 - 9 August 2016
124041466,95,Not stated
124041467,1851,Total
124041467,3,Arrived 1900 - 1945
124041467,109,Arrived 1946 - 1955
124041467,217,Arrived 1956 - 1965
124041467,421,Arrived 1966 - 1975
124041467,267,Arrived 1976 - 1985
124041467,260,Arrived 1986 - 1995
124041467,243,Arrived 1996 - 2005
124041467,281,Arrived 2006 - 2015
124041467,15,Arrived 1 Jan 2016 - 9 August 2016
124041467,44,Not stated
124041468,1072,Total
124041468,3,Arrived 1900 - 1945
124041468,87,Arrived 1946 - 1955
124041468,154,Arrived 1956 - 1965
124041468,185,Arrived 1966 - 1975
124041468,101,Arrived 1976 - 1985
124041468,108,Arrived 1986 - 1995
124041468,81,Arrived 1996 - 2005
124041468,59,Arrived 2006 - 2015
124041468,8,Arrived 1 Jan 2016 - 9 August 2016
124041468,286,Not stated
124051469,1527,Total
124051469,0,Arrived 1900 - 1945
124051469,21,Arrived 1946 - 1955
124051469,83,Arrived 1956 - 1965
124051469,222,Arrived 1966 - 1975
124051469,225,Arrived 1976 - 1985
124051469,424,Arrived 1986 - 1995
124051469,292,Arrived 1996 - 2005
124051469,213,Arrived 2006 - 2015
124051469,12,Arrived 1 Jan 2016 - 9 August 2016
124051469,36,Not stated
124051470,5106,Total
124051470,0,Arrived 1900 - 1945
124051470,107,Arrived 1946 - 1955
124051470,298,Arrived 1956 - 1965
124051470,767,Arrived 1966 - 1975
124051470,708,Arrived 1976 - 1985
124051470,1114,Arrived 1986 - 1995
124051470,999,Arrived 1996 - 2005
124051470,935,Arrived 2006 - 2015
124051470,42,Arrived 1 Jan 2016 - 9 August 2016
124051470,134,Not stated
124051580,3217,Total
124051580,0,Arrived 1900 - 1945
124051580,96,Arrived 1946 - 1955
124051580,213,Arrived 1956 - 1965
124051580,465,Arrived 1966 - 1975
124051580,308,Arrived 1976 - 1985
124051580,554,Arrived 1986 - 1995
124051580,626,Arrived 1996 - 2005
124051580,821,Arrived 2006 - 2015
124051580,27,Arrived 1 Jan 2016 - 9 August 2016
124051580,108,Not stated
124051581,4643,Total
124051581,0,Arrived 1900 - 1945
124051581,172,Arrived 1946 - 1955
124051581,290,Arrived 1956 - 1965
124051581,505,Arrived 1966 - 1975
124051581,341,Arrived 1976 - 1985
124051581,718,Arrived 1986 - 1995
124051581,910,Arrived 1996 - 2005
124051581,1451,Arrived 2006 - 2015
124051581,76,Arrived 1 Jan 2016 - 9 August 2016
124051581,188,Not stated
125011473,9204,Total
125011473,0,Arrived 1900 - 1945
125011473,40,Arrived 1946 - 1955
125011473,74,Arrived 1956 - 1965
125011473,257,Arrived 1966 - 1975
125011473,622,Arrived 1976 - 1985
125011473,1376,Arrived 1986 - 1995
125011473,2190,Arrived 1996 - 2005
125011473,3725,Arrived 2006 - 2015
125011473,213,Arrived 1 Jan 2016 - 9 August 2016
125011473,717,Not stated
125011475,0,Total
125011475,0,Arrived 1900 - 1945
125011475,0,Arrived 1946 - 1955
125011475,0,Arrived 1956 - 1965
125011475,0,Arrived 1966 - 1975
125011475,0,Arrived 1976 - 1985
125011475,0,Arrived 1986 - 1995
125011475,0,Arrived 1996 - 2005
125011475,0,Arrived 2006 - 2015
125011475,0,Arrived 1 Jan 2016 - 9 August 2016
125011475,0,Not stated
125011582,10907,Total
125011582,0,Arrived 1900 - 1945
125011582,68,Arrived 1946 - 1955
125011582,135,Arrived 1956 - 1965
125011582,696,Arrived 1966 - 1975
125011582,734,Arrived 1976 - 1985
125011582,1206,Arrived 1986 - 1995
125011582,1953,Arrived 1996 - 2005
125011582,5297,Arrived 2006 - 2015
125011582,457,Arrived 1 Jan 2016 - 9 August 2016
125011582,358,Not stated
125011583,8466,Total
125011583,0,Arrived 1900 - 1945
125011583,15,Arrived 1946 - 1955
125011583,53,Arrived 1956 - 1965
125011583,222,Arrived 1966 - 1975
125011583,282,Arrived 1976 - 1985
125011583,724,Arrived 1986 - 1995
125011583,1295,Arrived 1996 - 2005
125011583,5141,Arrived 2006 - 2015
125011583,468,Arrived 1 Jan 2016 - 9 August 2016
125011583,273,Not stated
125011584,4533,Total
125011584,0,Arrived 1900 - 1945
125011584,38,Arrived 1946 - 1955
125011584,85,Arrived 1956 - 1965
125011584,293,Arrived 1966 - 1975
125011584,511,Arrived 1976 - 1985
125011584,810,Arrived 1986 - 1995
125011584,1025,Arrived 1996 - 2005
125011584,1496,Arrived 2006 - 2015
125011584,104,Arrived 1 Jan 2016 - 9 August 2016
125011584,159,Not stated
125011585,5264,Total
125011585,0,Arrived 1900 - 1945
125011585,44,Arrived 1946 - 1955
125011585,91,Arrived 1956 - 1965
125011585,308,Arrived 1966 - 1975
125011585,678,Arrived 1976 - 1985
125011585,886,Arrived 1986 - 1995
125011585,916,Arrived 1996 - 2005
125011585,2032,Arrived 2006 - 2015
125011585,130,Arrived 1 Jan 2016 - 9 August 2016
125011585,167,Not stated
125011586,12806,Total
125011586,7,Arrived 1900 - 1945
125011586,60,Arrived 1946 - 1955
125011586,151,Arrived 1956 - 1965
125011586,585,Arrived 1966 - 1975
125011586,1402,Arrived 1976 - 1985
125011586,2175,Arrived 1986 - 1995
125011586,2568,Arrived 1996 - 2005
125011586,4930,Arrived 2006 - 2015
125011586,450,Arrived 1 Jan 2016 - 9 August 2016
125011586,493,Not stated
125011587,2712,Total
125011587,0,Arrived 1900 - 1945
125011587,21,Arrived 1946 - 1955
125011587,56,Arrived 1956 - 1965
125011587,189,Arrived 1966 - 1975
125011587,387,Arrived 1976 - 1985
125011587,499,Arrived 1986 - 1995
125011587,539,Arrived 1996 - 2005
125011587,888,Arrived 2006 - 2015
125011587,36,Arrived 1 Jan 2016 - 9 August 2016
125011587,84,Not stated
125021476,13557,Total
125021476,14,Arrived 1900 - 1945
125021476,204,Arrived 1946 - 1955
125021476,372,Arrived 1956 - 1965
125021476,622,Arrived 1966 - 1975
125021476,1017,Arrived 1976 - 1985
125021476,3136,Arrived 1986 - 1995
125021476,3302,Arrived 1996 - 2005
125021476,4243,Arrived 2006 - 2015
125021476,255,Arrived 1 Jan 2016 - 9 August 2016
125021476,400,Not stated
125021477,8572,Total
125021477,19,Arrived 1900 - 1945
125021477,115,Arrived 1946 - 1955
125021477,253,Arrived 1956 - 1965
125021477,626,Arrived 1966 - 1975
125021477,788,Arrived 1976 - 1985
125021477,1632,Arrived 1986 - 1995
125021477,2299,Arrived 1996 - 2005
125021477,2429,Arrived 2006 - 2015
125021477,132,Arrived 1 Jan 2016 - 9 August 2016
125021477,278,Not stated
125021478,7798,Total
125021478,12,Arrived 1900 - 1945
125021478,121,Arrived 1946 - 1955
125021478,214,Arrived 1956 - 1965
125021478,532,Arrived 1966 - 1975
125021478,659,Arrived 1976 - 1985
125021478,1575,Arrived 1986 - 1995
125021478,1996,Arrived 1996 - 2005
125021478,2385,Arrived 2006 - 2015
125021478,96,Arrived 1 Jan 2016 - 9 August 2016
125021478,214,Not stated
125031479,8318,Total
125031479,13,Arrived 1900 - 1945
125031479,155,Arrived 1946 - 1955
125031479,244,Arrived 1956 - 1965
125031479,674,Arrived 1966 - 1975
125031479,1303,Arrived 1976 - 1985
125031479,1744,Arrived 1986 - 1995
125031479,1501,Arrived 1996 - 2005
125031479,1903,Arrived 2006 - 2015
125031479,105,Arrived 1 Jan 2016 - 9 August 2016
125031479,680,Not stated
125031480,7769,Total
125031480,8,Arrived 1900 - 1945
125031480,107,Arrived 1946 - 1955
125031480,157,Arrived 1956 - 1965
125031480,493,Arrived 1966 - 1975
125031480,1256,Arrived 1976 - 1985
125031480,1760,Arrived 1986 - 1995
125031480,1372,Arrived 1996 - 2005
125031480,2054,Arrived 2006 - 2015
125031480,137,Arrived 1 Jan 2016 - 9 August 2016
125031480,427,Not stated
125031481,11037,Total
125031481,3,Arrived 1900 - 1945
125031481,74,Arrived 1946 - 1955
125031481,235,Arrived 1956 - 1965
125031481,837,Arrived 1966 - 1975
125031481,953,Arrived 1976 - 1985
125031481,1515,Arrived 1986 - 1995
125031481,2043,Arrived 1996 - 2005
125031481,4666,Arrived 2006 - 2015
125031481,369,Arrived 1 Jan 2016 - 9 August 2016
125031481,343,Not stated
125031482,8644,Total
125031482,16,Arrived 1900 - 1945
125031482,440,Arrived 1946 - 1955
125031482,807,Arrived 1956 - 1965
125031482,1161,Arrived 1966 - 1975
125031482,892,Arrived 1976 - 1985
125031482,1568,Arrived 1986 - 1995
125031482,1840,Arrived 1996 - 2005
125031482,1606,Arrived 2006 - 2015
125031482,60,Arrived 1 Jan 2016 - 9 August 2016
125031482,264,Not stated
125031483,8944,Total
125031483,3,Arrived 1900 - 1945
125031483,89,Arrived 1946 - 1955
125031483,206,Arrived 1956 - 1965
125031483,835,Arrived 1966 - 1975
125031483,993,Arrived 1976 - 1985
125031483,1554,Arrived 1986 - 1995
125031483,2077,Arrived 1996 - 2005
125031483,2699,Arrived 2006 - 2015
125031483,153,Arrived 1 Jan 2016 - 9 August 2016
125031483,341,Not stated
125031484,8837,Total
125031484,15,Arrived 1900 - 1945
125031484,154,Arrived 1946 - 1955
125031484,316,Arrived 1956 - 1965
125031484,757,Arrived 1966 - 1975
125031484,727,Arrived 1976 - 1985
125031484,1475,Arrived 1986 - 1995
125031484,1899,Arrived 1996 - 2005
125031484,3002,Arrived 2006 - 2015
125031484,147,Arrived 1 Jan 2016 - 9 August 2016
125031484,348,Not stated
125031485,14104,Total
125031485,17,Arrived 1900 - 1945
125031485,223,Arrived 1946 - 1955
125031485,431,Arrived 1956 - 1965
125031485,1192,Arrived 1966 - 1975
125031485,1061,Arrived 1976 - 1985
125031485,2018,Arrived 1986 - 1995
125031485,2969,Arrived 1996 - 2005
125031485,5479,Arrived 2006 - 2015
125031485,347,Arrived 1 Jan 2016 - 9 August 2016
125031485,370,Not stated
125031486,5,Total
125031486,0,Arrived 1900 - 1945
125031486,0,Arrived 1946 - 1955
125031486,0,Arrived 1956 - 1965
125031486,0,Arrived 1966 - 1975
125031486,0,Arrived 1976 - 1985
125031486,0,Arrived 1986 - 1995
125031486,0,Arrived 1996 - 2005
125031486,3,Arrived 2006 - 2015
125031486,0,Arrived 1 Jan 2016 - 9 August 2016
125031486,0,Not stated
125031487,10,Total
125031487,0,Arrived 1900 - 1945
125031487,0,Arrived 1946 - 1955
125031487,0,Arrived 1956 - 1965
125031487,0,Arrived 1966 - 1975
125031487,3,Arrived 1976 - 1985
125031487,0,Arrived 1986 - 1995
125031487,0,Arrived 1996 - 2005
125031487,0,Arrived 2006 - 2015
125031487,0,Arrived 1 Jan 2016 - 9 August 2016
125031487,0,Not stated
125041489,11377,Total
125041489,6,Arrived 1900 - 1945
125041489,81,Arrived 1946 - 1955
125041489,203,Arrived 1956 - 1965
125041489,477,Arrived 1966 - 1975
125041489,648,Arrived 1976 - 1985
125041489,1480,Arrived 1986 - 1995
125041489,2277,Arrived 1996 - 2005
125041489,5228,Arrived 2006 - 2015
125041489,545,Arrived 1 Jan 2016 - 9 August 2016
125041489,433,Not stated
125041490,2768,Total
125041490,6,Arrived 1900 - 1945
125041490,90,Arrived 1946 - 1955
125041490,140,Arrived 1956 - 1965
125041490,253,Arrived 1966 - 1975
125041490,312,Arrived 1976 - 1985
125041490,591,Arrived 1986 - 1995
125041490,624,Arrived 1996 - 2005
125041490,651,Arrived 2006 - 2015
125041490,28,Arrived 1 Jan 2016 - 9 August 2016
125041490,78,Not stated
125041491,10350,Total
125041491,8,Arrived 1900 - 1945
125041491,102,Arrived 1946 - 1955
125041491,209,Arrived 1956 - 1965
125041491,345,Arrived 1966 - 1975
125041491,438,Arrived 1976 - 1985
125041491,981,Arrived 1986 - 1995
125041491,1721,Arrived 1996 - 2005
125041491,5726,Arrived 2006 - 2015
125041491,538,Arrived 1 Jan 2016 - 9 August 2016
125041491,271,Not stated
125041492,20438,Total
125041492,0,Arrived 1900 - 1945
125041492,60,Arrived 1946 - 1955
125041492,142,Arrived 1956 - 1965
125041492,404,Arrived 1966 - 1975
125041492,517,Arrived 1976 - 1985
125041492,1356,Arrived 1986 - 1995
125041492,2645,Arrived 1996 - 2005
125041492,12893,Arrived 2006 - 2015
125041492,1682,Arrived 1 Jan 2016 - 9 August 2016
125041492,731,Not stated
125041493,8805,Total
125041493,15,Arrived 1900 - 1945
125041493,221,Arrived 1946 - 1955
125041493,350,Arrived 1956 - 1965
125041493,636,Arrived 1966 - 1975
125041493,692,Arrived 1976 - 1985
125041493,1594,Arrived 1986 - 1995
125041493,1982,Arrived 1996 - 2005
125041493,2879,Arrived 2006 - 2015
125041493,171,Arrived 1 Jan 2016 - 9 August 2016
125041493,273,Not stated
125041494,3029,Total
125041494,3,Arrived 1900 - 1945
125041494,139,Arrived 1946 - 1955
125041494,188,Arrived 1956 - 1965
125041494,415,Arrived 1966 - 1975
125041494,368,Arrived 1976 - 1985
125041494,642,Arrived 1986 - 1995
125041494,602,Arrived 1996 - 2005
125041494,572,Arrived 2006 - 2015
125041494,31,Arrived 1 Jan 2016 - 9 August 2016
125041494,64,Not stated
125041588,7205,Total
125041588,6,Arrived 1900 - 1945
125041588,145,Arrived 1946 - 1955
125041588,196,Arrived 1956 - 1965
125041588,300,Arrived 1966 - 1975
125041588,269,Arrived 1976 - 1985
125041588,785,Arrived 1986 - 1995
125041588,1669,Arrived 1996 - 2005
125041588,3442,Arrived 2006 - 2015
125041588,160,Arrived 1 Jan 2016 - 9 August 2016
125041588,229,Not stated
125041589,9720,Total
125041589,3,Arrived 1900 - 1945
125041589,88,Arrived 1946 - 1955
125041589,168,Arrived 1956 - 1965
125041589,324,Arrived 1966 - 1975
125041589,397,Arrived 1976 - 1985
125041589,1169,Arrived 1986 - 1995
125041589,1991,Arrived 1996 - 2005
125041589,4864,Arrived 2006 - 2015
125041589,434,Arrived 1 Jan 2016 - 9 August 2016
125041589,278,Not stated
126011495,14129,Total
126011495,23,Arrived 1900 - 1945
126011495,158,Arrived 1946 - 1955
126011495,262,Arrived 1956 - 1965
126011495,467,Arrived 1966 - 1975
126011495,1011,Arrived 1976 - 1985
126011495,2824,Arrived 1986 - 1995
126011495,3033,Arrived 1996 - 2005
126011495,5402,Arrived 2006 - 2015
126011495,487,Arrived 1 Jan 2016 - 9 August 2016
126011495,467,Not stated
126011496,7006,Total
126011496,21,Arrived 1900 - 1945
126011496,187,Arrived 1946 - 1955
126011496,291,Arrived 1956 - 1965
126011496,508,Arrived 1966 - 1975
126011496,673,Arrived 1976 - 1985
126011496,1473,Arrived 1986 - 1995
126011496,1698,Arrived 1996 - 2005
126011496,1850,Arrived 2006 - 2015
126011496,100,Arrived 1 Jan 2016 - 9 August 2016
126011496,206,Not stated
