SA2_CODE,obsValue,ARR_BAND
102011034,145,Arrived 1956 - 1965
102011034,208,Arrived 1966 - 1975
102011034,114,Arrived 1976 - 1985
102011034,109,Arrived 1986 - 1995
102011034,178,Arrived 1996 - 2005
102011034,207,Arrived 2006 - 2015
102011034,6,Arrived 1 Jan 2016 - 9 August 2016
102011034,31,Not stated
102011035,1125,Total
102011035,3,Arrived 1900 - 1945
102011035,43,Arrived 1946 - 1955
102011035,104,Arrived 1956 - 1965
102011035,194,Arrived 1966 - 1975
102011035,150,Arrived 1976 - 1985
102011035,173,Arrived 1986 - 1995
102011035,226,Arrived 1996 - 2005
102011035,198,Arrived 2006 - 2015
102011035,10,Arrived 1 Jan 2016 - 9 August 2016
102011035,27,Not stated
102011036,1228,Total
102011036,0,Arrived 1900 - 1945
102011036,58,Arrived 1946 - 1955
102011036,119,Arrived 1956 - 1965
102011036,212,Arrived 1966 - 1975
102011036,157,Arrived 1976 - 1985
102011036,189,Arrived 1986 - 1995
102011036,221,Arrived 1996 - 2005
102011036,220,Arrived 2006 - 2015
102011036,5,Arrived 1 Jan 2016 - 9 August 2016
102011036,50,Not stated
102011037,1189,Total
102011037,3,Arrived 1900 - 1945
102011037,56,Arrived 1946 - 1955
102011037,109,Arrived 1956 - 1965
102011037,200,Arrived 1966 - 1975
102011037,146,Arrived 1976 - 1985
102011037,182,Arrived 1986 - 1995
102011037,243,Arrived 1996 - 2005
102011037,202,Arrived 2006 - 2015
102011037,8,Arrived 1 Jan 2016 - 9 August 2016
102011037,36,Not stated
102011038,889,Total
102011038,4,Arrived 1900 - 1945
102011038,59,Arrived 1946 - 1955
102011038,144,Arrived 1956 - 1965
102011038,150,Arrived 1966 - 1975
102011038,117,Arrived 1976 - 1985
102011038,123,Arrived 1986 - 1995
102011038,120,Arrived 1996 - 2005
102011038,132,Arrived 2006 - 2015
102011038,10,Arrived 1 Jan 2016 - 9 August 2016
102011038,26,Not stated
102011039,2567,Total
102011039,13,Arrived 1900 - 1945
102011039,127,Arrived 1946 - 1955
102011039,242,Arrived 1956 - 1965
102011039,401,Arrived 1966 - 1975
102011039,311,Arrived 1976 - 1985
102011039,289,Arrived 1986 - 1995
102011039,425,Arrived 1996 - 2005
102011039,659,Arrived 2006 - 2015
102011039,28,Arrived 1 Jan 2016 - 9 August 2016
102011039,65,Not stated
102011040,3575,Total
102011040,26,Arrived 1900 - 1945
102011040,249,Arrived 1946 - 1955
102011040,427,Arrived 1956 - 1965
102011040,626,Arrived 1966 - 1975
102011040,502,Arrived 1976 - 1985
102011040,410,Arrived 1986 - 1995
102011040,472,Arrived 1996 - 2005
102011040,698,Arrived 2006 - 2015
102011040,32,Arrived 1 Jan 2016 - 9 August 2016
102011040,139,Not stated
102011041,1306,Total
102011041,14,Arrived 1900 - 1945
102011041,70,Arrived 1946 - 1955
102011041,152,Arrived 1956 - 1965
102011041,227,Arrived 1966 - 1975
102011041,151,Arrived 1976 - 1985
102011041,151,Arrived 1986 - 1995
102011041,227,Arrived 1996 - 2005
