SA2_CODE,Parents_Born_Overseas,Parents_POB_Parent_Code,obsValue
313041373,Not stated - birthplace for either or both parents not stated,TOT,1963
313041374,Total,NA,4825
313041374,Both parents born overseas,TOT,905
313041374,Father only born overseas,TOT,335
313041374,Mother only born overseas,TOT,302
313041374,Both parents born in Australia,TOT,3043
313041374,Not stated - birthplace for either or both parents not stated,TOT,235
313041375,Total,NA,18573
313041375,Both parents born overseas,TOT,3990
313041375,Father only born overseas,TOT,1482
313041375,Mother only born overseas,TOT,1112
313041375,Both parents born in Australia,TOT,11168
313041375,Not stated - birthplace for either or both parents not stated,TOT,830
313041376,Total,NA,3022
313041376,Both parents born overseas,TOT,570
313041376,Father only born overseas,TOT,217
313041376,Mother only born overseas,TOT,186
313041376,Both parents born in Australia,TOT,1858
313041376,Not stated - birthplace for either or both parents not stated,TOT,191
313051377,Total,NA,8251
313051377,Both parents born overseas,TOT,1937
313051377,Father only born overseas,TOT,653
313051377,Mother only born overseas,TOT,423
313051377,Both parents born in Australia,TOT,4642
313051377,Not stated - birthplace for either or both parents not stated,TOT,592
313051378,Total,NA,11696
313051378,Both parents born overseas,TOT,2913
313051378,Father only born overseas,TOT,835
313051378,Mother only born overseas,TOT,627
313051378,Both parents born in Australia,TOT,6638
313051378,Not stated - birthplace for either or both parents not stated,TOT,674
313051379,Total,NA,10164
313051379,Both parents born overseas,TOT,2810
313051379,Father only born overseas,TOT,748
313051379,Mother only born overseas,TOT,520
313051379,Both parents born in Australia,TOT,5086
313051379,Not stated - birthplace for either or both parents not stated,TOT,997
313051380,Total,NA,17138
313051380,Both parents born overseas,TOT,4371
313051380,Father only born overseas,TOT,1220
313051380,Mother only born overseas,TOT,851
313051380,Both parents born in Australia,TOT,9295
313051380,Not stated - birthplace for either or both parents not stated,TOT,1401
313051542,Total,NA,12226
313051542,Both parents born overseas,TOT,3539
313051542,Father only born overseas,TOT,857
313051542,Mother only born overseas,TOT,687
313051542,Both parents born in Australia,TOT,6305
313051542,Not stated - birthplace for either or both parents not stated,TOT,845
314011382,Total,NA,15800
314011382,Both parents born overseas,TOT,3626
314011382,Father only born overseas,TOT,1299
314011382,Mother only born overseas,TOT,872
314011382,Both parents born in Australia,TOT,9352
314011382,Not stated - birthplace for either or both parents not stated,TOT,644
314011383,Total,NA,18805
314011383,Both parents born overseas,TOT,4692
314011383,Father only born overseas,TOT,1483
314011383,Mother only born overseas,TOT,1058
314011383,Both parents born in Australia,TOT,11019
314011383,Not stated - birthplace for either or both parents not stated,TOT,560
314011384,Total,NA,8489
314011384,Both parents born overseas,TOT,1544
314011384,Father only born overseas,TOT,588
314011384,Mother only born overseas,TOT,441
314011384,Both parents born in Australia,TOT,5302
314011384,Not stated - birthplace for either or both parents not stated,TOT,608
314011385,Total,NA,7973
314011385,Both parents born overseas,TOT,1882
314011385,Father only born overseas,TOT,662
314011385,Mother only born overseas,TOT,499
314011385,Both parents born in Australia,TOT,4667
314011385,Not stated - birthplace for either or both parents not stated,TOT,257
314011386,Total,NA,23369
314011386,Both parents born overseas,TOT,4523
314011386,Father only born overseas,TOT,2040
314011386,Mother only born overseas,TOT,1437
314011386,Both parents born in Australia,TOT,14561
314011386,Not stated - birthplace for either or both parents not stated,TOT,810
314011387,Total,NA,11754
314011387,Both parents born overseas,TOT,2659
314011387,Father only born overseas,TOT,998
314011387,Mother only born overseas,TOT,639
314011387,Both parents born in Australia,TOT,6800
314011387,Not stated - birthplace for either or both parents not stated,TOT,670
314021388,Total,NA,23932
314021388,Both parents born overseas,TOT,5368
314021388,Father only born overseas,TOT,1816
314021388,Mother only born overseas,TOT,1328
314021388,Both parents born in Australia,TOT,13806
314021388,Not stated - birthplace for either or both parents not stated,TOT,1615
314021389,Total,NA,17520
314021389,Both parents born overseas,TOT,4897
314021389,Father only born overseas,TOT,1295
314021389,Mother only born overseas,TOT,953
314021389,Both parents born in Australia,TOT,9378
314021389,Not stated - birthplace for either or both parents not stated,TOT,991
314021390,Total,NA,30105
314021390,Both parents born overseas,TOT,11913
314021390,Father only born overseas,TOT,2045
314021390,Mother only born overseas,TOT,1588
314021390,Both parents born in Australia,TOT,12949
314021390,Not stated - birthplace for either or both parents not stated,TOT,1608
314031391,Total,NA,10246
314031391,Both parents born overseas,TOT,2344
314031391,Father only born overseas,TOT,730
314031391,Mother only born overseas,TOT,582
314031391,Both parents born in Australia,TOT,5977
314031391,Not stated - birthplace for either or both parents not stated,TOT,615
314031392,Total,NA,6011
314031392,Both parents born overseas,TOT,1278
314031392,Father only born overseas,TOT,440
314031392,Mother only born overseas,TOT,321
314031392,Both parents born in Australia,TOT,3514
314031392,Not stated - birthplace for either or both parents not stated,TOT,465
314031393,Total,NA,8690
314031393,Both parents born overseas,TOT,1900
314031393,Father only born overseas,TOT,781
314031393,Mother only born overseas,TOT,501
314031393,Both parents born in Australia,TOT,5057
314031393,Not stated - birthplace for either or both parents not stated,TOT,454
314031394,Total,NA,12270
314031394,Both parents born overseas,TOT,3213
314031394,Father only born overseas,TOT,826
314031394,Mother only born overseas,TOT,633
314031394,Both parents born in Australia,TOT,6906
314031394,Not stated - birthplace for either or both parents not stated,TOT,695
306011138,Total,NA,5362
306011138,Both parents born overseas,TOT,1300
306011138,Father only born overseas,TOT,435
306011138,Mother only born overseas,TOT,360
306011138,Both parents born in Australia,TOT,2949
306011138,Not stated - birthplace for either or both parents not stated,TOT,320
306011139,Total,NA,10830
306011139,Both parents born overseas,TOT,3532
306011139,Father only born overseas,TOT,782
306011139,Mother only born overseas,TOT,679
306011139,Both parents born in Australia,TOT,4967
306011139,Not stated - birthplace for either or both parents not stated,TOT,868
306011140,Total,NA,3566
306011140,Both parents born overseas,TOT,846
306011140,Father only born overseas,TOT,322
306011140,Mother only born overseas,TOT,266
306011140,Both parents born in Australia,TOT,1909
306011140,Not stated - birthplace for either or both parents not stated,TOT,227
306011141,Total,NA,12808
306011141,Both parents born overseas,TOT,3182
306011141,Father only born overseas,TOT,911
306011141,Mother only born overseas,TOT,911
306011141,Both parents born in Australia,TOT,6855
306011141,Not stated - birthplace for either or both parents not stated,TOT,947
306011142,Total,NA,13936
306011142,Both parents born overseas,TOT,4192
306011142,Father only born overseas,TOT,1039
306011142,Mother only born overseas,TOT,889
306011142,Both parents born in Australia,TOT,6804
306011142,Not stated - birthplace for either or both parents not stated,TOT,1014
306011143,Total,NA,6152
306011143,Both parents born overseas,TOT,1487
306011143,Father only born overseas,TOT,453
306011143,Mother only born overseas,TOT,352
306011143,Both parents born in Australia,TOT,2977
306011143,Not stated - birthplace for either or both parents not stated,TOT,884
306021144,Total,NA,8018
306021144,Both parents born overseas,TOT,1672
306021144,Father only born overseas,TOT,521
306021144,Mother only born overseas,TOT,514
306021144,Both parents born in Australia,TOT,4683
306021144,Not stated - birthplace for either or both parents not stated,TOT,624
306021145,Total,NA,11439
306021145,Both parents born overseas,TOT,4315
306021145,Father only born overseas,TOT,540
306021145,Mother only born overseas,TOT,541
306021145,Both parents born in Australia,TOT,3931
306021145,Not stated - birthplace for either or both parents not stated,TOT,2116
306021146,Total,NA,8265
306021146,Both parents born overseas,TOT,1807
306021146,Father only born overseas,TOT,580
306021146,Mother only born overseas,TOT,482
306021146,Both parents born in Australia,TOT,4709
306021146,Not stated - birthplace for either or both parents not stated,TOT,688
306021147,Total,NA,10753
306021147,Both parents born overseas,TOT,2001
306021147,Father only born overseas,TOT,707
306021147,Mother only born overseas,TOT,616
306021147,Both parents born in Australia,TOT,6562
306021147,Not stated - birthplace for either or both parents not stated,TOT,861
306021148,Total,NA,8664
306021148,Both parents born overseas,TOT,1313
306021148,Father only born overseas,TOT,560
306021148,Mother only born overseas,TOT,457
306021148,Both parents born in Australia,TOT,5622
306021148,Not stated - birthplace for either or both parents not stated,TOT,720
306021149,Total,NA,9888
306021149,Both parents born overseas,TOT,2940
306021149,Father only born overseas,TOT,631
306021149,Mother only born overseas,TOT,596
306021149,Both parents born in Australia,TOT,4833
306021149,Not stated - birthplace for either or both parents not stated,TOT,886
306021150,Total,NA,0
306021150,Both parents born overseas,TOT,0
306021150,Father only born overseas,TOT,0
306021150,Mother only born overseas,TOT,0
306021150,Both parents born in Australia,TOT,0
306021150,Not stated - birthplace for either or both parents not stated,TOT,0
306021151,Total,NA,6027
306021151,Both parents born overseas,TOT,1516
306021151,Father only born overseas,TOT,339
306021151,Mother only born overseas,TOT,337
306021151,Both parents born in Australia,TOT,2851
306021151,Not stated - birthplace for either or both parents not stated,TOT,985
306021152,Total,NA,5390
306021152,Both parents born overseas,TOT,1570
306021152,Father only born overseas,TOT,262
306021152,Mother only born overseas,TOT,280
306021152,Both parents born in Australia,TOT,2453
306021152,Not stated - birthplace for either or both parents not stated,TOT,825
306021153,Total,NA,8271
306021153,Both parents born overseas,TOT,2294
306021153,Father only born overseas,TOT,569
306021153,Mother only born overseas,TOT,514
306021153,Both parents born in Australia,TOT,4430
306021153,Not stated - birthplace for either or both parents not stated,TOT,470
306021154,Total,NA,6333
306021154,Both parents born overseas,TOT,2078
306021154,Father only born overseas,TOT,361
306021154,Mother only born overseas,TOT,294
306021154,Both parents born in Australia,TOT,2596
306021154,Not stated - birthplace for either or both parents not stated,TOT,1002
306021155,Total,NA,4730
306021155,Both parents born overseas,TOT,1078
306021155,Father only born overseas,TOT,262
306021155,Mother only born overseas,TOT,258
306021155,Both parents born in Australia,TOT,2547
306021155,Not stated - birthplace for either or both parents not stated,TOT,587
306021156,Total,NA,8192
306021156,Both parents born overseas,TOT,2148
306021156,Father only born overseas,TOT,605
306021156,Mother only born overseas,TOT,557
306021156,Both parents born in Australia,TOT,4332
306021156,Not stated - birthplace for either or both parents not stated,TOT,544
306021157,Total,NA,4821
306021157,Both parents born overseas,TOT,1153
306021157,Father only born overseas,TOT,272
306021157,Mother only born overseas,TOT,283
306021157,Both parents born in Australia,TOT,2536
306021157,Not stated - birthplace for either or both parents not stated,TOT,578
306031158,Total,NA,4239
306031158,Both parents born overseas,TOT,660
306031158,Father only born overseas,TOT,295
306031158,Mother only born overseas,TOT,199
306031158,Both parents born in Australia,TOT,2694
306031158,Not stated - birthplace for either or both parents not stated,TOT,398
306031159,Total,NA,9377
306031159,Both parents born overseas,TOT,1989
306031159,Father only born overseas,TOT,559
306031159,Mother only born overseas,TOT,400
306031159,Both parents born in Australia,TOT,5380
306031159,Not stated - birthplace for either or both parents not stated,TOT,1042
306031160,Total,NA,7889
306031160,Both parents born overseas,TOT,1332
306031160,Father only born overseas,TOT,460
306031160,Mother only born overseas,TOT,376
306031160,Both parents born in Australia,TOT,5035
306031160,Not stated - birthplace for either or both parents not stated,TOT,684
306031161,Total,NA,10661
306031161,Both parents born overseas,TOT,2089
306031161,Father only born overseas,TOT,587
306031161,Mother only born overseas,TOT,487
306031161,Both parents born in Australia,TOT,6386
306031161,Not stated - birthplace for either or both parents not stated,TOT,1108
306031162,Total,NA,0
306031162,Both parents born overseas,TOT,0
306031162,Father only born overseas,TOT,0
306031162,Mother only born overseas,TOT,0
306031162,Both parents born in Australia,TOT,0
306031162,Not stated - birthplace for either or both parents not stated,TOT,0
306031163,Total,NA,2559
306031163,Both parents born overseas,TOT,7
306031163,Father only born overseas,TOT,13
306031163,Mother only born overseas,TOT,3
306031163,Both parents born in Australia,TOT,2454
306031163,Not stated - birthplace for either or both parents not stated,TOT,83
306041164,Total,NA,6348
306041164,Both parents born overseas,TOT,1141
306041164,Father only born overseas,TOT,380
306041164,Mother only born overseas,TOT,298
306041164,Both parents born in Australia,TOT,3726
306041164,Not stated - birthplace for either or both parents not stated,TOT,801
306041165,Total,NA,5260
306041165,Both parents born overseas,TOT,1557
306041165,Father only born overseas,TOT,325
306041165,Mother only born overseas,TOT,229
306041165,Both parents born in Australia,TOT,2308
306041165,Not stated - birthplace for either or both parents not stated,TOT,830
306051166,Total,NA,10708
306051166,Both parents born overseas,TOT,1770
306051166,Father only born overseas,TOT,662
306051166,Mother only born overseas,TOT,503
306051166,Both parents born in Australia,TOT,6951
306051166,Not stated - birthplace for either or both parents not stated,TOT,818
306051167,Total,NA,5638
306051167,Both parents born overseas,TOT,743
306051167,Father only born overseas,TOT,312
306051167,Mother only born overseas,TOT,206
306051167,Both parents born in Australia,TOT,3543
306051167,Not stated - birthplace for either or both parents not stated,TOT,834
306051168,Total,NA,4496
306051168,Both parents born overseas,TOT,1178
306051168,Father only born overseas,TOT,289
306051168,Mother only born overseas,TOT,228
306051168,Both parents born in Australia,TOT,2308
306051168,Not stated - birthplace for either or both parents not stated,TOT,494
306051169,Total,NA,8478
306051169,Both parents born overseas,TOT,1374
306051169,Father only born overseas,TOT,514
306051169,Mother only born overseas,TOT,427
306051169,Both parents born in Australia,TOT,5449
306051169,Not stated - birthplace for either or both parents not stated,TOT,717
306051170,Total,NA,11079
306051170,Both parents born overseas,TOT,2409
306051170,Father only born overseas,TOT,596
306051170,Mother only born overseas,TOT,421
306051170,Both parents born in Australia,TOT,6399
306051170,Not stated - birthplace for either or both parents not stated,TOT,1255
307011171,Total,NA,4377
307011171,Both parents born overseas,TOT,311
307011171,Father only born overseas,TOT,121
307011171,Mother only born overseas,TOT,111
307011171,Both parents born in Australia,TOT,3463
307011171,Not stated - birthplace for either or both parents not stated,TOT,367
307011172,Total,NA,8129
307011172,Both parents born overseas,TOT,659
307011172,Father only born overseas,TOT,280
307011172,Mother only born overseas,TOT,231
307011172,Both parents born in Australia,TOT,5915
307011172,Not stated - birthplace for either or both parents not stated,TOT,1043
307011173,Total,NA,6355
307011173,Both parents born overseas,TOT,418
307011173,Father only born overseas,TOT,162
307011173,Mother only born overseas,TOT,162
307011173,Both parents born in Australia,TOT,4926
307011173,Not stated - birthplace for either or both parents not stated,TOT,702
307011174,Total,NA,4244
307011174,Both parents born overseas,TOT,329
307011174,Father only born overseas,TOT,120
307011174,Mother only born overseas,TOT,125
307011174,Both parents born in Australia,TOT,3249
307011174,Not stated - birthplace for either or both parents not stated,TOT,414
307011175,Total,NA,4064
307011175,Both parents born overseas,TOT,309
307011175,Father only born overseas,TOT,127
307011175,Mother only born overseas,TOT,101
307011175,Both parents born in Australia,TOT,2948
307011175,Not stated - birthplace for either or both parents not stated,TOT,578
307011176,Total,NA,6848
307011176,Both parents born overseas,TOT,768
307011176,Father only born overseas,TOT,218
307011176,Mother only born overseas,TOT,168
307011176,Both parents born in Australia,TOT,4859
307011176,Not stated - birthplace for either or both parents not stated,TOT,840
307011177,Total,NA,5815
307011177,Both parents born overseas,TOT,264
307011177,Father only born overseas,TOT,143
307011177,Mother only born overseas,TOT,150
307011177,Both parents born in Australia,TOT,4752
307011177,Not stated - birthplace for either or both parents not stated,TOT,507
307011178,Total,NA,4221
307011178,Both parents born overseas,TOT,368
307011178,Father only born overseas,TOT,155
307011178,Mother only born overseas,TOT,116
307011178,Both parents born in Australia,TOT,2696
307011178,Not stated - birthplace for either or both parents not stated,TOT,886
307021179,Total,NA,8560
307021179,Both parents born overseas,TOT,803
307021179,Father only born overseas,TOT,373
307021179,Mother only born overseas,TOT,312
307021179,Both parents born in Australia,TOT,6384
307021179,Not stated - birthplace for either or both parents not stated,TOT,683
307021180,Total,NA,7508
307021180,Both parents born overseas,TOT,785
307021180,Father only born overseas,TOT,266
307021180,Mother only born overseas,TOT,183
307021180,Both parents born in Australia,TOT,5727
307021180,Not stated - birthplace for either or both parents not stated,TOT,554
307021181,Total,NA,3310
307021181,Both parents born overseas,TOT,381
307021181,Father only born overseas,TOT,90
307021181,Mother only born overseas,TOT,66
307021181,Both parents born in Australia,TOT,2307
307021181,Not stated - birthplace for either or both parents not stated,TOT,473
307021182,Total,NA,5722
307021182,Both parents born overseas,TOT,383
307021182,Father only born overseas,TOT,190
307021182,Mother only born overseas,TOT,160
307021182,Both parents born in Australia,TOT,4431
307021182,Not stated - birthplace for either or both parents not stated,TOT,545
307021183,Total,NA,17027
307021183,Both parents born overseas,TOT,1536
307021183,Father only born overseas,TOT,562
307021183,Mother only born overseas,TOT,482
307021183,Both parents born in Australia,TOT,13048
307021183,Not stated - birthplace for either or both parents not stated,TOT,1399
307031184,Total,NA,4899
307031184,Both parents born overseas,TOT,438
307031184,Father only born overseas,TOT,172
307031184,Mother only born overseas,TOT,166
307031184,Both parents born in Australia,TOT,3719
307031184,Not stated - birthplace for either or both parents not stated,TOT,403
307031185,Total,NA,4227
307031185,Both parents born overseas,TOT,400
307031185,Father only born overseas,TOT,198
307031185,Mother only born overseas,TOT,126
307031185,Both parents born in Australia,TOT,3154
307031185,Not stated - birthplace for either or both parents not stated,TOT,349
307031186,Total,NA,4656
307031186,Both parents born overseas,TOT,473
307031186,Father only born overseas,TOT,229
307031186,Mother only born overseas,TOT,200
307031186,Both parents born in Australia,TOT,3402
307031186,Not stated - birthplace for either or both parents not stated,TOT,350
307031187,Total,NA,5406
307031187,Both parents born overseas,TOT,1102
307031187,Father only born overseas,TOT,293
307031187,Mother only born overseas,TOT,232
307031187,Both parents born in Australia,TOT,3381
307031187,Not stated - birthplace for either or both parents not stated,TOT,398
307031188,Total,NA,5780
307031188,Both parents born overseas,TOT,993
307031188,Father only born overseas,TOT,345
307031188,Mother only born overseas,TOT,208
307031188,Both parents born in Australia,TOT,3774
307031188,Not stated - birthplace for either or both parents not stated,TOT,463
307031189,Total,NA,15130
307031189,Both parents born overseas,TOT,1481
307031189,Father only born overseas,TOT,693
307031189,Mother only born overseas,TOT,496
307031189,Both parents born in Australia,TOT,11396
307031189,Not stated - birthplace for either or both parents not stated,TOT,1064
308011190,Total,NA,7291
308011190,Both parents born overseas,TOT,706
308011190,Father only born overseas,TOT,219
308011190,Mother only born overseas,TOT,188
308011190,Both parents born in Australia,TOT,5341
308011190,Not stated - birthplace for either or both parents not stated,TOT,839
308011191,Total,NA,8137
308011191,Both parents born overseas,TOT,764
308011191,Father only born overseas,TOT,283
308011191,Mother only born overseas,TOT,265
308011191,Both parents born in Australia,TOT,5733
308011191,Not stated - birthplace for either or both parents not stated,TOT,1100
308011192,Total,NA,13532
308011192,Both parents born overseas,TOT,2116
308011192,Father only born overseas,TOT,597
308011192,Mother only born overseas,TOT,500
308011192,Both parents born in Australia,TOT,8595
308011192,Not stated - birthplace for either or both parents not stated,TOT,1724
308031205,Total,NA,6875
308031205,Both parents born overseas,TOT,767
308031205,Father only born overseas,TOT,313
308031205,Mother only born overseas,TOT,235
308031205,Both parents born in Australia,TOT,4905
308031205,Not stated - birthplace for either or both parents not stated,TOT,656
308031206,Total,NA,1865
308031206,Both parents born overseas,TOT,84
308031206,Father only born overseas,TOT,72
308031206,Mother only born overseas,TOT,47
308031206,Both parents born in Australia,TOT,1510
308031206,Not stated - birthplace for either or both parents not stated,TOT,151
308031207,Total,NA,5466
308031207,Both parents born overseas,TOT,609
308031207,Father only born overseas,TOT,281
308031207,Mother only born overseas,TOT,219
308031207,Both parents born in Australia,TOT,3726
308031207,Not stated - birthplace for either or both parents not stated,TOT,624
308031208,Total,NA,9076
308031208,Both parents born overseas,TOT,978
308031208,Father only born overseas,TOT,466
308031208,Mother only born overseas,TOT,302
308031208,Both parents born in Australia,TOT,6771
308031208,Not stated - birthplace for either or both parents not stated,TOT,552
308031209,Total,NA,4984
308031209,Both parents born overseas,TOT,298
308031209,Father only born overseas,TOT,148
308031209,Mother only born overseas,TOT,149
308031209,Both parents born in Australia,TOT,3505
308031209,Not stated - birthplace for either or both parents not stated,TOT,885
308031210,Total,NA,11665
308031210,Both parents born overseas,TOT,1012
308031210,Father only born overseas,TOT,501
308031210,Mother only born overseas,TOT,438
308031210,Both parents born in Australia,TOT,8794
308031210,Not stated - birthplace for either or both parents not stated,TOT,921
308031211,Total,NA,4876
308031211,Both parents born overseas,TOT,687
308031211,Father only born overseas,TOT,202
308031211,Mother only born overseas,TOT,157
308031211,Both parents born in Australia,TOT,3467
308031211,Not stated - birthplace for either or both parents not stated,TOT,363
308031212,Total,NA,2941
308031212,Both parents born overseas,TOT,252
308031212,Father only born overseas,TOT,124
308031212,Mother only born overseas,TOT,85
308031212,Both parents born in Australia,TOT,2168
308031212,Not stated - birthplace for either or both parents not stated,TOT,316
308031213,Total,NA,10130
308031213,Both parents born overseas,TOT,1750
308031213,Father only born overseas,TOT,355
308031213,Mother only born overseas,TOT,274
308031213,Both parents born in Australia,TOT,7038
308031213,Not stated - birthplace for either or both parents not stated,TOT,714
308031214,Total,NA,5094
308031214,Both parents born overseas,TOT,399
308031214,Father only born overseas,TOT,209
308031214,Mother only born overseas,TOT,161
308031214,Both parents born in Australia,TOT,3912
308031214,Not stated - birthplace for either or both parents not stated,TOT,412
308031215,Total,NA,6902
308031215,Both parents born overseas,TOT,786
308031215,Father only born overseas,TOT,268
308031215,Mother only born overseas,TOT,225
308031215,Both parents born in Australia,TOT,4943
308031215,Not stated - birthplace for either or both parents not stated,TOT,676
308031216,Total,NA,5935
308031216,Both parents born overseas,TOT,523
308031216,Father only born overseas,TOT,310
308031216,Mother only born overseas,TOT,183
308031216,Both parents born in Australia,TOT,4407
308031216,Not stated - birthplace for either or both parents not stated,TOT,518
308031217,Total,NA,3262
308031217,Both parents born overseas,TOT,315
308031217,Father only born overseas,TOT,126
308031217,Mother only born overseas,TOT,108
308031217,Both parents born in Australia,TOT,2282
308031217,Not stated - birthplace for either or both parents not stated,TOT,422
308031218,Total,NA,3451
308031218,Both parents born overseas,TOT,310
308031218,Father only born overseas,TOT,140
308031218,Mother only born overseas,TOT,116
308031218,Both parents born in Australia,TOT,2568
308031218,Not stated - birthplace for either or both parents not stated,TOT,314
308031219,Total,NA,4245
308031219,Both parents born overseas,TOT,461
308031219,Father only born overseas,TOT,181
308031219,Mother only born overseas,TOT,144
308031219,Both parents born in Australia,TOT,3067
308031219,Not stated - birthplace for either or both parents not stated,TOT,395
308031220,Total,NA,2916
308031220,Both parents born overseas,TOT,150
308031220,Father only born overseas,TOT,95
308031220,Mother only born overseas,TOT,74
308031220,Both parents born in Australia,TOT,2363
308031220,Not stated - birthplace for either or both parents not stated,TOT,236
308031221,Total,NA,16
308031221,Both parents born overseas,TOT,0
308031221,Father only born overseas,TOT,0
308031221,Mother only born overseas,TOT,0
308031221,Both parents born in Australia,TOT,13
308031221,Not stated - birthplace for either or both parents not stated,TOT,0
308031222,Total,NA,8190
308031222,Both parents born overseas,TOT,968
308031222,Father only born overseas,TOT,384
308031222,Mother only born overseas,TOT,285
308031222,Both parents born in Australia,TOT,5712
308031222,Not stated - birthplace for either or both parents not stated,TOT,847
308031223,Total,NA,18107
308031223,Both parents born overseas,TOT,2505
308031223,Father only born overseas,TOT,1019
308031223,Mother only born overseas,TOT,784
308031223,Both parents born in Australia,TOT,12229
308031223,Not stated - birthplace for either or both parents not stated,TOT,1575
308041528,Total,NA,8553
308041528,Both parents born overseas,TOT,443
308041528,Father only born overseas,TOT,308
308041528,Mother only born overseas,TOT,222
308041528,Both parents born in Australia,TOT,6758
308041528,Not stated - birthplace for either or both parents not stated,TOT,828
308041529,Total,NA,5765
308041529,Both parents born overseas,TOT,980
308041529,Father only born overseas,TOT,252
308041529,Mother only born overseas,TOT,187
308041529,Both parents born in Australia,TOT,3864
308041529,Not stated - birthplace for either or both parents not stated,TOT,482
308051530,Total,NA,6022
308051530,Both parents born overseas,TOT,896
308051530,Father only born overseas,TOT,320
308051530,Mother only born overseas,TOT,278
308051530,Both parents born in Australia,TOT,3943
308051530,Not stated - birthplace for either or both parents not stated,TOT,593
308051531,Total,NA,9901
308051531,Both parents born overseas,TOT,1843
308051531,Father only born overseas,TOT,604
308051531,Mother only born overseas,TOT,462
308051531,Both parents born in Australia,TOT,6328
308051531,Not stated - birthplace for either or both parents not stated,TOT,662
308051532,Total,NA,18
308051532,Both parents born overseas,TOT,3
308051532,Father only born overseas,TOT,0
308051532,Mother only born overseas,TOT,0
308051532,Both parents born in Australia,TOT,12
308051532,Not stated - birthplace for either or both parents not stated,TOT,0
308051533,Total,NA,13464
308051533,Both parents born overseas,TOT,2682
308051533,Father only born overseas,TOT,767
308051533,Mother only born overseas,TOT,555
308051533,Both parents born in Australia,TOT,8602
308051533,Not stated - birthplace for either or both parents not stated,TOT,865
308051534,Total,NA,6014
308051534,Both parents born overseas,TOT,1373
308051534,Father only born overseas,TOT,341
308051534,Mother only born overseas,TOT,274
308051534,Both parents born in Australia,TOT,3284
308051534,Not stated - birthplace for either or both parents not stated,TOT,743
308051535,Total,NA,11747
308051535,Both parents born overseas,TOT,1364
308051535,Father only born overseas,TOT,542
308051535,Mother only born overseas,TOT,399
308051535,Both parents born in Australia,TOT,8348
308051535,Not stated - birthplace for either or both parents not stated,TOT,1102
308051536,Total,NA,3613
308051536,Both parents born overseas,TOT,620
308051536,Father only born overseas,TOT,165
308051536,Mother only born overseas,TOT,149
308051536,Both parents born in Australia,TOT,2488
308051536,Not stated - birthplace for either or both parents not stated,TOT,189
308051537,Total,NA,0
308051537,Both parents born overseas,TOT,0
308051537,Father only born overseas,TOT,0
308051537,Mother only born overseas,TOT,0
308051537,Both parents born in Australia,TOT,0
308051537,Not stated - birthplace for either or both parents not stated,TOT,0
308051538,Total,NA,6142
308051538,Both parents born overseas,TOT,920
308051538,Father only born overseas,TOT,346
308051538,Mother only born overseas,TOT,290
308051538,Both parents born in Australia,TOT,4092
308051538,Not stated - birthplace for either or both parents not stated,TOT,501
308051539,Total,NA,4709
308051539,Both parents born overseas,TOT,970
308051539,Father only born overseas,TOT,253
308051539,Mother only born overseas,TOT,194
308051539,Both parents born in Australia,TOT,2872
308051539,Not stated - birthplace for either or both parents not stated,TOT,424
309011224,Total,NA,7779
309011224,Both parents born overseas,TOT,2624
309011224,Father only born overseas,TOT,556
309011224,Mother only born overseas,TOT,441
309011224,Both parents born in Australia,TOT,3601
309011224,Not stated - birthplace for either or both parents not stated,TOT,554
309011225,Total,NA,8770
309011225,Both parents born overseas,TOT,2141
309011225,Father only born overseas,TOT,617
309011225,Mother only born overseas,TOT,528
309011225,Both parents born in Australia,TOT,4558
309011225,Not stated - birthplace for either or both parents not stated,TOT,922
309011226,Total,NA,14156
309011226,Both parents born overseas,TOT,3862
309011226,Father only born overseas,TOT,1135
309011226,Mother only born overseas,TOT,860
309011226,Both parents born in Australia,TOT,7611
309011226,Not stated - birthplace for either or both parents not stated,TOT,684
309011227,Total,NA,11921
309011227,Both parents born overseas,TOT,3821
309011227,Father only born overseas,TOT,752
309011227,Mother only born overseas,TOT,708
309011227,Both parents born in Australia,TOT,5135
309011227,Not stated - birthplace for either or both parents not stated,TOT,1503
309011228,Total,NA,12170
309011228,Both parents born overseas,TOT,3997
309011228,Father only born overseas,TOT,888
309011228,Mother only born overseas,TOT,781
309011228,Both parents born in Australia,TOT,5704
309011228,Not stated - birthplace for either or both parents not stated,TOT,811
309011229,Total,NA,6843
309011229,Both parents born overseas,TOT,1757
309011229,Father only born overseas,TOT,531
309011229,Mother only born overseas,TOT,416
309011229,Both parents born in Australia,TOT,3490
309011229,Not stated - birthplace for either or both parents not stated,TOT,651
309021230,Total,NA,5948
309021230,Both parents born overseas,TOT,1337
309021230,Father only born overseas,TOT,354
309021230,Mother only born overseas,TOT,283
309021230,Both parents born in Australia,TOT,3202
309021230,Not stated - birthplace for either or both parents not stated,TOT,768
309021231,Total,NA,11316
309021231,Both parents born overseas,TOT,2252
309021231,Father only born overseas,TOT,811
309021231,Mother only born overseas,TOT,635
309021231,Both parents born in Australia,TOT,6409
309021231,Not stated - birthplace for either or both parents not stated,TOT,1208
309021232,Total,NA,9121
309021232,Both parents born overseas,TOT,1885
309021232,Father only born overseas,TOT,748
309021232,Mother only born overseas,TOT,590
309021232,Both parents born in Australia,TOT,5456
309021232,Not stated - birthplace for either or both parents not stated,TOT,449
309021233,Total,NA,12145
309021233,Both parents born overseas,TOT,2744
