SA2_CODE,LFSP_C16,obsValue
509021239,UEMP,216
509021239,LF,3822
509021240,UEMP,114
509021240,LF,2434
509021241,UEMP,102
509021241,LF,2415
509021242,UEMP,81
509021242,LF,1654
509021243,UEMP,405
509021243,LF,4740
509021244,UEMP,161
509021244,LF,2010
509021245,UEMP,127
509021245,LF,2199
509031246,UEMP,112
509031246,LF,1653
509031247,UEMP,65
509031247,LF,2359
509031248,UEMP,77
509031248,LF,1245
509031249,UEMP,109
509031249,LF,2010
509031250,UEMP,113
509031250,LF,2357
510011262,UEMP,350
510011262,LF,7125
510011263,UEMP,383
510011263,LF,2705
510011264,UEMP,160
510011264,LF,865
510011265,UEMP,235
510011265,LF,3470
510011266,UEMP,161
510011266,LF,772
510021267,UEMP,151
510021267,LF,3948
510021268,UEMP,123
510021268,LF,2422
510021269,UEMP,96
510021269,LF,2544
510021270,UEMP,285
510021270,LF,4640
510031271,UEMP,168
510031271,LF,8469
510031272,UEMP,474
510031272,LF,8516
510031273,UEMP,205
510031273,LF,2866
511011274,UEMP,274
511011274,LF,5700
511011275,UEMP,74
511011275,LF,1801
511021276,UEMP,159
511021276,LF,2284
511021277,UEMP,100
511021277,LF,2226
511031278,UEMP,273
511031278,LF,3490
511031279,UEMP,442
511031279,LF,7356
511031280,UEMP,200
511031280,LF,4841
511031281,UEMP,0
511031281,LF,0
511031282,UEMP,184
511031282,LF,2094
511031283,UEMP,201
511031283,LF,1976
511031284,UEMP,0
511031284,LF,0
511041285,UEMP,540
511041285,LF,5127
511041286,UEMP,382
511041286,LF,3505
511041287,UEMP,270
511041287,LF,3844
511041288,UEMP,370
511041288,LF,5266
511041289,UEMP,118
511041289,LF,1510
511041290,UEMP,88
511041290,LF,1423
511041291,UEMP,117
511041291,LF,1988
511041292,UEMP,176
511041292,LF,2729
597979799,UEMP,0
597979799,LF,341
601011001,UEMP,374
601011001,LF,2305
601011002,UEMP,124
601011002,LF,2807
601011003,UEMP,94
601011003,LF,2385
601021004,UEMP,131
601021004,LF,2829
601021005,UEMP,141
601021005,LF,4120
601021006,UEMP,69
601021006,LF,1720
601021007,UEMP,206
601021007,LF,5064
601021008,UEMP,150
601021008,LF,3327
601021009,UEMP,150
601021009,LF,1973
601021010,UEMP,92
601021010,LF,999
601021011,UEMP,239
601021011,LF,2548
601021012,UEMP,101
601021012,LF,2221
601031013,UEMP,86
601031013,LF,2074
601031014,UEMP,202
601031014,LF,2499
601031015,UEMP,266
601031015,LF,3473
601031016,UEMP,142
601031016,LF,1891
601031017,UEMP,412
601031017,LF,4501
601031018,UEMP,144
601031018,LF,2252
601031019,UEMP,229
601031019,LF,2484
601031020,UEMP,239
601031020,LF,2699
601031021,UEMP,143
601031021,LF,1865
601041022,UEMP,306
601041022,LF,5406
601041023,UEMP,271
601041023,LF,5091
601041024,UEMP,154
601041024,LF,3807
601041025,UEMP,0
601041025,LF,0
601041026,UEMP,87
601041026,LF,1679
601051027,UEMP,330
601051027,LF,4237
601051028,UEMP,203
601051028,LF,4499
601051029,UEMP,201
601051029,LF,2329
601051030,UEMP,199
601051030,LF,2950
601051031,UEMP,419
601051031,LF,5677
601051032,UEMP,211
601051032,LF,3097
601051033,UEMP,176
601051033,LF,3281
601061034,UEMP,258
601061034,LF,3520
601061035,UEMP,217
601061035,LF,4084
602011036,UEMP,186
602011036,LF,1426
602011037,UEMP,143
602011037,LF,1913
602011038,UEMP,179
602011038,LF,2623
602011039,UEMP,103
602011039,LF,1989
602011040,UEMP,227
602011040,LF,1534
602011041,UEMP,458
602011041,LF,3669
602011042,UEMP,127
602011042,LF,2291
602011043,UEMP,76
602011043,LF,1753
602011044,UEMP,161
602011044,LF,3145
602011045,UEMP,230
602011045,LF,1310
602011046,UEMP,192
602011046,LF,3149
602011047,UEMP,186
602011047,LF,2210
602011048,UEMP,111
602011048,LF,2297
602011049,UEMP,153
602011049,LF,2375
602011050,UEMP,123
602011050,LF,1580
602011051,UEMP,143
602011051,LF,2227
602011052,UEMP,119
602011052,LF,2273
602021053,UEMP,130
602021053,LF,1379
602021054,UEMP,147
602021054,LF,2369
602021055,UEMP,156
602021055,LF,2559
602021056,UEMP,88
602021056,LF,1728
602021057,UEMP,128
602021057,LF,1800
602031058,UEMP,114
602031058,LF,1947
602031059,UEMP,316
602031059,LF,2532
602031060,UEMP,124
602031060,LF,1758
602031061,UEMP,112
602031061,LF,1574
602031062,UEMP,128
602031062,LF,2477
602031064,UEMP,238
602031064,LF,2161
602031099,UEMP,34
602031099,LF,464
602031100,UEMP,213
602031100,LF,2783
603011065,UEMP,70
603011065,LF,856
603011066,UEMP,112
603011066,LF,1350
603011067,UEMP,151
603011067,LF,2751
603011068,UEMP,0
603011068,LF,12
603021069,UEMP,44
603021069,LF,1205
603021070,UEMP,112
603021070,LF,1681
603021071,UEMP,117
603021071,LF,1427
603021072,UEMP,232
603021072,LF,3734
603031073,UEMP,53
603031073,LF,847
603031074,UEMP,93
603031074,LF,1734
604011075,UEMP,145
604011075,LF,1326
604011076,UEMP,155
604011076,LF,2438
604011077,UEMP,189
604011077,LF,1626
604011078,UEMP,219
604011078,LF,2655
604011079,UEMP,136
604011079,LF,2289
604011080,UEMP,124
604011080,LF,1621
604011081,UEMP,128
604011081,LF,1674
604011082,UEMP,220
604011082,LF,2877
604011083,UEMP,149
604011083,LF,1690
604011084,UEMP,194
604011084,LF,2447
604021085,UEMP,530
604021085,LF,5708
604021086,UEMP,189
604021086,LF,1756
604021087,UEMP,128
604021087,LF,1985
604021088,UEMP,109
604021088,LF,1682
604021089,UEMP,165
604021089,LF,2515
604021090,UEMP,82
604021090,LF,1513
604021091,UEMP,174
604021091,LF,2628
604021092,UEMP,74
604021092,LF,1567
604031093,UEMP,27
604031093,LF,826
604031094,UEMP,78
604031094,LF,1950
604031095,UEMP,100
604031095,LF,1828
604031096,UEMP,118
604031096,LF,1662
604031097,UEMP,243
604031097,LF,1760
604031098,UEMP,0
604031098,LF,0
697979799,UEMP,0
697979799,LF,50
701011001,UEMP,0
701011001,LF,10
701011002,UEMP,176
701011002,LF,4217
701011003,UEMP,0
701011003,LF,8
701011004,UEMP,73
701011004,LF,1905
701011005,UEMP,77
701011005,LF,2285
701011006,UEMP,88
701011006,LF,1294
701011007,UEMP,58
701011007,LF,1579
701011008,UEMP,93
701011008,LF,2650
701011009,UEMP,56
701011009,LF,1883
701021010,UEMP,88
701021010,LF,1123
701021011,UEMP,75
701021011,LF,1264
701021012,UEMP,35
701021012,LF,549
701021013,UEMP,104
701021013,LF,1986
701021014,UEMP,0
701021014,LF,0
701021015,UEMP,0
701021015,LF,0
701021016,UEMP,80
701021016,LF,1630
701021017,UEMP,0
701021017,LF,10
701021018,UEMP,55
701021018,LF,930
701021019,UEMP,134
701021019,LF,2432
701021020,UEMP,100
701021020,LF,2614
701021021,UEMP,72
701021021,LF,2661
701021022,UEMP,127
701021022,LF,2370
701021023,UEMP,91
701021023,LF,1431
701021024,UEMP,56
701021024,LF,1029
701021025,UEMP,105
701021025,LF,2244
701021026,UEMP,100
701021026,LF,1865
701021027,UEMP,65
701021027,LF,1228
701021028,UEMP,72
701021028,LF,1109
701021029,UEMP,49
701021029,LF,966
701021030,UEMP,55
701021030,LF,1298
701031031,UEMP,72
701031031,LF,3241
701031032,UEMP,190
701031032,LF,4741
701031033,UEMP,0
701031033,LF,20
701031034,UEMP,80
701031034,LF,1844
701031035,UEMP,134
701031035,LF,2191
701041036,UEMP,102
701041036,LF,1839
701041037,UEMP,86
701041037,LF,1552
701041038,UEMP,107
701041038,LF,2517
701041039,UEMP,118
701041039,LF,1537
701041040,UEMP,110
701041040,LF,1278
701041041,UEMP,87
701041041,LF,2381
701041042,UEMP,50
701041042,LF,1796
701041043,UEMP,148
701041043,LF,3624
701041044,UEMP,101
701041044,LF,1687
702011045,UEMP,81
702011045,LF,2129
702011046,UEMP,93
702011046,LF,2743
702011047,UEMP,99
702011047,LF,2264
702011048,UEMP,77
702011048,LF,2605
702011049,UEMP,45
702011049,LF,2187
702011050,UEMP,71
702011050,LF,1195
702011051,UEMP,41
702011051,LF,1106
702011052,UEMP,491
702011052,LF,1147
702011053,UEMP,217
702011053,LF,779
702011054,UEMP,429
702011054,LF,820
