School_name,Town_suburb,Postcode,School_gender,Level_of_schooling,Latitude,Longitude,SA2_Code
Cowper Public School,Cowper,2460,Coed,Primary School,-29.56956,153.077731,104011081
Cowra Public School,Cowra,2794,Coed,Primary School,-33.836028,148.68992,103021063
Crabbes Creek Public School,Crabbes Creek,2483,Coed,Primary School,-28.456004,153.496575,112031253
Crescent Head Public School,Crescent Head,2440,Coed,Primary School,-31.188089,152.970345,108021156
Cronulla Public School,Cronulla,2230,Coed,Primary School,-34.054077,151.14773,128011604
Crookwell Public School,Crookwell,2583,Coed,Primary School,-34.459938,149.469806,101051540
Crossmaglen Public School,Crossmaglen,2441,Coed,Primary School,-30.365945,152.981586,104021089
Buronga Public School,Buronga,2739,Coed,Primary School,-34.169471,142.181315,109021178
Crystal Creek Public School,CRYSTAL CREEK,2484,Coed,Primary School,-28.31214,153.32596,112031252
Cudal Public School,Cudal,2864,Coed,Primary School,-33.287099,148.740307,103041079
Cudgen Public School,Cudgen,2487,Coed,Primary School,-28.262592,153.555416,112031250
Culcairn Public School,Culcairn,2660,Coed,Primary School,-35.668284,147.039992,109011175
Cullen Bullen Public School,Cullen Bullen,2790,Coed,Primary School,-33.299877,150.032317,103031071
Cumnock Public School,Cumnock,2867,Coed,Primary School,-32.931277,148.749492,103041079
Cundletown Public School,Cundletown,2430,Coed,Primary School,-31.899733,152.522008,108051169
Curlewis Public School,Curlewis,2381,Coed,Primary School,-31.117149,150.263304,110041200
Currabubula Public School,Currabubula,2342,Coed,Primary School,-31.262787,150.73570900000001,110041201
Dalgety Public School,Dalgety,2628,Coed,Primary School,-36.502746,148.836675,101031016
Dalton Public School,Dalton,2581,Coed,Primary School,-34.720369,149.17882,101061542
Dapto Public School,HORSLEY,2530,Coed,Primary School,-34.494679,150.776781,107011132
Dareton Public School,Dareton,2717,Coed,Primary School,-34.091148,142.040358,109021178
Darlington Public School,Chippendale,2008,Coed,Primary School,-33.892638,151.18939,117031332
Darlington Point Public School,Darlington Point,2706,Coed,Primary School,-34.572807,145.993878,113011257
Leeville Public School,Leeville,2470,Coed,Primary School,-28.930843,153.003537,112021245
Deepwater Public School,Deepwater,2371,Coed,Primary School,-29.442908,151.848086,110021190
Dee Why Public School,Dee Why,2099,Coed,Primary School,-33.749025,151.285209,122031426
Delegate Public School,Delegate,2633,Coed,Primary School,-37.041739,148.937215,101031013
Delungra Public School,Delungra,2403,Coed,Primary School,-29.650936,150.830977,110021193
Denman Public School,Denman,2328,Coed,Primary School,-32.385734,150.686009,106041127
Doonside Public School,Doonside,2767,Coed,Primary School,-33.764557,150.870497,116011306
Dora Creek Public School,Dora Creek,2264,Coed,Primary School,-33.07902,151.499217,111021218
Double Bay Public School,Double Bay,2028,Coed,Primary School,-33.874856,151.240894,118011343
Doubtful Creek Public School,Doubtful Creek,2470,Coed,Primary School,-28.724771,152.875958,112021247
Douglas Park Public School,Douglas Park,2569,Coed,Primary School,-34.179484,150.713038,123031446
Drake Public School,Drake,2469,Coed,Primary School,-28.928798,152.374099,110021194
Drummoyne Public School,Drummoyne,2047,Coed,Primary School,-33.856073,151.153035,120011385
Dubbo Public School,Dubbo,2830,Coed,Primary School,-32.248749,148.60541,105031101
Dubbo North Public School,Dubbo,2830,Coed,Primary School,-32.24168,148.615776,105031100
Dudley Public School,Dudley,2290,Coed,Primary School,-32.989387,151.716816,111011208
Lismore Public School,Lismore,2480,Coed,Primary School,-28.814289,153.2909,112021248
Dundurrabin Public School,Dundurrabin,2453,Coed,Primary School,-30.189493,152.542649,104021087
Dunedoo Central School,Dunedoo,2844,Coed,Central/Community School,-32.018308,149.392212,103031074
Dungay Public School,Dungay,2484,Coed,Primary School,-28.289681,153.382374,112031252
Dungog Public School,Dungog,2420,Coed,Primary School,-32.405233,151.757709,106011110
Dungowan Public School,Dungowan,2340,Coed,Primary School,-31.220126,151.13269,110041205
Dunoon Public School,Dunoon,2480,Coed,Primary School,-28.686735,153.315495,112021249
Dural Public School,Dural,2158,Coed,Primary School,-33.686057,151.026394,115021297
Duranbah Public School,Duranbah,2487,Coed,Primary School,-28.289121,153.516888,112031253
Duri Public School,Duri,2344,Coed,Primary School,-31.221359,150.829939,110041205
Durrumbul Public School,Durrumbul,2482,Coed,Primary School,-28.523263,153.444576,112011243
Earlwood Public School,Earlwood,2206,Coed,Primary School,-33.928982,151.12238,119021364
Eastern Creek Public School,EASTERN CREEK,2766,Coed,Primary School,-33.787013,150.852624,116031319
Panania Public School,PANANIA,2213,Coed,Primary School,-33.965972,150.99946,119011359
Dubbo South Public School,Dubbo,2830,Coed,Primary School,-32.263126,148.609749,105031101
Ebenezer Public School,Ebenezer,2756,Coed,Primary School,-33.530917,150.876774,115031300
Ebor Public School,Ebor,2453,Coed,Primary School,-30.403293,152.349882,110011187
Eden Public School,Eden,2551,Coed,Primary School,-37.063271,149.906688,101041023
Congewai Public School,CONGEWAI,2325,Coed,Primary School,-32.958736,151.273875,106011109
