School_name,Town_suburb,Postcode,School_gender,Level_of_schooling,Latitude,Longitude,SA2_Code
Chittaway Bay Public School,CHITTAWAY BAY,2261,Coed,Primary School,-33.325978,151.43201,102021047
Wilkins Public School,Marrickville,2204,Coed,Primary School,-33.901967,151.155086,117021326
Jamisontown Public School,SOUTH PENRITH,2750,Coed,Primary School,-33.77306,150.683083,124031461
Bonnyrigg Public School,Bonnyrigg,2177,Coed,Primary School,-33.887728,150.888962,127021509
Katoomba Public School,Katoomba,2780,Coed,Primary School,-33.718645,150.313708,124011452
Tanilba Bay Public School,Tanilba Bay,2319,Coed,Primary School,-32.730055,152.005845,106031120
Copacabana Public School,Copacabana,2251,Coed,Primary School,-33.485042,151.436848,102011028
Orana Heights Public School,Dubbo,2830,Coed,Primary School,-32.2525,148.627132,105031101
Plunkett Street Public School,Woolloomooloo,2011,Coed,Primary School,-33.870879,151.22024,117031333
Manning Gardens Public School,Taree,2430,Coed,Primary School,-31.892305,152.459892,108051169
Wiley Park Public School,Wiley Park,2195,Coed,Primary School,-33.924753,151.068761,119021574
Prairievale Public School,Bossley Park,2176,Coed,Primary School,-33.866464,150.890898,127021510
Cudgegong Valley Public School,Mudgee,2850,Coed,Primary School,-32.606539,149.583789,103031072
Wytaliba Public School,Glen Innes,2370,Coed,Primary School,-29.691603,152.110359,110021190
Sandy Beach Public School,Sandy Beach,2456,Coed,Primary School,-30.153584,153.186496,104021091
Eschol Park Public School,Eschol Park,2558,Coed,Primary School,-34.02834,150.810838,123021438
Blackwell Public School,St Clair,2759,Coed,Primary School,-33.806328,150.783052,124051470
Samuel Terry Public School,CRANEBROOK,2749,Coed,Primary School,-33.713307,150.708745,124031458
Rutherford Public School,Rutherford,2320,Coed,Primary School,-32.710925,151.52839,106021117
Sunshine Bay Public School,Batehaven,2536,Coed,Primary School,-35.740734,150.209961,101041018
William Stimson Public School,Wetherill Park,2164,Coed,Primary School,-33.854623,150.905782,127021519
Wirreanda Public School,Medowie,2318,Coed,Primary School,-32.743911,151.875219,106031125
Clare Public School,NA,2711,Coed,Primary School,-33.398005,143.94199,109021179
Brooke Avenue Public School,KILLARNEY VALE,2261,Coed,Primary School,-33.37611,151.466133,102021044
Governor Philip King Public School,Edensor Park,2176,Coed,Primary School,-33.873793,150.879107,127021514
Ellison Public School,Springwood,2777,Coed,Primary School,-33.69035,150.585327,124011454
Robert Townson Public School,Raby,2566,Coed,Primary School,-34.016173,150.818892,123021438
Banks Public School,ST CLAIR,2759,Coed,Primary School,-33.793717,150.773098,124051470
John Purchase Public School,Cherrybrook,2126,Coed,Primary School,-33.718798,151.038895,115011558
Tharawal Public School,Menai,2234,Coed,Primary School,-34.003289,151.025929,128021534
Samuel Gilbert Public School,Castle Hill,2154,Coed,Primary School,-33.713106,150.992027,115011555
Wingham Brush Public School,WINGHAM,2429,Coed,Primary School,-31.87024,152.376982,108051171
William Dean Public School,Dean Park,2761,Coed,Primary School,-33.734259,150.858693,116031314
Minchinbury Public School,Minchinbury,2770,Coed,Primary School,-33.78862,150.832427,116031319
Teven-Tintenbar Public School,Tintenbar,2478,Coed,Primary School,-28.794805,153.500671,112011237
James Erskine Public School,Erskine Park,2759,Coed,Primary School,-33.805167,150.803884,124051469
Kariong Public School,Kariong,2250,Coed,Primary School,-33.441014,151.289632,102011033
Frank Partridge VC Public School,Nambucca Heads,2448,Coed,Primary School,-30.641818,152.986257,108021158
Edensor Park Public School,Edensor Park,2176,Coed,Primary School,-33.882056,150.876121,127021514
Bligh Park Public School,Bligh Park,2756,Coed,Primary School,-33.639133,150.794565,124041467
Sydney Distance Education Primary School,Surry Hills,2010,Coed,Primary School,-33.88627,151.212706,117031336
Dubbo School of Distance Education,Dubbo,2830,Coed,Central/Community School,-32.242937,148.638967,105031100
Northlakes Public School,SAN REMO,2262,Coed,Primary School,-33.214542,151.514788,102021045
Shoal Bay Public School,Shoal Bay,2315,Coed,Primary School,-32.729062,152.173933,106031121
Hambledon Public School,Quakers Hill,2763,Coed,Primary School,-33.71645,150.887211,116021563
Glenmore Park Public School,Glenmore Park,2745,Coed,Primary School,-33.783388,150.681117,124031460
Vincentia Public School,Vincentia,2540,Coed,Primary School,-35.073353,150.669549,114011276
Kearns Public School,Kearns,2558,Coed,Primary School,-34.021486,150.804446,123021438
Bonnyrigg Heights Public School,Bonnyrigg Heights,2177,Coed,Primary School,-33.88935,150.867681,127021509
Mount Annan Public School,Mount Annan,2567,Coed,Primary School,-34.061714,150.760497,123011435
Hassall Grove Public School,Hassall Grove,2761,Coed,Primary School,-33.73548,150.838504,116031315
Barnier Public School,QUAKERS HILL,2763,Coed,Primary School,-33.72051,150.901824,116021563
Maryland Public School,Maryland,2287,Coed,Primary School,-32.881427,151.658808,111031226
Aldavilla Public School,Yarravel,2440,Coed,Primary School,-31.055771,152.786972,108021155
William Bayldon Public School,Sawtell,2452,Coed,Primary School,-30.363714,153.080348,104021089
St Helens Park Public School,St Helens Park,2560,Coed,Primary School,-34.110232,150.804035,123021436
Oakhill Drive Public School,Castle Hill,2154,Coed,Primary School,-33.721563,151.022997,115011554
Alfords Point Public School,Alfords Point,2234,Coed,Primary School,-33.992403,151.02399,128021534
Mullaway Public School,Mullaway,2456,Coed,Primary School,-30.077958,153.190183,104021091
Centaur Public School,Banora Point,2486,Coed,Primary School,-28.215705,153.526762,112031550
Glendenning Public School,Glendenning,2761,Coed,Primary School,-33.74223,150.852638,116031314
Grahamstown Public School,Raymond Terrace,2324,Coed,Primary School,-32.759083,151.774477,106031122
Mount Terry Public School,Albion Park,2527,Coed,Primary School,-34.591636,150.779935,107031136
Hallidays Point Public School,DIAMOND BEACH,2430,Coed,Primary School,-32.041385,152.537553,108051168
Broulee Public School,Broulee,2537,Coed,Primary School,-35.84558,150.171898,101041021
Hinchinbrook Public School,Hinchinbrook,2168,Coed,Primary School,-33.912986,150.85892,127011595
Windsor Park Public School,SOUTH WINDSOR,2756,Coed,Primary School,-33.640641,150.813492,124041467
Caddies Creek Public School,Glenwood,2768,Coed,Primary School,-33.736255,150.926227,116021309
Buninyong Public School,Dubbo,2830,Coed,Primary School,-32.243188,148.639381,105031100
Tacking Point Public School,Port Macquarie,2444,Coed,Primary School,-31.472138,152.926418,108041163
North Nowra Public School,NORTH NOWRA,2541,Coed,Primary School,-34.855557,150.57716,114011277
Henry Fulton Public School,Cranebrook,2749,Coed,Primary School,-33.70473,150.709665,124031458
Glendore Public School,Maryland,2287,Coed,Primary School,-32.873641,151.649712,111031226
Narellan Vale Public School,Narellan Vale,2567,Coed,Primary School,-34.056129,150.744718,123011435
Claremont Meadows Public School,Claremont Meadows,2747,Coed,Primary School,-33.774178,150.747014,124031462
Blue Haven Public School,Blue Haven,2262,Coed,Primary School,-33.212499,151.502826,102021045
Greenway Park Public School,Carnes Hill,2171,Coed,Primary School,-33.938001,150.837554,127011597
Currans Hill Public School,Currans Hill,2567,Coed,Primary School,-34.04785,150.769197,123011435
Callala Public School,Callala Bay,2540,Coed,Primary School,-34.995951,150.714405,114011273
Newington Public School,Newington,2127,Coed,Primary School,-33.841151,151.055228,125011473
Harrington Park Public School,HARRINGTON PARK,2567,Coed,Primary School,-34.027145,150.738527,123011434
Beaumont Hills Public School,Beaumont Hills,2155,Coed,Primary School,-33.697809,150.945659,115041302
Surveyors Creek Public School,Glenmore Park,2745,Coed,Primary School,-33.787277,150.689173,124031460
Bogangar Public School,Bogangar,2488,Coed,Primary School,-28.338166,153.572189,112031253
Jerrabomberra Public School,Jerrabomberra,2619,Coed,Primary School,-35.38609,149.19847,101021012
Dalmeny Public School,Prestons,2170,Coed,Primary School,-33.947297,150.871393,127031600
Cecil Hills Public School,Cecil Hills,2171,Coed,Primary School,-33.888597,150.851731,127011593
Woongarrah Public School,Woongarrah,2259,Coed,Primary School,-33.242434,151.484133,102021056
Ironbark Ridge Public School,Rouse Hill,2155,Coed,Primary School,-33.687371,150.933259,115041302
Kellyville Ridge Public School,Kellyville Ridge,2155,Coed,Primary School,-33.705413,150.924005,116021310
Sherwood Ridge Public School,Kellyville,2155,Coed,Primary School,-33.706672,150.975587,115011559
Shell Cove Public School,Shell Cove,2529,Coed,Primary School,-34.595583,150.857477,107031141
Ashtonfield Public School,Ashtonfield,2323,Coed,Primary School,-32.772442,151.600798,106021115
North East Public School of Distance Education,Port Macquarie,2444,Coed,Primary School,-31.429869,152.913872,108041163
Bourke-Walgett School of Distance Education,Bourke,2840,Coed,Primary School,-30.09364,145.949464,105011092
Ropes Crossing Public School,Ropes Crossing,2760,Coed,Primary School,-33.734589,150.781136,116031316
Elderslie Public School,Elderslie,2570,Coed,Primary School,-34.054473,150.721773,123011434
Middleton Grange Public School,Middleton Grange,2171,Coed,Primary School,-33.917335,150.848199,127011597
John Palmer Public School,The Ponds,2769,Coed,Primary School,-33.708897,150.910328,116021310
Tullimbar Public School,Tullimbar,2527,Coed,Primary School,-34.575901,150.751792,107031136
Wilton Public School,WILTON,2571,Coed,Primary School,-34.229782,150.686362,123031446
Oran Park Public School,Oran Park,2570,Coed,Primary School,-34.008656,150.7331999,127011506
Marie Bashir Public School,STRATHFIELD,2135,Coed,Primary School,-33.875168,151.079424,120031575
Riverbank Public School,THE PONDS,2769,Coed,Primary School,-33.703959,150.899525,116021312
Lake Cathie Public School,LAKE CATHIE,2445,Coed,Primary School,-31.570257,152.826093,108041162
Victoria Avenue Public School,CONCORD WEST,2138,Coed,Primary School,-33.847748,151.083379,120011384
Anzac Park Public School,CAMMERAY,2062,Coed,Primary School,-33.826566,151.210731,121041414
Spring Farm Public School,Spring Farm,2570,Coed,Primary School,-34.069638,150.714957,123011435
Lindfield Learning Village,LINDFIELD,2070,Coed,Central/Community School,-33.790062,151.160509,121031408
Southern Cross School of Distance Education,East Ballina,2478,Coed,Central/Community School,-28.8652,153.5846,112011236
O'Connell Street Public School,PARRAMATTA,2150,Coed,Primary School,-33.80993,151.001264,125041489
Finigan School of Distance Education,Queanbeyan,2620,Coed,Central/Community School,-35.354009,149.221512,101021009
Wentworth Point Public School,WENTWORTH POINT,2127,Coed,Primary School,-33.823709,151.080113,125011473
Bella Vista Public School,Kellyville,2155,Coed,Primary School,-33.726556,150.954991,115011559
North Kellyville Public School,Kellyville,2155,Coed,Primary School,-33.691337,150.955059,115041302
Arncliffe West Infants School,Arncliffe,2205,Coed,Infants School,-33.931832,151.14516,119041375
Australia Street Infants School,Newtown,2042,Coed,Infants School,-33.895783,151.177607,117031332
Canterbury South Public School,Canterbury,2193,Coed,Primary School,-33.917776,151.116013,119021363
Taverners Hill Infants School,Petersham,2049,Coed,Infants School,-33.888955,151.157199,117021327
Ferncourt Public School,Marrickville,2204,Coed,Primary School,-33.921393,151.151497,117021326
Glen Innes West Infants School,Glen Innes,2370,Coed,Infants School,-29.738734,151.723882,110021190
Harcourt Public School,Campsie,2194,Coed,Primary School,-33.90897,151.095803,119021363
Yeo Park Infants School,Ashfield,2131,Coed,Infants School,-33.902692,151.130055,120031390
Merrylands East Public School,Merrylands,2160,Coed,Primary School,-33.841954,150.98929,125031485
Nillo Infants School,LORN,2320,Coed,Infants School,-32.727541,151.559611,106021116
Russell Lea Public School,Five Dock,2046,Coed,Primary School,-33.861418,151.142572,120011385
Stanford Merthyr Infants School,Stanford Merthyr,2327,Coed,Infants School,-32.823423,151.495438,106011111
Kyeemagh Public School,Rockdale,2216,Coed,Primary School,-33.94902,151.162305,119041380
Bardwell Park Infants School,Bardwell Park,2207,Coed,Infants School,-33.933428,151.12555,119041377
Casino West Public School,Casino,2470,Coed,Primary School,-28.85478,153.036779,112021244
Sefton Infants School,Sefton,2162,Coed,Infants School,-33.889237,151.009588,125031479
Hornsby South Public School,Hornsby,2077,Coed,Primary School,-33.713499,151.095148,121021578
Hurstville Grove Infants School,Penshurst,2222,Coed,Infants School,-33.973128,151.090536,119031371
Beauty Point Public School,Mosman,2088,Coed,Primary School,-33.812008,151.241883,121041415
Lansvale Public School,Canley Vale,2166,Coed,Primary School,-33.890977,150.953555,127021513
Granville East Public School,Granville,2142,Coed,Primary School,-33.84827,151.009981,125031483
Westlawn Public School,Grafton,2460,Coed,Primary School,-29.670687,152.929873,104011080
Mount Lewis Infants School,Greenacre,2190,Coed,Infants School,-33.916084,151.04976,119011357
Mulyan Public School,Cowra,2794,Coed,Primary School,-33.822374,148.687266,103021063
Bankstown South Infants School,Bankstown,2200,Coed,Infants School,-33.93123,151.038402,119011572
New Lambton Heights Infants School,New Lambton Heights,2305,Coed,Infants School,-32.934855,151.688027,111011209
Homebush West Public School,HOMEBUSH WEST,2140,Coed,Primary School,-33.866461,151.06671,120031396
Cardiff North Public School,Cardiff,2285,Coed,Primary School,-32.937812,151.665723,111011209
Bletchington Public School,Orange,2800,Coed,Primary School,-33.268526,149.10357,103041078
Heathcote East Public School,Heathcote,2233,Coed,Primary School,-34.082071,151.020259,128021533
School of the Air,Broken Hill,2880,Coed,Primary School,-31.945382,141.472,105021097
Glenfield Park School,Glenfield,2167,Coed,Schools for Specific Purposes,-33.967931,150.878601,123021442
Fisher Road School,Dee Why,2099,Coed,Schools for Specific Purposes,-33.746131,151.287466,122031426
Cromehurst School,Lindfield,2070,Coed,Schools for Specific Purposes,-33.773952,151.172207,121031408
Rowland Hassall School,CHESTER HILL,2162,Coed,Schools for Specific Purposes,-33.817205,151.010682,125041492
John Brotchie Nursery School,Botany,2019,Coed,Other School,-33.942627,151.196138,117011321
Field of Mars Environmental Education Centre,East Ryde,2113,Coed,Environmental Education Centre,-33.816092,151.132849,126021498
Camden Park Environmental Education Centre,Menangle,2568,Coed,Environmental Education Centre,-34.120004,150.709685,123031446
Georges River Environmental Education Centre,Chipping Norton,2170,Coed,Environmental Education Centre,-33.910278,150.961511,127031523
Putland School,Werrington,2747,Coed,Schools for Specific Purposes,-33.764297,150.750385,124031462
Dorchester School,Campbelltown,2560,Coed,Schools for Specific Purposes,-34.088474,150.826331,123021436
Girrakool School,Kariong,2250,Boys,Schools for Specific Purposes,-33.4237,151.296,102011033
Wetlands Environmental Education Centre,Shortland,2307,Coed,Environmental Education Centre,-32.876107,151.696132,111031231
Tallowood School,Kellyville,2155,Coed,Schools for Specific Purposes,-33.707054,150.95217,115011559
Green Square School,Waterloo,2017,Coed,Schools for Specific Purposes,-33.904025,151.203108,117031338
Royal Far West School,Manly,2095,Coed,Schools for Specific Purposes,-33.798519,151.288476,122011419
Beverley Park School,Campbelltown,2560,Coed,Schools for Specific Purposes,-34.062208,150.824219,123021437
Newcastle Senior School,WARATAH,2298,Coed,Schools for Specific Purposes,-32.909171,151.723388,111031234
St George Hospital School,Kogarah,2217,Coed,Schools for Specific Purposes,-33.96671,151.13399,119041378
Stewart House School,Harbord,2096,Coed,Schools for Specific Purposes,-33.77349,151.29131,122031429
Centennial Park School,RANDWICK,2031,Coed,Schools for Specific Purposes,-33.910564,151.243184,118021569
St George School,Kogarah,2217,Coed,Schools for Specific Purposes,-33.969055,151.137532,119041378
Broderick Gillawarna School,Revesby,2212,Coed,Schools for Specific Purposes,-33.942493,151.015897,119011360
Arndell School,North Ryde,2113,Coed,Schools for Specific Purposes,-33.803223,151.125535,126021501
Bridge Road School,Camperdown,2050,Coed,Schools for Specific Purposes,-33.887445,151.175254,117031332
Royal Prince Alfred Hospital School,CAMPERDOWN,2050,Coed,Schools for Specific Purposes,-33.889314,151.180245,117031332
Royal North Shore Hospital School,St Leonards,2065,Coed,Schools for Specific Purposes,-33.820685,151.19079,121011401
Sydney Childrens Hospital School,Randwick,2031,Coed,Schools for Specific Purposes,-33.919053,151.239067,118021570
Sutherland Hospital School,Caringbah,2229,Coed,Schools for Specific Purposes,-34.038034,151.114597,128011602
Bankstown Hospital School,Bankstown,2200,Coed,Schools for Specific Purposes,-33.933446000000004,151.021069,119011572
Willans Hill School,Wagga Wagga,2650,Coed,Schools for Specific Purposes,-35.126266,147.369416,113031269
Illawarra Hospital School,Wollongong,2500,Coed,Schools for Specific Purposes,-34.424793,150.883935,107041549
Liverpool Hospital School,Liverpool,2170,Coed,Schools for Specific Purposes,-33.919912,150.931084,127031598
John Hunter Hospital School,New Lambton Heights,2305,Coed,Schools for Specific Purposes,-32.921378,151.697398,111031225
Redbank School,WESTMEAD,2145,Coed,Schools for Specific Purposes,-33.800809,150.987659,125041491
Fowler Road School,Merrylands,2160,Coed,Schools for Specific Purposes,-33.841497,150.975533,125031485
Passfield Park School,Minto,2566,Coed,Schools for Specific Purposes,-34.027163,150.852353,123021443
Wangee Park School,Campsie,2194,Coed,Schools for Specific Purposes,-33.908248,151.095881,119021363
Bullimbal School,SOUTH TAMWORTH,2340,Coed,Schools for Specific Purposes,-31.075417,150.9209,110041203
Caldera School,TWEED HEADS SOUTH,2486,Coed,Schools for Specific Purposes,-28.207696,153.538777,112031552
Casuarina School,Riverstone,2765,Coed,Schools for Specific Purposes,-33.677516,150.866346,116021312
Cook School,Loftus,2232,Coed,Schools for Specific Purposes,-34.041709,151.052545,128021538
Highlands School,Mittagong,2575,Coed,Schools for Specific Purposes,-34.455042,150.477057,114021286
Mian School,DUBBO,2830,Coed,Schools for Specific Purposes,-32.251353,148.606555,105031101
Naremburn School,Naremburn,2065,Coed,Schools for Specific Purposes,-33.819372,151.200343,121011401
The Beach School,Allambie,2100,Coed,Schools for Specific Purposes,-33.772011,151.262488,122031430
Parry School,Tamworth,2340,Coed,Schools for Specific Purposes,-31.092212,150.916851,110041202
Karningul School,Regents Park,2143,Coed,Schools for Specific Purposes,-33.88501,151.023804,125011587
Wakefield School,Wakefield,2278,Coed,Schools for Specific Purposes,-32.956712,151.56443,111021221
Verona School,Fairfield East,2165,Coed,Schools for Specific Purposes,-33.868235,150.9709,125031480
Cairnsfoot School,BRIGHTON-LE-SANDS,2216,Coed,Schools for Specific Purposes,-33.95457,151.152168,119041380
Woniora Road School,Hurstville,2220,Coed,Schools for Specific Purposes,-33.971003,151.103173,119031374
Carenne School,Bathurst,2795,Coed,Schools for Specific Purposes,-33.426015,149.565755,103011058
William Rose School,Seven Hills,2147,Coed,Schools for Specific Purposes,-33.769095,150.937493,116011307
Minerva School,Sutherland,2232,Coed,Schools for Specific Purposes,-34.034965,151.058739,128021538
Kurrambee School,Werrington,2747,Coed,Schools for Specific Purposes,-33.766384,150.758912,124031462
Anson Street School,Orange,2800,Coed,Schools for Specific Purposes,-33.296478,149.097489,103041077
Glenvale School,Narara,2250,Coed,Schools for Specific Purposes,-33.40658,151.335729,102011035
Mainsbridge School,Liverpool,2170,Coed,Schools for Specific Purposes,-33.925783,150.907516,127031598
Wairoa School,Bondi Beach,2026,Coed,Schools for Specific Purposes,-33.886632,151.278496,118011340
Lawrence Hargrave School,Warwick Farm,2170,Coed,Schools for Specific Purposes,-33.908215,150.935355,127031601
Holroyd School,Merrylands,2160,Coed,Schools for Specific Purposes,-33.828906,150.981664,125031485
The Crescent School,Goulburn,2580,Coed,Schools for Specific Purposes,-34.744593,149.710549,101051539
Coreen School,Blacktown,2148,Coed,Schools for Specific Purposes,-33.77315,150.911039,116011303
Halinda School,Whalan,2770,Coed,Schools for Specific Purposes,-33.75902,150.807065,116031317
Niland School,Blackett,2770,Coed,Schools for Specific Purposes,-33.736791,150.813357,116031313
Para Meadows School,North Wollongong,2500,Coed,Schools for Specific Purposes,-34.411196,150.888605,107041549
Bates Drive School,Kareela,2232,Coed,Schools for Specific Purposes,-34.022243,151.08527,128021536
Palm Avenue School,Westmead,2145,Coed,Schools for Specific Purposes,-33.80257496,150.9851858,125041491
Caroline Chisholm School,Padstow,2211,Coed,Schools for Specific Purposes,-33.936108,151.02521,119011360
Wewak Street School,North Albury,2640,Coed,Schools for Specific Purposes,-36.058451,146.929575,109011173
Rivendell School,Concord West,2138,Coed,Schools for Specific Purposes,-33.832948,151.09845,120011384
Clarke Road School,Hornsby,2077,Coed,Schools for Specific Purposes,-33.712072,151.095647,121021578
Arranounbai School,Frenchs Forest,2086,Coed,Schools for Specific Purposes,-33.756784,151.241291,122031430
Peterborough School,WARILLA,2528,Coed,Schools for Specific Purposes,-34.555992,150.854963,107031143
Wooglemai Environmental Education Centre,Oakdale,2570,Coed,Environmental Education Centre,-34.134567,150.499162,123031448
Karonga School,Epping,2121,Coed,Schools for Specific Purposes,-33.770806,151.06064,126011495
Gadara School,Tumut,2720,Coed,Schools for Specific Purposes,-35.316654,148.232519,113021261
Sir Eric Woodward Memorial School,St Ives,2075,Coed,Schools for Specific Purposes,-33.719579,151.179755,121031410
Bournda Environmental Education Centre,Kalaru,2550,Coed,Environmental Education Centre,-36.7908,149.92712,101041019
Thalgarrah Environmental Education Centre,Armidale,2350,Coed,Environmental Education Centre,-30.447933,151.82475,110011187
Wambangalang Environmental Education Centre,Dubbo,2830,Coed,Environmental Education Centre,-32.48798,148.554792,105031103
Awabakal Environmental Education Centre,Dudley,2290,Coed,Environmental Education Centre,-32.990629,151.716639,111011208
Dorroughby Environmental Education Centre,Dorroughby,2480,Coed,Environmental Education Centre,-28.656556,153.35174,112021249
Tangara School,Mittagong,2575,Coed,Schools for Specific Purposes,-34.451869,150.469424,114021286
G S Kidd Memorial School,Gunnedah,2380,Coed,Schools for Specific Purposes,-30.991687,150.252499,110041199
Lakeside School,Gateshead,2290,Coed,Schools for Specific Purposes,-32.983678,151.692016,111011208
Hunter River Community School,METFORD,2323,Coed,Schools for Specific Purposes,-32.765018,151.612507,106021115
The Hills School,Northmead,2152,Coed,Schools for Specific Purposes,-33.779745,151.003951,125041491
Wilson Park School,Lismore,2480,Coed,Schools for Specific Purposes,-28.831923,153.293313,112021248
Longneck Lagoon Environmental Education Centre,Maraylya,2765,Coed,Environmental Education Centre,-33.576219,150.892806,115041301
Royal National Park Environmental Education Centre,Audley Heights,2232,Coed,Environmental Education Centre,-34.06282,151.057682,128021537
Brewongle Environmental Education Centre,SACKVILLE NORTH,2756,Coed,Environmental Education Centre,-33.48167,150.891511,115021297
Sandon Public School,Armidale,2350,Coed,Primary School,-30.497063,151.65599,110011186
Havenlee School,NORTH NOWRA,2541,Coed,Schools for Specific Purposes,-34.855204,150.576325,114011277
Kalinda School,Griffith,2680,Coed,Schools for Specific Purposes,-34.293126,146.035366,113011256
Newcastle Middle School,Waratah,2298,Coed,Schools for Specific Purposes,-32.90943,151.720351,111031234
Carinya School,Mortdale,2223,Coed,Schools for Specific Purposes,-33.973766,151.082222,119031371
Newcastle Junior School,Hillsborough,2290,Coed,Schools for Specific Purposes,-32.95885,151.680211,111011208
Shepherds Park School,Wagga Wagga,2650,Boys,Schools for Specific Purposes,-35.130108,147.344225,113031269
Les Powell School,Mount Pritchard,2170,Coed,Schools for Specific Purposes,-33.90434,150.91237,127021512
Lucas Gardens School,Canada Bay,2046,Coed,Schools for Specific Purposes,-33.868438,151.113666,120011386
Gibberagong Environmental Education Centre,North Turramurra,2074,Coed,Environmental Education Centre,-33.667445,151.14174,121021403
Mary Brooksbank School,Rosemeadow,2560,Coed,Schools for Specific Purposes,-34.09782,150.792742,123021444
Five Islands School,BOORAGUL,2284,Coed,Schools for Specific Purposes,-32.974054,151.611684,111021215
Gralee School,Leeton,2705,Coed,Schools for Specific Purposes,-34.563497,146.412229,113011258
Cascade Environmental Education Centre,Cascade,2453,Coed,Environmental Education Centre,-30.233457,152.789665,104021087
Warrumbungle National Park Environmental Education Centre,Coonabarabran,2357,Coed,Environmental Education Centre,-31.25459,148.981077,105031099
Riverina Environmental Education Centre,Wagga Wagga,2650,Coed,Environmental Education Centre,-35.124919,147.316837,113031270
Campbell House School,Glenfield,2167,Coed,Schools for Specific Purposes,-33.968196,150.882009,123021442
Holman Place School,Cowra,2794,Coed,Schools for Specific Purposes,-33.824253,148.694013,103021063
Edgeware School,Hurlstone Park,2193,Coed,Schools for Specific Purposes,-33.913582,151.131342,120031392
Kotara School,Kotara,2289,Coed,Schools for Specific Purposes,-32.94283,151.700379,111031222
Rumbalara Environmental Education Centre,Gosford,2250,Coed,Environmental Education Centre,-33.428082,151.347464,102011032
Botany Bay Environmental Education Centre,Kurnell,2231,Coed,Environmental Education Centre,-34.003706,151.221169,128011604
Illawarra Environmental Education Centre,Dunmore,2529,Coed,Environmental Education Centre,-34.610625,150.854786,107031141
Kandeer School,NORTH ALBURY,2640,Coed,Schools for Specific Purposes,-36.062278,146.927949,109011173
Observatory Hill Environmental Education Centre,THE ROCKS,2000,Coed,Environmental Education Centre,-33.860863,151.204832,117031337
Ajuga School,Glenfield,2167,Coed,Schools for Specific Purposes,-33.969521,150.878033,123021442
Budawang School,Ulladulla,2539,Coed,Schools for Specific Purposes,-35.34971,150.471311,114011282
Red Hill Environmental Education Centre,Gulgong,2852,Coed,Environmental Education Centre,-32.364632,149.536274,103031074
The Childrens Hospital School,Westmead,2145,Coed,Schools for Specific Purposes,-33.802243,150.991834,125041491
Penrith Lakes Environmental Education Centre,CASTLEREAGH,2749,Coed,Environmental Education Centre,-33.728553,150.686511,124031458
Lomandra School,Campbelltown,2560,Coed,Schools for Specific Purposes,-34.06173,150.824344,123021437
Plumpton House School,Plumpton,2761,Coed,Schools for Specific Purposes,-33.75029,150.840732,116031315
HopeTown School,Wyong,2259,Coed,Schools for Specific Purposes,-33.280982,151.448585,102021057
Induna School,South Grafton,2460,Coed,Schools for Specific Purposes,-29.722447,152.94639,104011080
Lincoln School,Dubbo,2830,Coed,Schools for Specific Purposes,-32.2313,148.5784,105031102
The Bidgee School,Wagga Wagga,2650,Coed,Schools for Specific Purposes,-35.124587,147.364173,113031269
Canterbury Vale School,Lakemba,2195,Coed,Schools for Specific Purposes,-33.915685,151.074514,119021573
North Gosford Learning Centre,North Gosford,2250,Coed,Schools for Specific Purposes,-33.416874,151.35037,102011032
Penrith Valley Learning Centre,Werrington,2747,Coed,Schools for Specific Purposes,-33.766114,150.7567,124031462
Barwon Learning Centre,Moree,2400,Coed,Schools for Specific Purposes,-29.482103,149.842223,110031195
Coffs Harbour Learning Centre,Boambee,2450,Coed,Schools for Specific Purposes,-30.347588,153.071794,104021089
Woodberry Learning Centre,Woodberry,2322,Coed,Schools for Specific Purposes,-32.791554,151.671217,111031223
The Ponds School,The Ponds,2769,Coed,Schools for Specific Purposes,-33.698,150.911601,116021310
Yandelora School,NARELLAN,2567,Coed,Schools for Specific Purposes,-34.04306214,150.732244025,123011434
George Bass School,BASS HILL,2197,Coed,Schools for Specific Purposes,-33.898788,150.9949744,119011354
Fernhill School,GLENMORE PARK,2745,Coed,Schools for Specific Purposes,-33.796286238,150.676955842,124031460
Yawarra Community School,Dubbo,2830,Coed,Schools for Specific Purposes,-32.24969,148.58362,105031102
Canowindra Public School,CANOWINDRA,2804,Coed,Primary School,-33.566198,148.664921,103021064
Carlingford Public School,Carlingford,2118,Coed,Primary School,-33.780094,151.055153,125021476
Gloucester Public School,Gloucester,2422,Coed,Primary School,-32.010211,151.961099,108051167
Manilla Central School,Manilla,2346,Coed,Central/Community School,-30.750947,150.728435,110041205
Orange Public School,Orange,2800,Coed,Primary School,-33.286264,149.096584,103041077
Plattsburg Public School,Wallsend,2287,Coed,Primary School,-32.896354,151.669186,111031233
Scone Public School,Scone,2337,Coed,Primary School,-32.049446,150.863855,106041128
Wingham Public School,Wingham,2429,Coed,Primary School,-31.863383,152.350225,108051171
Dorrigo Public School,Dorrigo,2453,Coed,Primary School,-30.343091,152.71033,104021087
Arncliffe Public School,Arncliffe,2205,Coed,Primary School,-33.94054,151.14755,119041375
Auburn Public School,Auburn,2144,Coed,Primary School,-33.854,151.032953,125011582
Balmain Public School,BALMAIN,2041,Coed,Primary School,-33.859166,151.183417,120021387
Bankstown Public School,Bankstown,2200,Coed,Primary School,-33.921122,151.034168,119011572
Bexley Public School,Bexley,2207,Coed,Primary School,-33.947687,151.128861,119041381
