"","STAT_UNIT","UNIT_MEASURE","EDU_LEVEL","EDU_CAT","SEX","AGE","GRADE","SECTOR_EDU","EDU_ATTAIN","WEALTH_QUINTILE","LOCATION","EDU_TYPE","EDU_FIELD","SUBJECT","INFRASTR","SE_BKGRD","TEACH_EXPERIENCE","CONTRACT_TYPE","COUNTRY_ORIGIN","REGION_DEST","IMM_STATUS","REF_AREA","TIME_PERIOD","OBS_VALUE","UNIT_MULT","OBS_STATUS","FREQ","DECIMALS"
"51","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","VN","2017","0","0","A","A","5"
"52","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","IE","2016","106","0","A","A","5"
"53","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","CO","2016","3","0","A","A","5"
"54","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","CO","2017","12","0","A","A","5"
"55","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","KR","2016","87","0","A","A","5"
"56","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","TJ","2016","0","0","A","A","5"
"57","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","TJ","2017","0","0","A","A","5"
"58","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","DK","2016","146","0","A","A","5"
"59","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","MU","2017","4","0","A","A","5"
"60","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","AE","2016","196","0","A","A","5"
"61","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","NE","2017","0","0","A","A","5"
"62","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","NO","2016","49","0","A","A","5"
"63","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","NO","2017","43","0","A","A","5"
"64","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","KG","2016","0","0","A","A","5"
"65","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","KG","2017","0","0","A","A","5"
"66","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","JP","2016","353","0","A","A","5"
"67","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","UA","2016","2","0","A","A","5"
"68","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","UA","2017","1","0","A","A","5"
"69","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","VG","2016","0","0","A","A","5"
"70","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","CH","2016","154","0","A","A","5"
"71","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","CA","2016","444","0","E","A","5"
"72","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","BM","2017","0","0","A","A","5"
"73","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","AZ","2016","1","0","A","A","5"
"74","STU_MOBILE","PER","L5T8","_T","_T","_T","_T","INST_T","_Z","_Z","_T","_T","_T","_T","_Z","_Z","_Z","_Z","AU","W00","_Z","AZ","2017","0","0","A","A","5"
