"","STAT_UNIT","UNIT_MEASURE","EDU_LEVEL","EDU_CAT","SECTOR_EDU","EXPENDITURE_TYPE","SOURCE_FUND","FUND_FLOW","TEACH_EXPERIENCE","CONTRACT_TYPE","REF_AREA","TIME_PERIOD","OBS_VALUE","UNIT_MULT","FREQ","DECIMALS","OBS_STATUS"
"21698","EDU_EXP","EXP_T","L4","_T","INST_PUB","CAP","GOV","FFNTP","_Z","_Z","PK","2016","0","0","A","5","Z"
"21699","EDU_EXP","PPP","L3","_T","_T","_T","GOV","_T","_Z","_Z","MM","2017","1352.50666","0","A","5","A"
"21700","EDU_EXP","GNI","L4","_T","_T","CUR","GOV","_T","_Z","_Z","LC","2016","0.37791","0","A","5","A"
"21701","EDU_EXP","CUR_EXP","L1","_T","INST_PUB","CUR_TM","GOV","FFNTP","_Z","_Z","VE","2016","0.42943","0","A","5","A"
"21702","EDU_EXP","CUR_EXP","L1","_T","INST_PUB","CUR_TM","GOV","FFNTP","_Z","_Z","VE","2017","0.06582","0","A","5","A"
"21703","EDU_EXP","EXP_T","L2_3","_T","INST_PUB","CUR","GOV","FFNTP","_Z","_Z","DZ","2016","99.99790","0","A","5","A"
"21704","EDU_EXP","EXP_T","L2_3","_T","INST_PUB","CUR","GOV","FFNTP","_Z","_Z","DZ","2017","99.99750","0","A","5","A"
"21705","EDU_EXP","CUR_EXP","L2_3","_T","_T","CUR","GOV","_T","_Z","_Z","PK","2016","29.31309","0","A","5","A"
"21706","XUNIT","USD","L5T8","_T","_T","_T","GOV","FFNTR","_Z","_Z","JO","2016","951.34107","0","A","5","A"
"21707","XUNIT","USD","L5T8","_T","_T","_T","GOV","FFNTR","_Z","_Z","JO","2017","941.60474","0","A","5","A"
"21708","EDU_EXP","USD_CONST","L2T4","C5","_T","_T","GOV","_T","_Z","_Z","KZ","2016","0","0","A","5","A"
