sex,age,sa2_code,region,time,value
Males,15 - 19,115011293,Cherrybrook,2016,1104
Females,45 - 49,119031369,Mortdale - Penshurst,2016,833
Males,80 - 84,107041144,Balgownie - Fairy Meadow,2016,268
Males,85 and over,124031465,Warragamba - Silverdale,2016,19
Females,20 - 24,103031075,Wollangambe - Wollemi,2016,0
Males,20 - 24,101011001,Goulburn,2016,857
Males,85 and over,117021326,Marrickville,2016,194
Males,5 - 9,120021389,Lilyfield - Rozelle,2016,483
Males,20 - 24,113031266,Temora,2016,153
Males,55 - 59,103031073,Mudgee Region - East,2016,143
Males,10 - 14,119021366,Punchbowl,2016,777
Males,80 - 84,102021052,Summerland Point - Gwandalan,2016,63
Males,50 - 54,126021502,Ryde - Putney,2016,1016
Females,55 - 59,111021216,Bonnells Bay - Silverwater,2016,301
Males,30 - 34,115021298,Galston - Laughtondale,2016,114
Males,10 - 14,112011237,Ballina Region,2016,588
Females,60 - 64,106021114,Maitland,2016,152
Males,45 - 49,117031337,Sydney - Haymarket - The Rocks,2016,621
Males,25 - 29,121021403,Asquith - Mount Colah,2016,460
Males,30 - 34,119031374,South Hurstville - Blakehurst,2016,901
Males,70 - 74,120021388,Leichhardt - Annandale,2016,326
Males,65 - 69,199999499,No usual address (NSW),2016,0
Males,15 - 19,101011006,Young Region,2016,212
Females,30 - 34,119031370,Narwee - Beverly Hills,2016,535
Males,25 - 29,108011151,Bulahdelah - Stroud,2016,111
Females,65 - 69,127021512,Cabramatta West - Mount Pritchard,2016,375
Females,15 - 19,101041023,Eden,2016,82
Females,80 - 84,102021045,Blue Haven - San Remo,2016,93
Females,25 - 29,112021249,Lismore Region,2016,263
Males,20 - 24,123021441,Leumeah - Minto Heights,2016,635
Females,55 - 59,102011039,Terrigal - North Avoca,2016,516
Males,70 - 74,127021514,Edensor Park,2016,139
Females,0 - 4,103011059,Bathurst - East,2016,439
Females,40 - 44,115011293,Cherrybrook,2016,939
Males,80 - 84,116031317,Mount Druitt - Whalan,2016,132
Females,20 - 24,127021510,Bossley Park - Abbotsbury,2016,751
Males,35 - 39,119041379,Kogarah Bay - Carlton - Allawah,2016,586
Females,60 - 64,106011110,Dungog,2016,348
Males,10 - 14,111031224,Hamilton - Broadmeadow,2016,318
Males,50 - 54,101031014,Cooma,2016,237
Females,0 - 4,122021421,Bayview - Elanora Heights,2016,253
Males,30 - 34,124011449,Blackheath - Megalong Valley,2016,132
Males,10 - 14,118011343,Double Bay - Bellevue Hill,2016,650
Males,55 - 59,104021084,Coffs Harbour - North,2016,573
Males,15 - 19,197979799,Migratory - Offshore - Shipping (NSW),2016,0
Males,0 - 4,104021084,Coffs Harbour - North,2016,529
Females,45 - 49,118011342,Centennial Park,2016,0
Males,80 - 84,104021091,Woolgoolga - Arrawarra,2016,161
Females,65 - 69,120031396,Homebush,2016,173
Males,70 - 74,125041493,Toongabbie - Constitution Hill,2016,376
Males,25 - 29,116021309,Glenwood,2016,480
Males,80 - 84,127021509,Bonnyrigg Heights - Bonnyrigg,2016,77
Females,40 - 44,199999499,No usual address (NSW),2016,0
Females,5 - 9,103041078,Orange - North,2016,837
Males,30 - 34,108021159,Nambucca Heads Region,2016,167
Males,25 - 29,110011187,Armidale Region - North,2016,127
Males,0 - 4,103021068,Parkes Region,2016,94
Males,15 - 19,108011154,Tuncurry,2016,148
Females,25 - 29,106011108,Cessnock,2016,751
Males,65 - 69,115011296,West Pennant Hills,2016,414
Females,50 - 54,127031526,Prestons - Lurnea,2016,914
Males,45 - 49,112011240,Byron Bay,2016,311
Females,40 - 44,111031224,Hamilton - Broadmeadow,2016,401
Males,0 - 4,119041381,Rockdale - Banksia,2016,638
Males,5 - 9,124031461,Jamisontown - South Penrith,2016,629
Males,35 - 39,119041381,Rockdale - Banksia,2016,952
Females,30 - 34,105021097,Broken Hill,2016,547
Males,45 - 49,119011358,Padstow,2016,493
Males,0 - 4,125031482,Greystanes - Pemulwuy,2016,1072
Females,40 - 44,114011281,Tomerong - Wandandian - Woollamia,2016,119
Females,80 - 84,127021516,Fairfield - West,2016,173
Males,25 - 29,109011174,Albury - South,2016,327
Females,30 - 34,112021244,Casino,2016,290
Females,15 - 19,127021517,Greenfield Park - Prairiewood,2016,298
Males,60 - 64,128011531,Sylvania - Taren Point,2016,431
Males,60 - 64,112011241,Evans Head,2016,220
Females,60 - 64,114021286,Mittagong,2016,343
Males,70 - 74,111031233,Wallsend - Elermore Vale,2016,449
Females,25 - 29,107031137,Albion Park Rail,2016,246
Males,75 - 79,127021509,Bonnyrigg Heights - Bonnyrigg,2016,143
Females,65 - 69,113011257,Griffith Region,2016,271
Males,65 - 69,109031180,Corowa,2016,221
Females,30 - 34,104021090,Urunga,2016,88
Females,30 - 34,111011213,Valentine - Eleebana,2016,270
Females,50 - 54,118011345,Paddington - Moore Park,2016,489
Females,75 - 79,121031412,Wahroonga - Warrawee,2016,312
Females,75 - 79,122031430,Manly Vale - Allambie Heights,2016,263
Females,15 - 19,113021261,Tumut,2016,180
Males,25 - 29,120031393,Croydon Park - Enfield,2016,664
Females,5 - 9,119041381,Rockdale - Banksia,2016,453
Males,35 - 39,111031223,Beresfield - Hexham,2016,213
Females,25 - 29,114021284,Bowral,2016,188
Females,75 - 79,113031269,Wagga Wagga - South,2016,324
Females,80 - 84,112011238,Bangalow,2016,48
Males,60 - 64,104011080,Grafton,2016,540
Females,45 - 49,116031313,Bidwill - Hebersham - Emerton,2016,626
Females,45 - 49,124031460,Glenmore Park - Regentville,2016,855
Males,55 - 59,102011035,Narara,2016,238
Males,45 - 49,120031394,Dulwich Hill - Lewisham,2016,606
Females,15 - 19,127011507,Green Valley - Cecil Hills,2016,1382
Males,45 - 49,113031271,Wagga Wagga Region,2016,475
Females,25 - 29,120011383,Concord - Mortlake - Cabarita,2016,723
Males,45 - 49,112011242,Lennox Head - Skennars Head,2016,272
Males,70 - 74,127021519,Smithfield - Wetherill Park,2016,315
Females,10 - 14,115011291,Baulkham Hills (West) - Bella Vista,2016,652
Males,40 - 44,123021442,Macquarie Fields - Glenfield,2016,857
Males,70 - 74,116031318,Prospect Reservoir,2016,0
Males,50 - 54,124031462,Kingswood - Werrington,2016,525
Males,55 - 59,106011113,Singleton Region,2016,229
Females,75 - 79,105011096,Walgett - Lightning Ridge,2016,103
Males,15 - 19,124031465,Warragamba - Silverdale,2016,226
Females,80 - 84,106021118,Thornton - Millers Forest,2016,34
Females,30 - 34,122031425,Cromer,2016,198
Males,5 - 9,101011002,Goulburn Region,2016,396
Males,50 - 54,120021387,Balmain,2016,601
Males,30 - 34,113011256,Griffith (NSW),2016,725
Females,0 - 4,106011109,Cessnock Region,2016,227
Females,0 - 4,107011130,Berkeley - Warrawong - Windang,2016,942
Males,80 - 84,107031142,Shellharbour - Oak Flats,2016,105
Females,20 - 24,107041147,Helensburgh,2016,256
Males,5 - 9,122011419,Manly - Fairlight,2016,566
Males,40 - 44,114011279,St Georges Basin - Erowal Bay,2016,360
Females,70 - 74,123021438,Claymore - Eagle Vale - Raby,2016,222
Males,50 - 54,125011473,Homebush Bay - Silverwater,2016,521
Females,5 - 9,103041076,Blayney,2016,269
Males,45 - 49,107021135,Illawarra Catchment Reserve,2016,0
Females,75 - 79,118021348,Coogee - Clovelly,2016,314
Females,10 - 14,102021044,Bateau Bay - Killarney Vale,2016,619
Females,80 - 84,101041022,Deua - Wadbilliga,2016,0
Males,45 - 49,104021089,Sawtell - Boambee,2016,603
Males,55 - 59,118011341,Bondi Junction - Waverly,2016,438
Males,65 - 69,111031222,Adamstown - Kotara,2016,315
Females,60 - 64,113011259,Narrandera,2016,194
Males,80 - 84,125041491,Northmead,2016,123
Females,30 - 34,101041027,Narooma - Bermagui,2016,154
Females,35 - 39,117031333,Potts Point - Woolloomooloo,2016,912
Males,75 - 79,121011402,Willoughby - Castle Cove - Northbridge,2016,340
Males,5 - 9,116031314,Glendenning Dean Park,2016,373
Females,25 - 29,103011059,Bathurst - East,2016,349
Females,50 - 54,119011358,Padstow,2016,656
Males,50 - 54,111011207,Belmont South - Blacksmiths,2016,214
Females,25 - 29,105031101,Dubbo - South,2016,755
Males,40 - 44,116011303,Blacktown (East) - Kings Park,2016,579
Females,15 - 19,110031196,Moree Region,2016,167
Females,0 - 4,114021285,Hill Top - Colo Vale,2016,225
Males,60 - 64,125031483,Guildford - South Granville,2016,489
Males,10 - 14,103031073,Mudgee Region - East,2016,106
Females,45 - 49,108041165,Port Macquarie Region,2016,201
Males,25 - 29,118011339,Bondi - Tamarama - Bronte,2016,1169
Females,70 - 74,127031522,Casula,2016,197
Males,35 - 39,127021511,Cabramatta - Lansvale,2016,698
Males,65 - 69,106011108,Cessnock,2016,575
Females,40 - 44,114021287,Moss Vale - Berrima,2016,310
Females,0 - 4,199999499,No usual address (NSW),2016,0
Females,40 - 44,107041146,Figtree - Keiraville,2016,755
Females,70 - 74,117021328,Sydenham - Tempe - St Peters,2016,97
Females,75 - 79,106011110,Dungog,2016,161
Males,50 - 54,115031299,Bilpin - Colo - St Albans,2016,136
Males,60 - 64,105031099,Coonabarabran,2016,311
Males,50 - 54,125041492,Parramatta - Rosehill,2016,546
Males,15 - 19,106021118,Thornton - Millers Forest,2016,369
Females,55 - 59,103011058,Bathurst,2016,739
Males,40 - 44,118011340,Bondi Beach - North Bondi,2016,982
Males,25 - 29,123021436,Bradbury - Wedderburn,2016,674
Females,10 - 14,125011473,Homebush Bay - Silverwater,2016,324
Females,20 - 24,121011402,Willoughby - Castle Cove - Northbridge,2016,654
Males,15 - 19,102011041,Wamberal - Forresters Beach,2016,320
Females,45 - 49,119041376,Bexley,2016,862
Males,80 - 84,115011292,Castle Hill,2016,207
Females,20 - 24,121041413,Cremorne - Cammeray,2016,482
Females,30 - 34,119041380,Monterey - Brighton-le-Sands - Kyeemagh,2016,640
Males,60 - 64,119041377,Kingsgrove (South) - Bardwell Park,2016,315
Males,15 - 19,105011096,Walgett - Lightning Ridge,2016,167
Males,20 - 24,119011359,Panania - Milperra - Picnic Point,2016,916
Males,5 - 9,114011274,Culburra Beach,2016,103
Females,85 and over,116031317,Mount Druitt - Whalan,2016,119
Males,15 - 19,112021245,Casino Region,2016,241
Females,15 - 19,113031265,Junee,2016,165
Males,65 - 69,121011398,Chatswood (East) - Artarmon,2016,530
Males,0 - 4,125021478,Oatlands - Dundas Valley,2016,655
Males,10 - 14,105031102,Dubbo - West,2016,345
Males,40 - 44,116031319,Rooty Hill - Minchinbury,2016,709
Females,55 - 59,114011281,Tomerong - Wandandian - Woollamia,2016,145
Males,20 - 24,123011434,Elderslie - Harrington Park,2016,669
Females,5 - 9,127021519,Smithfield - Wetherill Park,2016,634
Females,25 - 29,111031234,Waratah - North Lambton,2016,513
Females,75 - 79,112011240,Byron Bay,2016,107
Females,5 - 9,123031446,Douglas Park - Appin,2016,390
Males,55 - 59,122031430,Manly Vale - Allambie Heights,2016,494
Females,60 - 64,114011276,Huskisson - Vincentia,2016,189
Females,35 - 39,112031255,Tweed Heads - South,2016,707
Males,20 - 24,105031100,Dubbo - East,2016,369
Males,75 - 79,115041302,Rouse Hill - Beaumont Hills,2016,133
Females,35 - 39,113011258,Leeton,2016,266
Males,25 - 29,127021521,Wetherill Park Industrial,2016,1
Females,65 - 69,117011321,Botany,2016,220
Males,35 - 39,109031184,Moama,2016,135
Males,40 - 44,107011131,Dapto - Avondale,2016,770
Females,30 - 34,103041077,Orange,2016,627
Females,75 - 79,125041492,Parramatta - Rosehill,2016,166
Females,75 - 79,124011449,Blackheath - Megalong Valley,2016,125
Females,55 - 59,119011360,Revesby,2016,558
Females,65 - 69,119031373,Riverwood,2016,276
Males,25 - 29,123031445,Bargo,2016,180
Females,40 - 44,112031255,Tweed Heads - South,2016,826
Males,55 - 59,117031337,Sydney - Haymarket - The Rocks,2016,557
Females,0 - 4,119011354,Bass Hill - Georges Hall,2016,868
Females,45 - 49,103021064,Cowra Region,2016,196
Males,20 - 24,112021248,Lismore,2016,635
Males,55 - 59,106031122,Raymond Terrace,2016,417
Females,80 - 84,110021190,Glen Innes,2016,149
Females,60 - 64,114021289,Southern Highlands,2016,311
Females,55 - 59,123021440,Ingleburn - Denham Court,2016,657
Females,60 - 64,125031479,Chester Hill - Sefton,2016,462
Females,25 - 29,112011243,Mullumbimby,2016,171
Males,60 - 64,110041202,Tamworth - East,2016,592
Males,30 - 34,110011187,Armidale Region - North,2016,113
Females,25 - 29,108041163,Port Macquarie - East,2016,683
Males,5 - 9,126021499,Hunters Hill - Woolwich,2016,370
Females,60 - 64,105031104,Gilgandra,2016,145
Females,60 - 64,102021052,Summerland Point - Gwandalan,2016,199
Males,30 - 34,113031265,Junee,2016,307
Females,25 - 29,114021286,Mittagong,2016,230
Males,70 - 74,122031426,Dee Why - North Curl Curl,2016,324
Females,50 - 54,102021049,Jilliby - Yarramalong,2016,147
Males,55 - 59,127031525,Liverpool - Warwick Farm,2016,927
Males,50 - 54,123021440,Ingleburn - Denham Court,2016,680
Males,85 and over,117031338,Waterloo - Beaconsfield,2016,98
Females,5 - 9,110041205,Tamworth Region,2016,690
Males,40 - 44,119011360,Revesby,2016,554
Females,65 - 69,110041201,Quirindi,2016,243
Females,80 - 84,118011339,Bondi - Tamarama - Bronte,2016,162
Males,40 - 44,125041488,Girraween - Westmead,2016,1219
Males,35 - 39,102021054,Toukley - Norah Head,2016,244
Females,35 - 39,106041126,Muswellbrook,2016,380
Females,50 - 54,105011095,Nyngan - Warren,2016,165
Males,85 and over,108051171,Wingham,2016,88
Females,15 - 19,106021116,Maitland - North,2016,245
Males,85 and over,112021245,Casino Region,2016,43
Males,55 - 59,120011386,Five Dock - Abbotsford,2016,622
Males,65 - 69,106041129,Scone Region,2016,279
Females,25 - 29,110011186,Armidale,2016,851
Females,0 - 4,114011278,Nowra,2016,742
Females,70 - 74,118021348,Coogee - Clovelly,2016,401
Females,0 - 4,121011401,St Leonards - Naremburn,2016,403
Males,10 - 14,122011419,Manly - Fairlight,2016,415
Females,35 - 39,102011030,Calga - Kulnura,2016,113
Males,75 - 79,110031195,Moree,2016,139
Males,85 and over,123031448,The Oaks - Oakdale,2016,38
Males,0 - 4,107031137,Albion Park Rail,2016,259
Females,50 - 54,109021179,Wentworth-Balranald Region,2016,130
Males,45 - 49,119011361,Yagoona - Birrong,2016,616
Females,15 - 19,120031393,Croydon Park - Enfield,2016,526
Males,25 - 29,109021179,Wentworth-Balranald Region,2016,105
Females,15 - 19,103031074,Mudgee Region - West,2016,268
Females,25 - 29,112031254,Tweed Heads,2016,488
Males,45 - 49,111011209,Glendale - Cardiff - Hillsborough,2016,767
Females,80 - 84,106031119,Anna Bay,2016,73
Females,65 - 69,115011292,Castle Hill,2016,886
Females,85 and over,101011005,Young,2016,208
Males,0 - 4,116011308,Seven Hills - Toongabbie,2016,924
Males,55 - 59,110021193,Inverell Region - West,2016,239
Males,20 - 24,111021220,Wangi Wangi - Rathmines,2016,242
Males,30 - 34,122021422,Newport - Bilgola,2016,293
Males,45 - 49,121021406,Normanhurst - Thornleigh - Westleigh,2016,712
Females,85 and over,114011277,North Nowra - Bomaderry,2016,245
Males,85 and over,112031255,Tweed Heads - South,2016,553
Males,50 - 54,110041203,Tamworth - North,2016,411
Females,80 - 84,112021248,Lismore,2016,187
Males,20 - 24,102021051,Ourimbah - Fountaindale,2016,190
Females,40 - 44,109021179,Wentworth-Balranald Region,2016,102
Females,80 - 84,103041078,Orange - North,2016,174
Males,65 - 69,105031100,Dubbo - East,2016,237
Males,70 - 74,118011342,Centennial Park,2016,0
Females,10 - 14,125031481,Granville - Clyde,2016,567
Males,40 - 44,104021084,Coffs Harbour - North,2016,519
Females,0 - 4,102011039,Terrigal - North Avoca,2016,391
Males,20 - 24,111021217,Edgeworth - Cameron Park,2016,449
Females,80 - 84,120021388,Leichhardt - Annandale,2016,192
Females,15 - 19,108041165,Port Macquarie Region,2016,168
Females,15 - 19,111021219,Toronto - Awaba,2016,419
Females,35 - 39,111031230,Newcastle Port - Kooragang,2016,1
Males,25 - 29,124011454,Springwood - Winmalee,2016,455
Females,50 - 54,116031314,Glendenning Dean Park,2016,279
Males,60 - 64,119011357,Greenacre - Mount Lewis,2016,620
Males,15 - 19,105011093,Cobar,2016,134
Females,70 - 74,108051170,Taree Region,2016,459
Females,10 - 14,110031196,Moree Region,2016,214
Males,5 - 9,121011400,Lane Cove - Greenwich,2016,915
Males,30 - 34,126011496,Pennant Hills - Cheltenham,2016,496
Males,20 - 24,111021215,Bolton Point - Teralba,2016,311
Males,50 - 54,108041163,Port Macquarie - East,2016,871
Females,50 - 54,120031391,Burwood - Croydon,2016,784
Males,30 - 34,106011112,Singleton,2016,567
Males,15 - 19,101031014,Cooma,2016,221
Males,0 - 4,111031225,Lambton - New Lambton,2016,581
Females,15 - 19,115011292,Castle Hill,2016,998
Females,55 - 59,128021532,Engadine - Loftus,2016,879
Females,60 - 64,119041379,Kogarah Bay - Carlton - Allawah,2016,442
Males,10 - 14,124031464,Penrith,2016,370
Females,0 - 4,121011398,Chatswood (East) - Artarmon,2016,962
Females,10 - 14,103041079,Orange Region,2016,461
Males,60 - 64,117031330,Erskineville - Alexandria,2016,294
Males,70 - 74,112031253,Pottsville,2016,335
Males,20 - 24,111011213,Valentine - Eleebana,2016,349
Males,5 - 9,125041489,North Parramatta,2016,613
Females,60 - 64,108021159,Nambucca Heads Region,2016,309
Males,20 - 24,106031125,Williamtown - Medowie - Karuah,2016,462
Females,0 - 4,116021309,Glenwood,2016,567
Males,25 - 29,121011401,St Leonards - Naremburn,2016,634
Females,60 - 64,125021477,Ermington - Rydalmere,2016,551
Males,70 - 74,128021536,Oyster Bay - Como - Jannali,2016,440
Males,70 - 74,113031267,Wagga Wagga - East,2016,337
Females,85 and over,114011274,Culburra Beach,2016,116
Males,0 - 4,111011212,Swansea - Caves Beach,2016,346
Females,55 - 59,128021534,Illawong - Alfords Point,2016,572
Males,25 - 29,125011475,Rookwood Cemetery,2016,0
Males,0 - 4,107031140,Kiama Hinterland - Gerringong,2016,224
Males,65 - 69,119031374,South Hurstville - Blakehurst,2016,568
Females,50 - 54,104021086,Coramba - Nana Glen - Bucca,2016,159
Males,30 - 34,106041127,Muswellbrook Region,2016,123
Males,70 - 74,116021311,Quakers Hill - Acacia Gardens,2016,255
Males,55 - 59,106031119,Anna Bay,2016,234
Females,50 - 54,121021406,Normanhurst - Thornleigh - Westleigh,2016,667
Males,60 - 64,103021063,Cowra,2016,319
Males,50 - 54,120011383,Concord - Mortlake - Cabarita,2016,731
Males,40 - 44,101021009,Queanbeyan,2016,425
Males,5 - 9,124031464,Penrith,2016,378
Males,5 - 9,103031075,Wollangambe - Wollemi,2016,0
Males,40 - 44,125011473,Homebush Bay - Silverwater,2016,883
Males,85 and over,127031523,Chipping Norton - Moorebank,2016,84
Males,10 - 14,112011240,Byron Bay,2016,244
Males,20 - 24,124051469,Erskine Park,2016,354
Females,30 - 34,108021158,Nambucca Heads,2016,123
Males,70 - 74,102021048,Gorokan - Kanwal - Charmhaven,2016,486
Females,75 - 79,121041416,Neutral Bay - Kirribilli,2016,286
Males,75 - 79,122011418,Balgowlah - Clontarf - Seaforth,2016,241
Males,5 - 9,110031196,Moree Region,2016,245
Males,0 - 4,111031228,Merewether - The Junction,2016,424
Females,20 - 24,102011043,Wyoming,2016,315
Females,75 - 79,113031266,Temora,2016,165
Males,60 - 64,101011005,Young,2016,287
Males,30 - 34,127031523,Chipping Norton - Moorebank,2016,743
Males,0 - 4,116011303,Blacktown (East) - Kings Park,2016,841
Females,75 - 79,105011093,Cobar,2016,76
Females,25 - 29,103021066,Grenfell,2016,75
Females,10 - 14,108051169,Taree,2016,662
Males,45 - 49,112011239,Brunswick Heads - Ocean Shores,2016,274
Females,10 - 14,120031393,Croydon Park - Enfield,2016,500
Males,50 - 54,115011293,Cherrybrook,2016,912
Females,25 - 29,110041203,Tamworth - North,2016,612
Females,85 and over,125041492,Parramatta - Rosehill,2016,145
Females,65 - 69,125011474,Lidcombe - Regents Park,2016,623
Males,85 and over,110031195,Moree,2016,49
Females,55 - 59,107011133,Port Kembla Industrial,2016,0
Males,40 - 44,103041079,Orange Region,2016,381
Males,25 - 29,119011354,Bass Hill - Georges Hall,2016,748
Females,45 - 49,108041164,Port Macquarie - West,2016,504
Females,45 - 49,101041023,Eden,2016,91
Females,75 - 79,119031371,Oatley - Hurstville Grove,2016,176
Males,15 - 19,115011296,West Pennant Hills,2016,526
Females,25 - 29,126021502,Ryde - Putney,2016,1514
Females,50 - 54,125011475,Rookwood Cemetery,2016,0
Females,60 - 64,103021068,Parkes Region,2016,136
Females,15 - 19,103041076,Blayney,2016,227
Males,50 - 54,116011306,Doonside - Woodcroft,2016,702
Females,70 - 74,101041019,Bega - Tathra,2016,222
Females,0 - 4,104021091,Woolgoolga - Arrawarra,2016,366
Males,0 - 4,102011034,Kincumber - Picketts Valley,2016,199
Females,45 - 49,124031461,Jamisontown - South Penrith,2016,536
Females,70 - 74,102021045,Blue Haven - San Remo,2016,184
Males,85 and over,125011472,Auburn,2016,159
Males,45 - 49,120021387,Balmain,2016,671
Females,45 - 49,124031458,Castlereagh - Cranebrook,2016,752
Males,15 - 19,125011472,Auburn,2016,1230
Males,0 - 4,128011527,Caringbah - Lilli Pilli,2016,995
Males,20 - 24,123021444,Rosemeadow - Glen Alpine,2016,846
Males,20 - 24,127021516,Fairfield - West,2016,792
Females,50 - 54,124011449,Blackheath - Megalong Valley,2016,232
Females,20 - 24,127021509,Bonnyrigg Heights - Bonnyrigg,2016,646
Females,5 - 9,103021069,West Wyalong,2016,222
Males,30 - 34,119041376,Bexley,2016,1280
Males,50 - 54,122031427,Forestville - Killarney Heights,2016,496
Females,15 - 19,103041079,Orange Region,2016,424
Females,55 - 59,125031487,Yennora Industrial,2016,1
Males,25 - 29,117011324,Port Botany Industrial,2016,0
Females,45 - 49,109031183,Deniliquin Region,2016,224
Males,0 - 4,124011452,Katoomba - Leura,2016,329
Females,55 - 59,110011187,Armidale Region - North,2016,170
Females,85 and over,119041377,Kingsgrove (South) - Bardwell Park,2016,191
Females,30 - 34,106041129,Scone Region,2016,261
Females,5 - 9,108051169,Taree,2016,626
Males,40 - 44,117011322,Mascot - Eastlakes,2016,878
Males,45 - 49,108041166,Wauchope,2016,360
Males,65 - 69,111021220,Wangi Wangi - Rathmines,2016,403
Females,45 - 49,114011283,Ulladulla Region,2016,165
Females,10 - 14,113031265,Junee,2016,170
Males,85 and over,107011130,Berkeley - Warrawong - Windang,2016,287
Females,25 - 29,111031223,Beresfield - Hexham,2016,318
Males,15 - 19,113031271,Wagga Wagga Region,2016,550
Males,65 - 69,107041145,Corrimal - Tarrawanna - Bellambi,2016,395
Females,30 - 34,120031394,Dulwich Hill - Lewisham,2016,940
Males,15 - 19,105031102,Dubbo - West,2016,302
Males,30 - 34,108011152,Forster,2016,279
Females,50 - 54,122031432,Terrey Hills - Duffys Forest,2016,165
Males,25 - 29,101011003,Yass,2016,180
Females,15 - 19,122011418,Balgowlah - Clontarf - Seaforth,2016,639
Females,5 - 9,115041302,Rouse Hill - Beaumont Hills,2016,1048
Males,35 - 39,127021519,Smithfield - Wetherill Park,2016,549
Females,80 - 84,121041414,Crows Nest - Waverton,2016,161
Males,85 and over,112021248,Lismore,2016,147
Females,45 - 49,124031463,Mulgoa - Luddenham - Orchard Hills,2016,352
Males,15 - 19,116031315,Hassall Grove - Plumpton,2016,967
Males,25 - 29,122031431,Narrabeen - Collaroy,2016,826
Females,25 - 29,106011107,Branxton - Greta - Pokolbin,2016,363
Males,10 - 14,103041077,Orange,2016,572
Females,80 - 84,101031015,Cooma Region,2016,31
Females,85 and over,102021047,Chittaway Bay - Tumbi Umbi,2016,263
Females,55 - 59,116011305,Blacktown (South),2016,812
Females,35 - 39,121011398,Chatswood (East) - Artarmon,2016,1413
Females,50 - 54,119011357,Greenacre - Mount Lewis,2016,843
Females,70 - 74,102021056,Warnervale - Wadalba,2016,288
Females,65 - 69,124041468,Yarramundi - Londonderry,2016,164
Males,65 - 69,114011278,Nowra,2016,526
Males,20 - 24,123021436,Bradbury - Wedderburn,2016,734
Females,25 - 29,122031427,Forestville - Killarney Heights,2016,185
Females,65 - 69,122031425,Cromer,2016,216
Males,70 - 74,118011344,Dover Heights,2016,194
Males,55 - 59,104021087,Dorrigo,2016,187
Females,10 - 14,116031316,Lethbridge Park - Tregear,2016,768
Females,5 - 9,110031195,Moree,2016,326
Males,15 - 19,115011290,Baulkham Hills (East),2016,686
Males,25 - 29,116011304,Blacktown (North) - Marayong,2016,749
Females,30 - 34,127031525,Liverpool - Warwick Farm,2016,1666
Females,85 and over,119011361,Yagoona - Birrong,2016,322
Females,85 and over,121041413,Cremorne - Cammeray,2016,175
Females,30 - 34,113011257,Griffith Region,2016,369
Females,80 - 84,108021155,Kempsey,2016,216
Females,70 - 74,126021500,Macquarie Park - Marsfield,2016,310
Females,65 - 69,128011531,Sylvania - Taren Point,2016,492
Females,5 - 9,102011028,Avoca Beach - Copacabana,2016,263
Males,45 - 49,121011400,Lane Cove - Greenwich,2016,941
Males,45 - 49,111031223,Beresfield - Hexham,2016,254
Males,15 - 19,123011434,Elderslie - Harrington Park,2016,811
Males,65 - 69,121031407,Gordon - Killara,2016,485
Females,45 - 49,115011296,West Pennant Hills,2016,461
Males,10 - 14,110041201,Quirindi,2016,253
Females,10 - 14,115031300,Kurrajong Heights - Ebenezer,2016,807
Females,65 - 69,111031231,Shortland - Jesmond,2016,173
Males,60 - 64,118021348,Coogee - Clovelly,2016,588
Females,25 - 29,128021535,Menai - Lucas Heights - Woronora,2016,592
Females,50 - 54,106031120,Lemon Tree Passage - Tanilba Bay,2016,230
Females,70 - 74,119021366,Punchbowl,2016,276
Males,55 - 59,127021510,Bossley Park - Abbotsbury,2016,728
Females,40 - 44,119041375,Arncliffe - Bardwell Valley,2016,623
Males,80 - 84,124041468,Yarramundi - Londonderry,2016,32
Females,60 - 64,105011093,Cobar,2016,112
Females,75 - 79,114011275,Ettrema - Sassafras - Budawang,2016,0
Females,40 - 44,110041205,Tamworth Region,2016,610
Females,55 - 59,120031391,Burwood - Croydon,2016,728
Females,0 - 4,111031235,Wickham - Carrington - Tighes Hill,2016,243
Males,60 - 64,119011356,Condell Park,2016,274
Males,15 - 19,117011324,Port Botany Industrial,2016,1
Males,25 - 29,124051471,St Marys - Colyton,2016,1167
Females,70 - 74,120031392,Canterbury (North) - Ashbury,2016,193
Females,70 - 74,116021310,Parklea - Kellyville Ridge,2016,278
Females,55 - 59,111011206,Belmont - Bennetts Green,2016,598
Males,30 - 34,119041378,Kogarah,2016,736
Males,40 - 44,101041026,Moruya - Tuross Head,2016,222
Males,10 - 14,112021244,Casino,2016,439
Males,45 - 49,120031391,Burwood - Croydon,2016,640
Females,0 - 4,111031230,Newcastle Port - Kooragang,2016,2
Males,15 - 19,124031462,Kingswood - Werrington,2016,676
Females,20 - 24,128011527,Caringbah - Lilli Pilli,2016,794
Males,10 - 14,110021192,Inverell Region - East,2016,165
Males,40 - 44,123021439,Holsworthy Military Area,2016,0
Females,30 - 34,122021423,Warriewood - Mona Vale,2016,755
Males,85 and over,120031395,Haberfield - Summer Hill,2016,139
Females,10 - 14,118011342,Centennial Park,2016,0
Females,60 - 64,109031182,Deniliquin,2016,260
Females,15 - 19,125031484,Guildford West - Merrylands West,2016,653
Males,0 - 4,102011032,Gosford - Springfield,2016,655
Males,65 - 69,126021498,Gladesville - Huntleys Point,2016,368
Males,20 - 24,121031409,Pymble,2016,510
Females,85 and over,124041466,Richmond - Clarendon,2016,323
Males,60 - 64,107031136,Albion Park - Macquarie Pass,2016,353
Females,15 - 19,112011237,Ballina Region,2016,549
