sex,age,sa2_code,region,time,value
Females,60 - 64,104021083,Bellingen,2016,232
Females,65 - 69,106031124,Tea Gardens - Hawks Nest,2016,361
Males,0 - 4,108041163,Port Macquarie - East,2016,777
Females,45 - 49,128021534,Illawong - Alfords Point,2016,353
Females,30 - 34,110041199,Gunnedah,2016,328
Females,65 - 69,123021443,Minto - St Andrews,2016,412
Females,35 - 39,106011111,Kurri Kurri - Abermain,2016,495
Females,20 - 24,118011340,Bondi Beach - North Bondi,2016,734
Males,35 - 39,102011037,Point Clare - Koolewong,2016,176
Females,45 - 49,116021312,Riverstone - Marsden Park,2016,532
Males,10 - 14,101031014,Cooma,2016,200
Females,35 - 39,114021285,Hill Top - Colo Vale,2016,163
Females,5 - 9,119021367,Roselands,2016,541
Females,5 - 9,123021436,Bradbury - Wedderburn,2016,734
Females,40 - 44,124011452,Katoomba - Leura,2016,460
Males,30 - 34,124051469,Erskine Park,2016,201
Females,25 - 29,104011080,Grafton,2016,541
Females,55 - 59,124031464,Penrith,2016,383
Females,70 - 74,108041166,Wauchope,2016,328
Males,20 - 24,110031195,Moree,2016,276
Females,70 - 74,106031119,Anna Bay,2016,192
Males,65 - 69,115031300,Kurrajong Heights - Ebenezer,2016,577
Females,75 - 79,120031397,Strathfield,2016,376
Males,85 and over,124031457,Cambridge Park,2016,44
Females,25 - 29,125011475,Rookwood Cemetery,2016,0
Males,65 - 69,123021442,Macquarie Fields - Glenfield,2016,488
Females,70 - 74,118011340,Bondi Beach - North Bondi,2016,248
Males,60 - 64,103021068,Parkes Region,2016,143
Females,65 - 69,114011276,Huskisson - Vincentia,2016,211
Females,20 - 24,108041164,Port Macquarie - West,2016,401
Males,10 - 14,125031481,Granville - Clyde,2016,654
Males,85 and over,114021284,Bowral,2016,236
Males,50 - 54,124011449,Blackheath - Megalong Valley,2016,234
Females,55 - 59,101041025,Merimbula - Tura Beach,2016,471
Females,85 and over,125031479,Chester Hill - Sefton,2016,297
Males,15 - 19,112031250,Kingscliff - Fingal Head,2016,407
Males,25 - 29,106011110,Dungog,2016,196
Females,10 - 14,124031460,Glenmore Park - Regentville,2016,910
Females,80 - 84,110011187,Armidale Region - North,2016,43
Males,75 - 79,126021503,West Ryde - Meadowbank,2016,179
Females,50 - 54,106011108,Cessnock,2016,684
Females,40 - 44,111031229,Newcastle - Cooks Hill,2016,307
Males,70 - 74,101041019,Bega - Tathra,2016,221
Females,50 - 54,108021158,Nambucca Heads,2016,230
Males,35 - 39,123021436,Bradbury - Wedderburn,2016,629
Males,5 - 9,125041493,Toongabbie - Constitution Hill,2016,764
Males,55 - 59,126021498,Gladesville - Huntleys Point,2016,441
Males,20 - 24,108021160,South West Rocks,2016,94
Males,50 - 54,117031338,Waterloo - Beaconsfield,2016,749
Females,10 - 14,114011278,Nowra,2016,640
Males,65 - 69,103031070,Lithgow,2016,422
Males,40 - 44,120031390,Ashfield,2016,784
Males,30 - 34,106011113,Singleton Region,2016,134
Females,70 - 74,126021499,Hunters Hill - Woolwich,2016,229
Females,80 - 84,102011029,Box Head - MacMasters Beach,2016,142
Females,65 - 69,119011354,Bass Hill - Georges Hall,2016,542
Males,50 - 54,107041149,Wollongong,2016,895
Females,25 - 29,111021221,West Wallsend - Barnsley - Killingworth,2016,235
Females,60 - 64,111031225,Lambton - New Lambton,2016,478
Males,70 - 74,111031226,Maryland - Fletcher - Minmi,2016,169
Females,50 - 54,111021220,Wangi Wangi - Rathmines,2016,318
Males,5 - 9,102011039,Terrigal - North Avoca,2016,450
Females,0 - 4,119041381,Rockdale - Banksia,2016,617
Males,10 - 14,101041024,Eurobodalla Hinterland,2016,100
Males,20 - 24,112011238,Bangalow,2016,102
Males,55 - 59,128021533,Heathcote - Waterfall,2016,187
Males,75 - 79,117011320,Banksmeadow,2016,0
Females,70 - 74,109011174,Albury - South,2016,243
Females,85 and over,113031268,Wagga Wagga - North,2016,68
Females,50 - 54,114021285,Hill Top - Colo Vale,2016,223
Females,50 - 54,120021389,Lilyfield - Rozelle,2016,544
Males,20 - 24,121031412,Wahroonga - Warrawee,2016,563
Males,15 - 19,105021098,Far West,2016,76
Females,45 - 49,112011238,Bangalow,2016,275
Males,65 - 69,117011321,Botany,2016,188
Females,70 - 74,120031391,Burwood - Croydon,2016,337
Females,65 - 69,107011132,Horsley - Kembla Grange,2016,141
Males,10 - 14,121011398,Chatswood (East) - Artarmon,2016,697
Females,55 - 59,108031161,Lord Howe Island,2016,29
Males,30 - 34,109031184,Moama,2016,177
Females,20 - 24,102021045,Blue Haven - San Remo,2016,444
Females,85 and over,111031225,Lambton - New Lambton,2016,305
Females,85 and over,115041302,Rouse Hill - Beaumont Hills,2016,68
Females,50 - 54,120021388,Leichhardt - Annandale,2016,871
Males,60 - 64,101011001,Goulburn,2016,638
Males,25 - 29,116031315,Hassall Grove - Plumpton,2016,774
Males,50 - 54,114011283,Ulladulla Region,2016,217
Females,30 - 34,122031424,Beacon Hill - Narraweena,2016,403
Males,20 - 24,127011505,Badgerys Creek - Greendale,2016,470
Males,85 and over,119041377,Kingsgrove (South) - Bardwell Park,2016,141
Females,65 - 69,127021521,Wetherill Park Industrial,2016,0
Females,65 - 69,103021062,Condobolin,2016,171
Females,0 - 4,125011474,Lidcombe - Regents Park,2016,1126
Males,45 - 49,110031198,Narrabri Region,2016,165
Females,85 and over,119041379,Kogarah Bay - Carlton - Allawah,2016,166
Females,65 - 69,114011278,Nowra,2016,592
Females,20 - 24,108021158,Nambucca Heads,2016,117
Males,35 - 39,117011323,Pagewood - Hillsdale - Daceyville,2016,397
Males,10 - 14,101041023,Eden,2016,94
Females,5 - 9,121031407,Gordon - Killara,2016,686
Females,75 - 79,111011208,Charlestown - Dudley,2016,444
Males,5 - 9,128021535,Menai - Lucas Heights - Woronora,2016,767
Males,35 - 39,127011504,Ashcroft - Busby - Miller,2016,496
Males,20 - 24,125041492,Parramatta - Rosehill,2016,1365
Females,70 - 74,108041164,Port Macquarie - West,2016,699
Males,5 - 9,117031334,Pyrmont - Ultimo,2016,232
Females,80 - 84,105031102,Dubbo - West,2016,95
Males,20 - 24,103041077,Orange,2016,562
Females,75 - 79,110041201,Quirindi,2016,168
Females,85 and over,102011032,Gosford - Springfield,2016,397
Males,80 - 84,107011134,Unanderra - Mount Kembla,2016,145
Males,0 - 4,112011242,Lennox Head - Skennars Head,2016,268
Females,45 - 49,127031526,Prestons - Lurnea,2016,985
Males,5 - 9,123021438,Claymore - Eagle Vale - Raby,2016,824
Females,25 - 29,121011398,Chatswood (East) - Artarmon,2016,1557
Females,75 - 79,104021085,Coffs Harbour - South,2016,316
Females,65 - 69,105011093,Cobar,2016,93
Males,35 - 39,116031317,Mount Druitt - Whalan,2016,881
Females,5 - 9,109031183,Deniliquin Region,2016,220
Females,10 - 14,126021501,North Ryde - East Ryde,2016,394
Males,70 - 74,111031232,Stockton - Fullerton Cove,2016,258
Females,55 - 59,101041026,Moruya - Tuross Head,2016,394
Males,80 - 84,120031396,Homebush,2016,71
Females,80 - 84,119021366,Punchbowl,2016,171
Males,45 - 49,127011508,Hoxton Park - Horningsea Park,2016,897
Males,75 - 79,114011276,Huskisson - Vincentia,2016,98
Females,60 - 64,121031411,Turramurra,2016,522
Females,10 - 14,107041144,Balgownie - Fairy Meadow,2016,585
Males,40 - 44,106041127,Muswellbrook Region,2016,149
Males,75 - 79,122021422,Newport - Bilgola,2016,210
Females,5 - 9,127021517,Greenfield Park - Prairiewood,2016,271
Males,25 - 29,127031523,Chipping Norton - Moorebank,2016,664
Males,60 - 64,120021388,Leichhardt - Annandale,2016,588
Females,40 - 44,118021351,Maroubra,2016,1172
Females,70 - 74,118011341,Bondi Junction - Waverly,2016,302
Females,30 - 34,108011151,Bulahdelah - Stroud,2016,89
Females,75 - 79,127021521,Wetherill Park Industrial,2016,2
Males,50 - 54,107011134,Unanderra - Mount Kembla,2016,559
Males,70 - 74,112021246,Goonellabah,2016,265
Females,70 - 74,120021389,Lilyfield - Rozelle,2016,217
Males,40 - 44,102011031,Erina - Green Point,2016,410
Males,85 and over,104021087,Dorrigo,2016,26
Females,5 - 9,117011324,Port Botany Industrial,2016,0
Males,70 - 74,128021538,Sutherland - Kirrawee,2016,337
Males,65 - 69,102021052,Summerland Point - Gwandalan,2016,224
Males,65 - 69,127031522,Casula,2016,316
Females,50 - 54,112031254,Tweed Heads,2016,646
Females,10 - 14,107031141,Shellharbour - Flinders,2016,701
Females,20 - 24,125031483,Guildford - South Granville,2016,888
