SA2_CODE,ENG_NOT_WELL,ENG_ONLY,ENG_UNKNOWN,ENG_V_WELL,ENG_WELL,ENG_NOT_WELL_CHILD,ENG_NOT_WELL_RETIRED,ENG_NOT_WELL_WORKING_AGE,ENG_ONLY_CHILD,ENG_ONLY_RETIRED,ENG_ONLY_WORKING_AGE,ENG_UNKNOWN_CHILD,ENG_UNKNOWN_RETIRED,ENG_UNKNOWN_WORKING_AGE,ENG_V_WELL_CHILD,ENG_V_WELL_RETIRED,ENG_V_WELL_WORKING_AGE,ENG_WELL_CHILD,ENG_WELL_RETIRED,ENG_WELL_WORKING_AGE,PERC_ENG_ONLY,PERC_ENG_NOT_WELL,ENG_PROFICIENT
124051580,293,7781,814,1909,763,46,93,154,1744,958,5079,210,104,500,332,124,1453,90,174,499,0.6730968858131487,0.025346020761245674,10453
124051581,404,10570,1501,2430,1168,79,118,207,2403,1389,6778,349,233,919,359,204,1867,136,236,796,0.65762458781808,0.025135320102034467,14168
125011473,1250,6181,3891,4774,2577,218,159,873,1269,377,4535,511,149,3231,690,124,3960,257,106,2214,0.33101269212231565,0.06694157339474106,13532
125011475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,0
125011582,2969,2205,2083,5832,4060,359,421,2189,684,341,1180,566,319,1198,1239,122,4471,510,271,3279,0.12857892588489125,0.17312962854976965,12097
125011583,2083,1040,1557,3548,3106,244,243,1596,328,104,608,389,200,968,631,65,2852,352,114,2640,0.09175930827598376,0.1837833068643021,7694
125011584,1308,1555,858,3069,1694,158,240,910,424,319,812,242,164,452,788,102,2179,237,134,1323,0.1832861857614333,0.15417256011315417,6318
125011585,1638,1854,867,2625,1931,176,266,1196,443,294,1117,239,179,449,508,111,2006,217,217,1497,0.20796410544026922,0.1837352776219854,6410
125011586,3517,3774,2065,6245,4434,303,535,2679,920,459,2395,448,359,1258,907,247,5091,371,363,3700,0.18837035188420265,0.1755428000998253,14453
125011587,683,1274,427,1629,991,64,123,496,305,214,755,124,89,214,351,57,1221,143,118,730,0.2545963229416467,0.1364908073541167,3894
125021476,2267,11466,1654,7592,4383,401,406,1460,2210,2746,6510,431,480,743,1526,514,5552,557,393,3433,0.41904831518163876,0.08285213069220086,23441
125021477,1554,11168,1419,4653,2632,213,327,1014,2547,1604,7017,360,309,750,806,248,3599,313,325,1994,0.52123588163913,0.07252870344441333,18453
125021478,1463,8139,1409,4301,2456,219,277,967,1705,1316,5118,345,324,740,806,233,3262,294,227,1935,0.45807068887888336,0.08233903647005854,14896
125031479,2113,5695,2013,5679,2943,261,396,1456,1431,1078,3186,405,359,1249,1400,233,4046,448,394,2101,0.30878924253104156,0.11456921325164018,14317
125031480,2333,3668,1843,4769,2911,233,515,1585,1019,695,1954,431,418,994,1170,226,3373,383,376,2152,0.2362793094563257,0.15028343210512754,11348
125031481,2452,4943,2216,7108,4082,327,482,1643,1435,546,2962,565,317,1334,1370,201,5537,469,371,3242,0.23763280611509063,0.11787894812749387,16133
125031482,946,14994,1344,6817,2179,139,330,477,3925,2341,8728,340,257,747,1081,605,5131,242,625,1312,0.5705479452054795,0.03599695585996956,23990
125031483,2304,5094,2396,7759,3413,317,460,1527,1495,788,2811,720,387,1289,2039,223,5497,556,370,2487,0.24296480015262806,0.10989220642945721,16266
125031484,1769,8094,1725,6236,2907,237,310,1222,2063,1345,4686,505,249,971,1340,272,4624,371,378,2158,0.39042979113405046,0.0853311465920602,17237
125031485,2678,9373,2409,9178,4823,409,533,1736,2568,1257,5548,730,391,1288,1742,349,7087,564,605,3654,0.32932785214855415,0.09409367204244405,23374
125031486,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
125031487,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,3
125041489,1480,8746,2401,6533,3039,249,348,883,1620,1094,6032,471,353,1577,992,213,5328,373,252,2414,0.3939817108878778,0.06666966980494617,18318
125041490,344,4918,331,1561,706,59,76,209,1027,1074,2817,96,80,155,325,132,1104,102,77,527,0.6256997455470737,0.04376590330788804,7185
