SA2_MAINCODE_2016,SA2_NAME_2016,IS_SYDNEY,IS_SUA,TOTAL_POP,LAB_FORCE,PERC_LAB_FORCE
108041162,Laurieton - Bonny Hills,0,1,17001,5945,0.3496853126286689
119011356,Condell Park,1,1,11841,4673,0.39464572248965457
119011354,Bass Hill - Georges Hall,1,1,22758,8417,0.36984796555057564
125031479,Chester Hill - Sefton,1,1,19196,7095,0.36960825171910816
119011359,Panania - Milperra - Picnic Point,1,1,26658,12875,0.48296946507614974
119011360,Revesby,1,1,16832,7807,0.4638189163498099
119011358,Padstow,1,1,17105,8051,0.4706810874013446
103011058,Bathurst,0,1,24454,11168,0.4566942013576511
103011059,Bathurst - East,0,1,11424,5217,0.4566701680672269
103011060,Bathurst Region,0,0,7006,3271,0.46688552669140737
103031071,Lithgow Region,0,0,8435,3504,0.415411973918198
103031074,Mudgee Region - West,0,0,10514,4342,0.4129731786189842
115011291,Baulkham Hills (West) - Bella Vista,1,1,20853,11165,0.535414568647197
116011307,Lalor Park - Kings Langley,1,1,25646,12499,0.48736645090852376
115011290,Baulkham Hills (East),1,1,23711,11783,0.4969423474336806
115011553,Castle Hill - Central,1,1,7832,4017,0.5128958120531154
115011555,Castle Hill - North,1,1,12312,6236,0.5064977257959714
115011556,Castle Hill - South,1,1,9943,4991,0.5019611787186966
115011557,Castle Hill - West,1,1,5443,2905,0.5337130259048319
115011559,Kellyville,1,1,24065,12709,0.5281113650529815
115011296,West Pennant Hills,1,1,13184,6846,0.5192657766990292
125041494,Winston Hills,1,1,11044,5512,0.49909453096704093
115011294,Glenhaven,1,1,6501,3123,0.48038763267189666
115041302,Rouse Hill - Beaumont Hills,1,1,23442,12366,0.5275147171743025
115021297,Dural - Kenthurst - Wisemans Ferry,1,1,21649,10917,0.5042727146750428
115041301,Pitt Town - McGraths Hill,1,1,10822,5661,0.5231010903714656
125041490,North Rocks,1,1,8179,3922,0.4795207238048661
125021478,Oatlands - Dundas Valley,1,1,18454,8599,0.4659694375203208
125021476,Carlingford,1,1,28394,13312,0.46883144326266113
125041491,Northmead,1,1,21105,10592,0.5018715944089078
125041489,North Parramatta,1,1,23072,11466,0.4969660194174757
101041020,Bega-Eden Hinterland,0,0,8952,3940,0.4401251117068811
101041027,Narooma - Bermagui,0,0,9134,3016,0.33019487628640243
101041019,Bega - Tathra,0,0,8593,3657,0.42557895961829395
101041025,Merimbula - Tura Beach,0,0,10846,4299,0.3963673243592108
101041023,Eden,0,0,3298,1238,0.375379017586416
101031015,Cooma Region,0,0,3327,1627,0.489029155395251
101031013,Bombala,0,0,2420,1117,0.4615702479338843
