SA2_CODE,DWELLING_FLAT,DWELLING_HOUSE,DWELLING_OTHER,DWELLING_SEMI,PERC_DWELLING_HOUSE,PERC_DWELLING_FLAT,PERC_DWELLING_SEMI,PERC_DWELLING_OTHER
501021012,8,4334,87,345,0.9078341013824884,0.0016757436112274822,0.07226644323418517,0.018223711772098868
501021014,36,3795,128,153,0.9229085603112841,0.008754863813229572,0.03720817120622568,0.0311284046692607
501021015,184,2604,23,399,0.811214953271028,0.0573208722741433,0.12429906542056075,0.0071651090342679125
501021016,88,1861,60,46,0.905596107055961,0.04282238442822384,0.02238442822384428,0.029197080291970802
501021251,119,3110,3,115,0.929190319689274,0.03555422766656707,0.034359127576934566,8.9632506722438e-4
501021252,3,1032,13,0,0.9847328244274809,0.0028625954198473282,0,0.012404580152671756
501021253,752,3960,130,1417,0.632688927943761,0.12014698833679502,0.22639399265058316,0.02077009106886084
501021254,125,1916,81,399,0.7600158667195557,0.04958349861166204,0.15827052756842522,0.032130107100357
501031017,24,3143,80,71,0.9472573839662447,0.007233273056057866,0.021398432790837855,0.024110910186859555
501031018,18,2624,53,78,0.9462675802380094,0.006491164803461955,0.028128380815001804,0.019112874143526866
501031019,138,2289,27,134,0.884466769706337,0.05332302936630603,0.0517774343122102,0.010432766615146832
501031020,28,3029,189,41,0.9215089747490113,0.008518405841192577,0.012473379981746273,0.057499239428049895
502011021,73,3331,97,124,0.918896551724138,0.020137931034482758,0.03420689655172414,0.026758620689655174
502011022,21,4557,93,486,0.883653286794648,0.004072134962187318,0.09424083769633508,0.018033740546829553
502011023,35,3610,9,903,0.7921878428790872,0.007680491551459293,0.19815668202764977,0.0019749835418038184
502011024,481,7139,34,1327,0.7949003451731433,0.05355751029952121,0.14775637456853358,0.003785769958801915
502011025,979,3122,172,2002,0.49752988047808766,0.1560159362549801,0.31904382470119524,0.02741035856573705
502011026,39,2745,136,211,0.8767167039284574,0.012456084318109231,0.06739061002874482,0.0434366017246886
502011027,342,6473,21,308,0.9060750279955208,0.047872340425531915,0.04311310190369541,0.0029395296752519596
502011028,198,4393,21,580,0.8461093990755008,0.038135593220338986,0.11171032357473036,0.004044684129429892
502011029,11,3677,201,245,0.8894533139816159,0.002660861151427189,0.05926463473633285,0.04862119013062409
503011030,252,2154,7,138,0.8443747549980399,0.09878479027832222,0.05409643277146217,0.0027440219521756176
503011031,1308,1758,29,1013,0.4279454722492697,0.3184031158714703,0.24659201557935737,0.007059396299902629
503011032,795,2144,7,574,0.6090909090909091,0.22585227272727273,0.1630681818181818,0.0019886363636363634
503011033,63,2656,4,105,0.9391796322489392,0.022277227722772276,0.03712871287128713,0.0014144271570014145
503011034,1178,2780,15,710,0.5936365577621183,0.2515481528934444,0.15161221439248346,0.0032030749519538757
503011035,1466,4563,23,1104,0.6376467300167692,0.2048630519843488,0.1542761319172722,0.003214086081609838
503011036,403,2585,18,534,0.730225988700565,0.11384180790960452,0.15084745762711865,0.005084745762711864
503021037,3,3,0,0,0.5,0.5,0,0
503021038,504,3096,8,1133,0.6530267875975533,0.10630668635309007,0.23897911832946636,0.0016874077198903185
503021039,2176,4143,35,1477,0.5290512067424339,0.27787000383092836,0.1886093730047248,0.00446941642191291
