SA2_CODE,LANG_HOME_EASIA,LANG_HOME_EEUROPE,LANG_HOME_ENGLISH,LANG_HOME_INDIGENOUS,LANG_HOME_NEUROPE,LANG_HOME_OTHER,LANG_HOME_SASIA,LANG_HOME_SEUROPE,LANG_HOME_SWASIA,PERC_LANG_HOME_ENGLISH
106041127,6,4,3615,0,15,14,0,17,3,0.9839412084921066
106041128,68,7,5147,0,16,104,30,29,10,0.9512104971354648
106041129,10,3,7298,0,21,35,26,11,14,0.9838231329199245
107011131,105,374,20865,7,152,272,103,560,88,0.9262629849951167
107011132,143,303,7471,3,33,75,111,225,66,0.8862396204033215
107011133,0,0,6,0,0,0,0,0,0,1
107011134,137,898,12162,0,100,173,141,722,256,0.8336417849064364
107011545,93,1436,9035,0,75,450,33,978,903,0.6948396523879105
107011546,75,1341,5981,0,40,308,43,1102,213,0.6570361419312315
107011547,13,91,3571,0,24,67,8,241,53,0.877826941986234
107021135,0,0,7,0,0,0,0,0,0,1
107031136,55,150,12992,0,104,107,44,296,28,0.943089430894309
107031137,16,80,6140,0,42,74,17,128,28,0.9409961685823754
107031138,81,35,6826,0,79,47,6,120,22,0.9459534368070953
107031139,13,42,5417,0,55,27,3,62,11,0.9621669626998224
107031140,17,22,6900,3,44,18,16,112,3,0.9670637701471618
107031141,124,814,13948,0,110,178,128,553,172,0.8702814001372684
107031142,77,539,8091,5,121,133,59,352,102,0.853571051798713
107031143,87,748,16778,4,131,225,62,808,229,0.8797189597315436
107041144,721,507,16086,3,124,529,276,1267,686,0.796376058220704
107041145,136,330,12836,9,99,329,105,626,219,0.873851181155967
107041146,891,1035,15874,0,140,494,401,931,555,0.7811623443728163
107041147,66,53,7933,0,86,24,30,149,6,0.9504013417994489
107041148,68,97,10147,3,139,52,24,201,30,0.9429421057522535
107041150,114,174,17788,4,237,213,48,324,85,0.9368515299942065
107041548,900,456,9052,0,101,378,293,577,539,0.736174365647365
107041549,1194,1188,10499,0,87,782,664,716,703,0.6631086970252005
108011151,3,3,4337,6,24,9,3,21,3,0.9836697663869358
108011152,44,30,12823,11,78,87,27,93,19,0.9705570693309112
108011153,6,8,5508,0,59,14,3,25,10,0.9778093378306408
108011154,38,19,5510,0,29,25,16,49,0,0.9690467815687653
108021155,63,6,12507,42,26,74,64,43,10,0.9744448772886638
108021156,17,14,8069,0,64,43,3,40,0,0.9780606060606061
108021157,3,3,4316,12,14,18,16,27,3,0.9782411604714415
108021158,24,19,5991,9,28,28,16,35,4,0.9735131621709457
108021159,6,15,6972,9,30,34,5,36,13,0.9792134831460674
108021160,18,16,4703,0,15,17,3,15,0,0.9824524754543555
108031161,0,3,321,0,4,6,0,0,0,0.9610778443113772
108041162,48,22,15462,0,69,39,18,70,9,0.9825252589438902
108041163,153,106,25560,12,178,112,81,252,58,0.9640917320458661
108041164,110,62,15351,3,113,168,139,136,30,0.9527681231380337
108041165,3,3,4656,0,50,14,0,32,3,0.9779458097038437
108041166,12,10,10251,9,40,34,9,39,8,0.9845370726085286
108051167,15,3,4595,0,25,17,11,3,0,0.9841507817519811
108051168,37,46,9682,0,62,40,29,67,10,0.970821217286674
108051169,97,13,18349,35,78,145,137,88,39,0.9667035456509141
108051170,9,14,11256,3,65,43,0,53,7,0.983056768558952
108051171,33,3,4922,0,18,20,0,35,3,0.977751291219706
109011172,78,77,13547,13,96,142,231,84,22,0.9480055983205038
109011173,58,36,8403,5,48,135,247,74,20,0.9309771770440949
109011174,77,34,8730,3,67,74,221,146,42,0.9293165850542899
109011175,24,24,10661,3,55,52,12,21,11,0.981404768480162
109011176,64,64,12125,10,70,228,690,103,29,0.9060001494433236
109021177,0,0,2504,3,8,16,32,46,0,0.95975469528555
109021178,6,8,5149,40,10,16,6,83,6,0.967129977460556
109021179,18,0,2985,0,0,51,13,94,9,0.9416403785488959
109031180,12,3,4958,0,24,26,28,22,4,0.9765609611975576
109031181,31,12,6036,0,3,17,3,18,0,0.9862745098039216
109031182,88,0,6492,0,26,19,55,36,4,0.9660714285714286
109031183,14,6,6011,0,11,36,3,34,0,0.9829926410466067
109031184,17,0,5305,0,14,27,39,26,8,0.9759013980868285
109031185,40,9,8426,4,47,65,51,64,16,0.9660628296262325
110011186,434,46,19446,12,134,421,513,200,373,0.9011538996246351
110011187,38,0,4062,0,24,11,6,6,0,0.9795032553653243
110011188,14,3,5521,0,27,23,0,24,0,0.9837847469707769
110011189,7,3,2819,0,10,13,3,0,0,0.9873905429071804
110021190,26,15,7633,0,52,19,39,27,11,0.9758373817437995
110021191,53,9,10447,3,29,214,20,65,7,0.9631234442703052
110021192,6,4,4585,0,24,14,3,17,0,0.9853857726198152
110021193,4,0,5345,3,23,8,0,3,0,0.9923876717415522
110021194,17,5,5730,14,33,35,18,32,0,0.9738273283480625
110031195,39,43,6846,11,33,90,78,38,11,0.952288218111003
110031196,5,3,4669,20,27,34,0,11,4,0.9782107689084433
110031197,24,0,6307,3,13,46,56,9,3,0.9761646803900325
110031198,6,0,4143,0,21,3,3,7,0,0.9904374850585704
110041199,74,6,8267,0,41,49,29,24,9,0.9727026709024591
110041200,10,0,3703,3,20,7,7,4,0,0.9864144912093766
110041201,17,10,6907,0,11,6,14,18,3,0.9886916690523905
110041202,334,14,18104,17,50,237,149,61,31,0.9529925777754382
110041203,135,17,13093,7,62,237,267,64,35,0.9407918373212618
110041204,43,6,4784,3,11,140,17,0,3,0.9554623527062113
110041205,32,21,16797,7,89,19,33,41,0,0.9857972885732731
111011206,137,70,16323,12,53,102,81,113,43,0.9639187433565608
111011207,20,12,5217,3,16,36,7,31,0,0.976600524148259
111011208,270,259,21509,0,144,282,141,312,29,0.9373747058310816
111011209,170,298,21224,7,102,269,154,230,46,0.9432888888888888
111011210,36,55,8046,0,31,89,21,50,9,0.9650953580424613
111011211,14,33,3186,0,37,7,3,40,4,0.9584837545126353
111011212,53,40,10711,0,49,59,10,63,5,0.9746132848043676
111011213,89,62,11137,3,83,37,46,122,26,0.9596725549332185
111011214,108,105,12223,0,70,84,95,110,25,0.9534321372854914
111021215,29,39,7665,0,36,99,9,32,5,0.9685367702805155
111021216,56,40,8003,3,46,77,20,90,6,0.9594772809015706
111021217,116,144,12792,5,47,130,297,69,50,0.9371428571428572
111021218,62,74,13431,0,111,215,66,139,26,0.9509345794392523
111021219,57,45,12347,0,60,98,19,91,21,0.9693044433977076
111021220,36,39,8333,0,53,42,0,56,3,0.9732539126372343
111021221,3,23,6098,0,18,32,12,12,6,0.9829142488716957
111031222,188,339,13950,0,85,162,95,300,26,0.9210960713106636
111031223,142,29,7513,3,20,79,40,28,0,0.9565826330532213
111031224,142,204,9866,3,87,125,68,538,44,0.8906743703168728
111031225,235,269,14635,0,67,183,218,248,52,0.9200352046268938
111031226,303,279,11707,4,43,224,350,104,127,0.8908758846358724
111031227,292,255,12450,3,73,387,173,201,65,0.8957478955320527
111031228,74,113,12269,3,85,56,68,291,15,0.9456605518729767
111031229,148,73,8996,3,139,81,81,235,90,0.9136705261019703
111031230,0,0,20,0,0,0,0,0,0,1
111031231,1163,98,8083,0,40,551,356,113,573,0.7363578391181561
111031232,23,25,6411,3,41,42,10,30,8,0.9723949643561353
111031233,413,462,16616,0,63,308,378,226,213,0.8895551153702018
111031234,219,184,9886,0,46,234,193,186,97,0.89506564056134
111031235,54,74,6981,0,55,93,26,135,30,0.9372986036519871
112011236,107,24,14990,0,84,102,83,151,40,0.9620691868301136
112011237,77,23,15103,11,136,104,36,196,7,0.9624036194481616
112011238,34,15,4749,0,72,19,18,88,15,0.9479041916167664
112011239,43,16,6989,0,105,59,19,170,59,0.9368632707774799
112011240,90,23,7250,0,160,57,10,354,39,0.9081798822497807
112011241,16,0,4674,0,13,10,12,10,0,0.987117212249208
112011242,37,13,7035,0,85,43,3,87,22,0.9604095563139932
112011243,49,23,6407,0,144,19,17,175,104,0.9234649754972615
112021244,19,9,11198,20,25,82,10,35,0,0.9824530619406914
112021245,17,0,6187,6,37,23,16,29,3,0.9792655903767015
112021246,97,26,11531,15,75,184,86,163,10,0.9461721506523345
112021247,30,0,6438,0,40,31,26,44,7,0.9730955259975816
112021248,68,13,13319,44,79,195,86,179,9,0.9519010863350486
