SA2_CODE,Commercial,Education,Hospital/Medical,Industrial,MIGRATORY,NOUSUALRESIDENCE,OFFSHORE,Other,Parkland,Primary Production,Residential,SHIPPING,Transport,Water,PERC_OPEN_SPACE
106031124,0.22920000000000001,0.0169,0.0238,0.295,0,0,0,127.6953,46.6447,17.4615,8.3856,0,0,3.5644,0.22829640694530637
106031125,0.05,0.0626,0,0,0,0,0,109.7168,165.1199,34.3223,32.0497,0,0,23.8607,0.45215782815144234
106041126,0.3791,0.2889,0.0724,4.3624,0,0,0,128.99779999999998,1.7446,96.8266,16.9007,0,0,12.8239,0.0066487192659655395
106041127,0.07730000000000001,0.0642,0.0095,0,0,0,0,1953.8774,161.5396,1024.4854,2.4342,0,0,0,0.05140500793065977
106041128,0.6603,0.1285,0.0772,0.4078,0,0,0,1.3025,2.5884,102.4706,10.939,0,0,0,0.021829350879575087
106041129,0.159,0.1875,0.0765,0.3588,0,0,0,288.6339,711.3681,6880.612,44.1996,0,0.06420000000000001,23.2991,0.0894919859125699
107011131,0.27999999999999997,0.43520000000000003,0,0.2389,0,0,0,8.5975,2.7592,34.102,10.1875,0,0,0,0.04874885822159953
107011132,0,0.0325,0,0,0,0,0,14.214500000000001,5.0907,21.891099999999998,3.0113,0,0,0,0.1150698122291767
107011133,0,0,0,12.395999999999999,0,0,0,0,0.3392,0,0,0,0,0,0.02663483887178843
107011134,0.1756,0.1781,0,3.7018,0,0,0,7.0748,6.688,1.075,6.255,0,0,0,0.2659424295081576
107011545,0.0762,0.5831,0,0,0,0,0,0,6.6054,0.265,5.001,0,0,0,0.5271373506667625
107011546,0.4069,0.21409999999999998,0.0446,0.6967,0,0,0,0,2.4077,0,3.2008,0,0,0,0.3453979457164171
107011547,0.188,0.0374,0,0,0,0,0,0,3.5549,0,1.6905000000000001,0,0,0,0.6497952767419755
107021135,0,0,0,0,0,0,0,212.2429,439.3826,0,0,0,0,92.7168,0.5902964267918134
107031136,0.0739,0.2263,0,0,0,0,0,32.0617,12.0037,25.3772,5.3828000000000005,0,0,0,0.15978175215905097
107031137,0.578,0.028,0,0.7707999999999999,0,0,0,0,1.2807,1.3933,2.4827,0,0.6347,0,0.17866409977400183
107031138,0.698,0.10980000000000001,0.039,0,0,0,0,0,0.6612,8.5281,3.8191,0,0,0,0.04772215485882556
107031139,0,0.0323,0,0,0,0,0,1.1045,3.9958,0,2.1284,0,0,0,0.55030987467291
107031140,0.5529,0.0514,0,0.0756,0,0,0,35.934000000000005,65.565,116.998,3.0841,0,0,0,0.2949910240663004
107031141,0.0392,0.1828,0,0.0136,0,0,0,0.9413,9.2102,32.519800000000004,6.6745,0,0,0,0.1857591758199647
107031142,0.4459,0.3598,0.0599,0.4459,0,0,0,0,0.9837,0,3.7558,0,0,0,0.16256817055032227
107031143,0.030100000000000002,0.23909999999999998,0.0254,0.2333,0,0,0,0,2.4596999999999998,0,6.5073,0,0,0,0.25905486103065856
107041144,0.284,0.8027,0,0.1759,0,0,0,0,3.0643,0,7.9369,0,0,0,0.24986545768848153
107041145,0.1516,0.3991,0,1.8798000000000001,0,0,0,0.9525,2.4936,0,5.1882,0,0,0,0.22536331429397727
107041146,0.1274,0.9050999999999999,0.0408,0.009,0,0,0,0.8137,8.2334,0,8.6835,0,0,0,0.4376465085127758
107041147,1.1056000000000001,0.0671,0.9501,0.7546999999999999,0,0,0,87.1682,58.1507,0,5.6415,0,0,0.9994000000000001,0.3755600233277124
107041148,0.0892,0.0679,0.0271,0.0584,0,0,0,1.6033,5.4013,0,8.9086,0,0,0,0.33432575298035383
107041150,0.1164,0.3208,0.0288,0.5938,0,0,0,3.2255,4.3132,0,7.1862,0,0,0,0.27325194650516005
107041548,1.3924,0.1092,0,0.46249999999999997,0,0,0,0,1.7429,0,1.7967,0,0,0,0.3166778712502498
107041549,0.1425,0.2919,0.0603,0.1494,0,0,0,0,0.5259,0,4.4892,0,0,0,0.09292832909245123
108011151,0,0.12769999999999998,0,0,0,0,0,769.7307,831.2642999999999,618.3064,11.2933,0,0,103.3021,0.3561506316664628
108011152,0.8804,0.2679,0.09820000000000001,0.1666,0,0,0,4.2327,18.8639,0,8.4536,0,0,0.9097,0.5569007764296047
108011153,0,0.09620000000000001,0,0,0,0,0,322.7333,213.6818,99.2969,17.6323,0,0,96.0368,0.2851077677736204
108011154,1.0178,0.0286,0.0163,0,0,0,0,0.619,10.6575,0,3.3121,0,0,0.0185,0.6801299314605165
108021155,0.8879,0.41250000000000003,0.12179999999999999,0.7903,0,0,0,50.3031,8.3082,123.5572,10.362,0,0,0.4132,0.042572052540477835
108021156,0.1801,0.11599999999999999,0,0,0,0,0,1461.7926,1165.193,985.221,11.9962,0,0,2.7604,0.32123234200543643
108021157,0.1684,0.2245,0.0351,0.545,0,0,0,38.1805,10.5157,13.188400000000001,15.809099999999999,0,0,5.1263,0.12549616316398746
108021158,0.1541,0.20370000000000002,0,0.2454,0,0,0,0,18.0632,0,9.051,0,0,3.333,0.5817380774482777
108021159,0,0.0985,0,0,0,0,0,144.4686,590.2692,615.6944,5.4812,0,0,0.0868,0.4352700876418509
108021160,0.0286,0.033,0,0.0661,0,0,0,12.4282,28.2088,0,4.9946,0,0,0.208,0.6136710226617617
108031161,0,0,0,0,0,0,0,0,12.7464,0,3.1109,0,0.4345,0,0.7823813206643834
108041162,0.1948,0.3375,0,1.1869,0,0,0,57.2287,295.2965,130.9742,12.0925,0,0,27.5954,0.5625697147968257
108041163,0.458,0.36110000000000003,0.0497,0.27949999999999997,0,0,0,0,29.1752,0,11.7645,0,0,0,0.6931952100361148
108041164,2.4273,0.6346999999999999,0.1717,1.3873,0,0,0,14.576699999999999,2.9674,16.0397,9.1413,0,0,6.8208,0.05478253324447218
108041165,0,0.063,0,0,0,0,0,516.9606,1294.2346,1051.2432,5.0608,0,0,4.1851,0.4506784423545901
108041166,2.4342,0.1963,0.02,0,0,0,0,30.293200000000002,38.2295,88.946,26.4357,0,0,8.3064,0.1961882631389609
108051167,0.0708,0.1747,0.0387,0.937,0,0,0,437.4816,1183.2673,1298.2324,13.6,0,0.0651,0,0.40331312156008675
108051168,1.827,0.0867,0,0,0,0,0,72.9731,48.2947,61.9247,21.9831,0,0,2.5289,0.23039363948359445
108051169,2.4569,0.7113999999999999,0.30619999999999997,0.4017,0,0,0,20.4098,4.8365,75.066,20.8281,0,0,0.102,0.038655323828751274
108051170,0.2017,0.1684,0,0.1187,0,0,0,1137.2932,745.5451,1449.6187,9.5868,0,0,2.4004,0.22288790238847833
108051171,0.256,0.1505,0,0,0,0,0,0,1.2106999999999999,49.8392,10.0744,0,0,0,0.01967632470242545
109011172,2.7513,1.4686000000000001,0.1395,2.3054,0,0,0,6.8867,5.2405,68.5698,14.1034,0,0.0488,0,0.051623421400003935
109011173,0.3933,0.3305,0.0203,0,0,0,0,3.3217,2.1106,10.6174,7.3614,0,0,0,0.08737663111876531
109011174,2.0825,0.3152,0.042,0,0,0,0,12.2974,15.7434,12.4336,5.5074,0,0,0,0.3251324308416716
109011175,0.2345,0.473,0.044,0.6008,0,0,0,29.6727,556.6783,4701.2283,109.7561,0,0,3.2395,0.10305179603308984
109011176,0.3388,0.3,0,2.1256,0,0,0,0,3.8221,4.947,9.9335,0,0,0,0.17804537196627382
109021177,2.638,12.133000000000001,0.0393,0,0,0,0,0,36.4674,13850.7782,6.338,0,0,14.503599999999999,0.002619239278318324
109021178,0,0.296,0.1094,0.6817,0,0,0,4.1425,84.0679,207.809,25.522100000000002,0,0,0,0.2605717534031391
109021179,8.5404,0.10419999999999999,0.0278,0,0,0,0,0.4,2016.2913,46189.7136,15.505600000000001,0,0,1492.1279,0.04055071148695296
109031180,0.3933,0.2593,0.0334,1.1936,0,0,0,1.1712,19.4174,45.4518,5.5577,0,3.0968,0.6294,0.2515080196725813
109031181,0.1029,0.1526,0.0316,8.49,0,0,0,5.7802999999999995,84.6078,4310.8115,17.3811,0,0,67.8456,0.01882179569449516
109031182,2.8709,0.2054,0.0395,10.104600000000001,0,0,0,4.4724,9.7131,103.3822,12.42,0,0,0,0.0678250741403594
109031183,0,0.1465,0.0464,0,0,0,0,0.5789,907.0164,17384.8193,19.3336,0,0,26.2484,0.0494605206255503
109031184,1.2555,0.0313,0,1.0931,0,0,0,2.665,34.9172,123.4943,3.6452,0,0,0,0.20895790345514348
