SA2_CODE,Both_Parents_Born_Australia,Both_Parents_Born_Overseas,One_Parent_Born_Overseas
113021260,2424,312,243
113021261,4570,597,394
113021262,3493,490,311
113031263,5952,552,472
113031264,2927,180,155
113031265,4100,415,336
113031266,5461,441,341
113031267,12635,1872,1261
113031268,3160,639,354
113031269,16097,2507,1469
113031270,8633,1565,900
113031271,11581,946,874
114011272,5489,1590,932
114011273,2279,689,385
114011274,3289,670,549
114011275,33,7,0
114011276,2454,929,513
114011277,10269,2434,1930
114011278,12784,2633,2071
114011279,9076,2388,1561
114011280,2950,673,447
114011281,2226,535,397
114011282,9977,2377,1672
114011283,3366,757,534
114021284,7311,2932,1847
114021285,3822,1025,810
114021286,5234,1789,1147
114021287,6047,1842,1166
114021288,2129,580,473
114021289,4028,1271,827
115011290,7774,11716,2609
115011291,6337,11204,2016
115011294,3166,2030,835
115011296,4009,7067,1223
115011553,2423,4076,842
115011554,1646,2840,448
115011555,4328,5890,1260
115011556,3204,4917,1067
115011557,1501,3122,470
115011558,4929,11564,1692
115011559,7958,11973,2579
115021297,10302,6827,2814
115021298,2802,1321,852
115031299,1498,466,320
115031300,13825,3791,2850
115041301,6482,2087,1401
115041302,8637,10505,2737
116011303,3787,10806,1237
116011304,5411,10185,1638
116011306,4646,15249,1582
116011307,10407,10090,3022
116011308,6420,14279,1909
116011560,3063,7533,1066
116011561,4018,10013,1285
116021309,3835,10535,1393
116021310,8481,18728,3181
116021312,6931,7344,1829
116021562,1085,2238,346
116021563,7670,12e3,2394
116031313,7012,7769,1823
116031314,2260,5009,718
116031315,4795,13019,1766
116031316,8316,8372,2007
116031317,4888,14591,1643
116031318,10,14,0
116031319,4900,13612,1685
117011320,13,7,0
117011321,3927,4515,1492
117011322,4606,16365,1900
117011323,2885,6458,1080
117011324,0,4,0
117011325,14,11,3
117021326,8035,12955,3339
117021327,7712,7437,3165
117021328,2701,3492,1100
117031329,3268,4938,1233
117031330,5819,6554,2397
117031331,6426,8740,2322
117031332,8714,10191,3573
117031333,6277,8231,2108
117031334,3364,14546,1381
117031335,5197,12606,1959
117031336,4266,8273,1616
117031337,2472,19984,896
117031338,6438,20617,2510
118011339,5698,8155,2632
118011340,5707,9567,2910
118011341,4602,8066,2043
118011342,0,0,0
118011343,8396,10299,3634
118011344,2267,6282,1566
118011345,5807,5453,2354
118011346,3870,5234,1916
118011347,2961,2761,1123
118021348,9134,10518,3518
118021350,8231,9604,2662
118021564,3475,8925,1351
118021565,2749,10735,1286
118021566,2937,5089,1228
118021567,3367,5167,1296
118021568,2098,6522,944
118021569,5508,7899,2289
118021570,3523,6589,1557
119011354,4848,12759,2725
119011355,65,699,54
119011356,1808,7588,1282
119011357,3292,17850,3241
119011358,5615,8217,1738
119011359,11887,9530,3212
119011360,5031,8625,1725
119011361,3257,14066,2068
119011571,1090,12719,1156
119011572,1022,12530,1013
119021362,3046,13142,1737
119021363,2744,24351,1702
119021364,5880,13462,2880
119021366,1921,15521,1959
119021367,2904,8516,1457
119021573,791,14321,732
119021574,565,8338,521
119031368,2014,19298,1046
119031369,7036,13242,2386
119031370,2496,9402,1141
119031371,4821,5640,1673
119031372,7572,7365,2242
119031373,1747,8023,752
119031374,5372,15602,2125
119041375,3446,14631,1863
119041376,4463,17719,2431
119041377,3015,7651,1359
119041378,1515,8432,712
119041379,3151,10563,1472
119041380,3221,8226,1379
119041381,2450,14597,1287
119041382,5419,7580,1928
120011383,6828,11279,2633
120011384,3933,17804,1634
120011385,7059,7275,2631
120011386,6844,9420,2753
120021387,6232,5568,2500
120021388,10521,9356,4363
120021389,5564,5208,2091
120031390,4731,16029,2039
120031391,3509,18215,1562
120031392,2829,5708,1262
120031393,4126,10299,1982
120031394,5657,7401,2437
120031395,4761,5957,1934
120031396,1310,12679,638
120031575,3077,18900,1530
120031576,683,2342,329
121011398,5042,19692,2212
121011399,5286,12012,2453
121011400,10409,11008,4086
121011401,2914,5576,1245
121011402,9981,10506,3850
121021403,8109,6891,2700
121021404,6099,3198,1988
121021406,7629,7644,2560
121021577,1984,8520,838
121021578,3366,5408,1293
121021579,2025,6227,777
121031407,5888,12172,2294
121031408,8283,10625,3327
121031409,5920,7575,2297
121031410,5723,11423,2604
121031411,7790,7896,2576
121031412,6939,7574,2485
121041413,7126,7760,2856
121041414,6058,8210,2467
121041415,11199,10990,4224
121041416,6360,7588,2291
121041417,3290,5277,1090
122011418,8110,7767,3310
122011419,7804,9084,2976
122021420,6309,3201,2228
122021421,5221,3123,1633
122021422,6846,3629,2200
122021423,11437,7323,3870
122031424,5542,5618,2026
122031425,3547,2423,1171
122031426,8265,11763,3223
122031427,4887,5336,2178
122031428,10868,9124,4128
122031429,8515,7868,3218
122031430,6922,6312,2794
122031431,11626,7300,3993
122031432,1811,1057,545
123011433,7812,2495,1792
123011434,11797,5486,2815
123011435,15893,7250,4318
123021436,9461,5797,2387
123021437,6776,8171,1994
123021438,9012,7513,2552
123021439,0,0,0
123021440,5911,10818,1945
123021441,7617,6001,2038
123021442,6080,13645,1900
123021443,5994,10975,1922
123021444,9209,7719,2451
123031445,3660,1035,685
123031446,6070,1713,1289
123031447,10503,2996,2169
123031448,5674,1656,1131
124011449,2999,1280,850
124011450,11521,3597,3087
124011451,11,0,0
124011452,6624,3469,2011
124011453,6369,2437,1927
124011454,12980,4394,3367
124011455,3269,1457,905
124021456,0,3,0
124031457,9190,3523,2071
124031458,12714,6529,3161
124031459,8392,3067,1982
124031460,11184,6265,2939
124031461,9573,4371,2372
124031462,8679,7263,2298
124031463,4814,2889,1251
124031464,6414,4056,1640
124031465,3161,1037,707
124041466,8323,2710,1799
124041467,9693,2692,2047
124041468,3552,1506,824
124051469,2961,2413,792
124051470,8572,7721,2548
124051580,4731,4728,1315
124051581,6304,6522,1681
125011473,2564,11406,1291
125011475,0,0,0
125011582,757,14525,884
125011583,249,10076,214
125011584,676,6684,637
125011585,773,7315,461
125011586,1351,16529,900
125011587,632,3848,331
125021476,6266,18193,1925
125021477,6328,11700,2215
125021478,4544,10687,1619
125031479,2957,12193,1777
125031480,1604,11217,1298
125031481,2073,15543,1695
