Year,SA2 Code,highest year of school completed (persons over 15) over year 8,persons with post school qual - bachelor ,highest year of school completed (persons over 15) over year 11,highest year of school completed (persons over 15) over year 10,highest year of school completed (persons over 15) did not go to school,persons with post school qual - with a post-school qualification,persons with post school qual - grad dip/grad cert,persons with post school qual -inadequately described,highest year of school completed (persons over 15) not stated,highest year of school completed (persons over 15) over year 12,persons with post school qual - adv diploma,persons with post school qual -certificate,persons with post school qual - postgrad,highest year of school completed (persons over 15) over year 9
2016,109021177,8.7,6,9,25.8,0.3,49.2,0.7,16.7,14.9,31.7,6.3,18.9,0.7,9.5
2016,110031195,6.7,8.1,7,27.6,0.6,54.7,0.9,18.4,16.3,32.5,6.1,20,1.2,9.2
2016,110031196,6.4,8.2,7.7,27.1,0.5,52.1,1.3,17.5,14.6,35,7.2,16.9,0.8,8.6
2016,110031197,6.7,7.8,7.7,29.8,0.4,53.9,1.1,14.9,12.7,32.7,5.9,22.4,1.7,10.1
2016,111021217,4.7,8.8,7.3,34,0.3,55.9,1,8,6.1,37.4,8.2,27.9,2,10.2
2016,111021218,5.8,9.5,7,31.9,0.5,59.4,1.3,12,9.9,34.5,8.7,24.7,3.1,10.5
2016,111031224,5,19.6,5.2,21.5,0.6,64,2.6,9.6,8,53.5,8.6,17.8,5.8,6.1
2016,111031234,3.7,14.5,5.8,23.9,0.5,61.4,1.8,11.7,10,48.5,8.3,21.5,3.8,7.4
2016,115011296,2,28.1,4.7,12.6,0.5,68.3,2.5,4.9,2.8,73.7,9.9,11.4,11.4,3.6
2016,112031551,3.3,13.4,8.9,28.6,0.1,60.9,2,7,5.9,46.3,10.2,25.4,2.5,7
2016,115041301,4.1,9.1,6.9,35.5,0.5,58.7,1.2,8.1,5.9,39.4,9.5,28.8,2.1,7.9
2016,112011243,3.2,15.8,7.3,22.1,0.4,67.8,2,16.7,14.6,47.5,10.6,18.8,3.8,5
2016,112021246,5.8,11.9,6.8,30.7,0.3,59,1.5,11.3,9.5,38.5,7.6,24.6,2.1,8.5
2016,111031227,5,14.5,6.2,25.3,0.6,60.4,1.5,9.8,8.3,47.4,8.7,21.7,4.3,7.1
2016,112021248,5.9,11.7,7.1,28.7,0.4,58.4,1.9,12.4,10.5,39.1,7,22.6,2.7,8.3
2016,114011272,3.5,14,5.6,28.5,0.2,66.6,2.3,13.4,10.8,42.9,10.4,22,4.4,8.5
2016,114011274,6.8,6.9,6.1,33.8,0.3,56.6,1.7,13.2,11.7,29.2,7.5,26,1.6,12
2016,114011277,5,10.1,7.2,30.9,0.3,61.2,1.9,11.4,9.1,37.6,9.9,25.6,2.3,9.9
2016,114011278,5.8,6.2,7.4,29.2,0.3,59.1,1.1,18,16,31.4,7.6,24.8,1.4,9.9
2016,114011280,7.5,5.3,6.3,38.3,0.1,54.1,0.9,11.8,10,24.5,6.5,28.6,1.1,13.2
2016,114011281,5.2,9.4,7.5,34.8,0.1,64.3,1.9,10.4,8.3,34.8,9,31.2,2.5,9
2016,114011282,5.3,8.3,6.7,33,0.2,58.1,1.7,12.7,10.3,34.3,8.1,25.3,1.9,10.3
2016,114021284,2.9,17.3,6.6,22.7,0.2,66.7,2.8,10.8,7.9,53.7,12.2,17.5,6.1,5.9
2016,111031229,1.7,26.6,5,14.9,0.3,73.1,2.9,11.1,9.4,64.7,8.5,14,10.1,3.9
2016,111031232,4.6,9.9,6,31.2,0.2,62.6,1.3,16.8,14.6,32.6,7.9,24.2,2.7,10.8
2016,111031233,5.3,12,6.4,29.3,0.5,57.8,1.2,9.8,7.4,40.4,8.3,23,3.5,10.7
2016,115031299,4,9.5,5.8,29.3,0.1,67.3,1.7,18.1,15.6,38.2,8.7,25.6,3.4,7
2016,111031235,3.4,21.1,5.5,20.5,0.4,68.2,2.7,9,7.8,56.8,9.3,19.7,6.3,5.5
2016,112011237,4.8,14,7,29.1,0.3,63.5,2.3,10.9,8.7,42.4,10,23.1,3.2,7.8
2016,112011238,2.3,19.5,6.3,20,0.2,70.6,2.4,15.2,13.4,53.8,11.5,17.1,5.1,3.9
2016,115011553,1.8,24.8,4.8,15.9,0.4,68.5,2.3,6.2,3.9,69.2,11.3,14,10,4.2
2016,116021312,5.2,15.1,5.6,24.6,0.9,59.7,1.2,9.9,8.2,48.8,8.3,19.8,5.3,6.7
2016,115011554,2.7,21.8,4.3,14.9,0.5,68.4,2.2,16.7,14.1,58.5,9.2,10.1,8.5,5
2016,115011555,2.2,23.1,5.2,16.2,0.6,66.6,2.5,6.1,3.9,67.5,11.5,14.2,9.2,4.4
2016,116011304,6,13.5,5.8,21.2,1.5,53.8,0.9,8,6.1,52.4,8.7,18,4.7,7
2016,116011306,4.9,18.8,5.2,17.5,1.2,56.6,1.1,8,6,59.9,8.4,14.5,5.7,5.2
2016,116011308,5.3,15.6,5.4,20.2,1.2,57.6,1.3,8.8,6.7,55.6,9.1,16.3,6.5,5.7
2016,116031313,7.6,4.9,7.8,25.3,1.6,41.8,0.3,13.2,11.7,36,5.3,16.8,1.1,10
2016,120031394,5,24.5,4.1,10.5,1.6,69.8,3.8,10.2,8.6,67.4,9.2,11.9,10.2,2.7
2016,117011321,3.5,16.1,5.3,17.8,0.6,63.1,1.5,11.3,9.5,58.6,10.4,17.8,5.9,4.7
2016,117031329,0.9,32.5,2.9,5.5,0.5,82,2.7,18.4,16.9,71.8,8.2,6.8,13.4,1.4
2016,117021327,3.4,28.6,3.6,9.2,1.1,74.3,3.4,11.1,10.2,70.2,9,10.2,12,2.3
2016,117011323,5.2,15.5,4.9,15.6,1.5,59.1,1.2,12.2,10.1,58,8.6,15.1,6.4,4.7
2016,117011325,null,12.1,null,6.9,null,86.2,null,55.2,55.2,29.3,null,10.3,8.6,5.2
2016,117031337,1.3,27.8,2.2,3.2,1,73.6,1.2,17.9,16.3,74.5,10.9,4.9,10.8,1.4
2016,118021568,3.5,23.9,3.9,10.4,1,64.6,1.7,9.4,7.3,70.5,8.4,10.6,10.6,3.2
2016,117021326,6.4,23.6,3.9,10,2.7,65,2.6,10.6,9.5,64.7,8.2,10.8,9.3,2.7
2016,118021569,2,30,3.7,8.6,0.3,76.3,3,10.2,8.3,75.1,9.3,11.3,12.5,2
