SA2 Code (2016),Persons Total Separated,Persons Total Widowed,Persons Total Divorced,Persons Total Never Married,Persons Total Married,Persons Total Total
122031426,609,769,2194,7594,9425,20591
116031313,705,749,1102,6029,5201,13786
116031314,197,272,369,2083,3352,6276
116031315,510,547,883,5747,8208,15899
116031316,703,767,1120,6388,6234,15210
116031317,785,851,1276,6132,8005,17043
116031318,0,0,10,22,3,38
116031319,577,922,1028,5728,8534,16786
122031427,165,580,637,2571,5893,9843
117011320,0,0,3,4,7,21
117011324,0,0,3,3,3,9
118021568,186,348,502,3749,3795,8579
117011321,231,401,707,3140,4113,8592
117011322,523,878,1398,8807,9105,20715
122031428,319,1176,1112,5033,12053,19702
122031429,427,563,1433,6707,7748,16881
120031394,412,581,1198,6838,5224,14257
118021569,354,625,1065,6832,5327,14197
117011323,309,513,861,3539,4166,9379
121031410,256,903,765,3772,10479,16173
121031411,233,1305,809,3758,9405,15510
121031412,238,757,658,4143,8612,14409
121041413,400,607,1722,5978,7323,16032
117021327,369,467,1352,9844,5491,17522
117011325,0,0,0,18,40,58
117031337,489,334,1475,14976,8879,26159
121021406,287,686,952,4031,8724,14678
117021326,615,1025,1818,11369,7926,22760
121041414,362,450,1397,6958,6516,15682
121041415,490,1224,2070,7483,12196,23465
121041416,391,697,1652,7060,6129,15929
117021328,189,227,537,3384,2334,6672
117031329,231,168,857,7128,2393,10778
117031330,295,222,980,9003,3980,14483
117031331,397,473,1482,10536,4985,17872
122021421,213,601,719,2142,5124,8797
122021422,228,439,1021,3050,5864,10603
122021423,482,1168,1736,5364,10440,19191
121021579,169,477,585,1966,4450,7657
122031430,298,707,1019,4039,6927,12991
117031332,364,349,1330,15925,4744,22709
121031407,272,872,940,4989,10297,17376
121031408,281,878,886,5210,10979,18234
121031409,189,486,550,3390,8092,12718
117031333,522,601,1873,13225,4197,20413
117031334,360,316,1242,12171,5996,20090
124011452,444,679,1579,4536,4108,11338
124011453,330,367,1003,3002,4306,9011
124011454,473,1088,1564,5018,9298,17433
117031335,401,434,1526,14655,4213,21229
122031431,559,1517,1889,6325,10074,20366
122031432,56,140,172,815,1749,2931
117031336,308,365,1155,10568,3212,15606
117031338,634,719,2137,18345,8406,30235
118011339,316,488,1098,7989,5695,15587
118011340,340,451,1223,9702,5826,17544
124031459,392,612,865,3425,6107,11401
118011341,340,856,1202,6545,5391,14331
118011342,0,0,0,0,0,0
118011343,426,1135,1832,8637,9265,21296
118011344,181,425,658,2843,4536,8646
125011585,195,307,502,2452,3850,7304
118011345,245,331,1129,6945,4541,13199
118011346,175,506,625,3084,5049,9439
118011347,129,401,658,2545,2814,6553
118021348,478,695,1640,10220,8222,21249
118021350,616,1149,1605,7488,9193,20047
118021564,180,284,568,8742,3634,13418
118021565,206,433,615,8039,4535,13838
123011433,276,894,834,2711,5653,10375
118021566,142,551,531,3195,3783,8208
118021567,295,481,910,3701,3541,8930
124031461,544,775,1280,4628,6483,13711
118021570,229,408,719,5859,4010,11228
124031462,635,693,1489,5925,6554,15293
119011354,700,1164,1363,5323,8372,16922
124031463,187,234,486,2296,4261,7460
119011355,30,17,34,234,399,713
119011358,403,971,1111,4261,6935,13677
119011572,469,595,1339,3924,6282,12606
119011356,339,405,585,2744,4585,8649
124051470,520,517,1159,5460,8094,15749
119011357,766,1152,1382,6466,9919,19678
125011475,0,0,0,0,0,0
119011359,598,1146,1497,6199,11115,20559
119011360,396,911,1079,4188,6568,13144
119011361,658,991,1387,5170,8000,16214
