SA2 Code (2016),Persons Total Separated,Persons Total Widowed,Persons Total Divorced,Persons Total Never Married,Persons Total Married,Persons Total Total
121021404,197,318,636,2575,5421,9142
124041468,176,197,415,2374,2900,6070
124051469,154,132,313,1955,2646,5195
126021591,538,1199,1551,7835,11474,22595
127011504,717,880,1362,5200,4987,13142
121011398,453,939,1429,8654,12195,23676
126011496,277,831,856,4589,10008,16561
126021497,349,889,1129,7055,11511,20931
121011399,388,632,1168,6162,8917,17266
121021577,253,340,849,3010,5238,9686
121041417,256,286,800,4134,4170,9642
122011418,322,568,1060,4436,9006,15391
122011419,426,731,1707,8096,7659,18617
127021520,288,546,596,2951,4637,9022
122021420,261,532,911,2720,5677,10101
127011505,226,416,443,2409,3767,7261
121021578,215,390,645,2512,4835,8601
127021521,11,0,6,18,8,35
122031424,238,673,838,3346,5999,11094
122031425,133,406,444,1640,3297,5921
123011434,475,513,1092,4804,8952,15836
123011435,779,549,1598,6974,11417,21313
123021436,709,665,1308,5753,6073,14512
123021438,668,477,1363,6207,7147,15863
123021439,0,0,0,0,0,0
125011473,479,242,1021,6000,8038,15778
123021442,678,960,1544,6115,8997,18296
123021443,544,620,1159,5316,7840,15486
123021444,670,620,1306,6030,7741,16373
124011455,147,353,598,1456,2519,5076
124031460,519,407,1105,5320,8796,16143
124031464,543,899,1419,4452,3799,11110
124031465,120,174,289,1304,2170,4052
124041466,429,872,1319,4100,4708,11425
124041467,525,529,1246,4702,5125,12120
124051580,381,443,860,3586,3905,9168
124051581,667,779,1420,5320,4570,12753
125011582,400,529,743,4719,7434,13821
125011583,253,243,547,3009,5310,9367
125021476,413,1060,1181,6223,13365,22239
127011506,363,413,756,4039,8068,13639
127011592,3,3,5,14,20,52
125011584,211,312,407,2150,3559,6641
125021478,396,648,1146,4664,7567,14423
127031598,1046,1228,1925,6635,10609,21448
127031599,428,544,787,3134,4044,8937
127031600,354,462,631,3997,7607,13051
127031601,244,257,583,1644,2012,4740
125011586,374,587,1026,6369,8683,17037
125011587,147,201,347,1315,2059,4069
125021477,434,832,1342,5541,9040,17191
125031485,820,1094,1586,7504,11435,22441
125031486,3,0,0,7,3,8
125041588,240,650,609,2577,5892,9974
127011594,385,379,695,3446,4967,9875
125041589,284,600,745,3395,7308,12333
126011495,366,887,1027,7224,12866,22364
127011597,381,275,649,3419,6424,11152
128011529,344,649,994,4122,7887,13992
128011530,427,1132,1310,4542,7499,14914
126021590,56,187,160,992,1934,3335
127011593,206,158,251,1892,3065,5578
127021514,266,315,483,2710,4231,8008
127021515,646,865,1227,4890,6681,14319
127021516,603,821,1217,5199,7366,15205
128011531,320,1123,982,3428,7302,13156
127011595,338,288,577,3199,5106,9501
127011596,287,240,483,2686,4900,8596
127021509,495,610,1040,4608,6126,12883
127021510,528,806,796,5105,8257,15498
127021511,813,1155,2518,6717,9076,20280
128021533,121,425,334,1492,2863,5238
128021534,146,293,395,2566,5252,8650
127021512,514,758,1373,4877,6110,13630
127021513,661,897,1792,5836,7638,16822
127021517,229,318,424,2210,3570,6758
127021518,65,217,193,1154,2039,3665
127021519,583,917,1109,4775,7184,14573
127031522,414,581,842,3986,6473,12297
127031523,483,674,1019,4155,8265,14597
127031524,434,591,980,5282,8725,16013
128011602,371,637,1148,3363,4058,9573
128011603,183,552,606,2589,5682,9611
128011604,680,946,2145,7548,8744,20062
128011605,27,88,118,689,1602,2516
128011606,121,298,389,1920,3472,6198
128021535,381,651,1132,5243,9635,17032
128021536,362,772,1035,4518,9867,16559
128021537,0,0,0,12,5,26
128021538,552,1150,1830,5666,7944,17146
128021607,344,623,864,3485,7680,12998
128021609,42,51,155,927,1789,2965
128021608,116,264,306,1553,3457,5701
