SA2_CODE,SA2_NAME,IS_SYDNEY,IS_SUA,LAB_FORCE,UNEMPLOYED,PERC_DWELLING_FLAT,PERC_DWELLING_HOUSE,PERC_DWELLING_SEMI,PERC_DWELLING_OTHER,BORN_OVERSEAS_MOD,SEIFA_Edu_Occ_Index,SEIFA_Economic_Res_Index,SEIFA_Rel_SocioEco_Adv_Disadv_Index,SEIFA_Rel_SocioEco_Disadv_Index,ENG_PROFICIENT_MOD,LANG_HOME_ENGLISH_MOD,EDU_BACHELOR_MOD,EDU_POSTGRAD_MOD,EDU_CERTIFICATE_MOD,EDU_DIPLOMA_MOD,SEPARATED_MOD,DIVORCED_MOD,MARRIED_MOD,WIDOWED_MOD,PERC_HHOLD_SIZE_OVER_5,PERC_HHOLD_NON_FAM,MALES,FEMALES,ANCESTRY_BOTH_AUST,ANCESTRY_ONE_OS,ANCESTRY_BOTH_OS,ARRIVAL_LAST_20,ARRIVAL_20_50,ARRIVAL_OVER_50,INDIG_POP,PERC_OPEN_SPACE,COMMUTE_MED_DIST,COMMUTE_AVG_DIST,COMMUTE_CAR,COMMUTE_WALK,COMMUTE_BUS,COMMUTE_MOTORBIKE,COMMUTE_TRAIN,COMMUTE_BIKE,COMMUTE_OTHER,COMMUTE_PUBLIC_TRANS
122021420,Avalon - Palm Beach,1,1,6356,242,0.13849723362484384,0.8365161520613957,0.01695520257005176,0.008031411743708727,1336.0431499460626,1128,1126,1129,1106,11554.226537216828,5428.409924487594,1085.7799352750808,455.9590075512406,1650.9536138079827,657.7367853290183,127.8252427184466,446.16396979503776,2780.321467098166,260.5480043149946,0.0348329200614004,0.22303603071470762,3134.4120819848977,3221.5879180151023,3089.8446601941746,1091.1672060409924,1567.695792880259,540.1963322545847,570.5609492988134,205.6957928802589,71.50377562028048,0.246022984765911,10.2,16.9,3853,233,300,48,19,38,52,319
122031432,Terrey Hills - Duffys Forest,1,1,1867,66,0.0214168039538715,0.9036243822075782,0.0214168039538715,0.05354200988467875,375.27390385631276,1090,1154,1128,1107,3380.4239302694136,1534.135499207607,274.1817221341786,117.36555731642895,527.1587427363972,157.80243000528262,27.61542525092446,84.81880612783941,862.4889064976228,69.03856312731115,0.05268153773137162,0.1232876712328767,932.513734812467,934.486265187533,893.0631273111463,268.75726360274695,521.2411516111991,150.405441098785,181.47279450607502,52.27205493924987,21.69783412572636,0.8406507729949336,14,15.1,1192,56,82,6,11,7,6,93
106031122,Raymond Terrace,0,1,5855,583,0.01336491287430215,0.7724581289121976,0.15750296058196583,0.056673997631534426,428.3438385269122,866,930,879,895,10586.68590651558,5126.0276203966005,243.82011331444758,77.12677053824362,2374.3434844192634,285.70077903682716,205.67138810198298,554.4004957507082,1836.529390934844,284.45679886685554,0.035210573034816055,0.30958255205763346,2893.0832152974504,2961.9167847025496,4164.430949008498,524.1303116147309,553.5711756373937,122.73937677053824,190.3289660056657,109.05559490084985,935.8877478753541,0.25083024010288035,18,20.4,4205,114,54,39,3,14,30,57
106031120,Lemon Tree Passage - Tanilba Bay,0,0,2503,221,0.031160572337042926,0.8937996820349762,0.06359300476947535,0.011446740858505564,266.21374834046316,892,968,914,942,4599.47942174362,2244.170821655111,111.50700693317597,41.72282047499631,1156.7928898067562,167.99896739932143,83.44564094999262,239.26006785661602,1007.9938043959286,145.84525741259773,0.028185328185328186,0.29801579657098826,1261.2845552441363,1241.7154447558637,1700.666469980823,261.4137778433397,319.01342380882136,52.0612184688007,127.01460392388258,75.69184245463933,252.1830653488715,0.11930078513251195,33.2,32.8,1695,32,24,17,0,9,13,24
106031121,Nelson Bay Peninsula,0,1,8381,602,0.18000310752019888,0.5296768178993163,0.26817899316345556,0.02214108141702921,1260.192914296286,975,992,976,997,15045.176125063595,7146.390823736182,669.8287775773554,272.50557328523195,3539.4713935525647,701.6146339207252,238.0062901808427,792.3206142176588,3609.245224550206,606.2570648906157,0.01977435399733107,0.31387658515866756,4065.4885527958927,4315.511447204107,5023.715831830165,890.0039776143564,1523.0076777207344,394.2221451366727,503.5344803663105,320.57199019471807,467.4846676841959,0.656339386892801,6.7,25.6,5682,251,73,33,12,38,50,85
106031119,Anna Bay,0,1,2534,164,0.007358351729212656,0.7888153053715967,0.13134657836644592,0.07247976453274467,285.1726618705036,953,1016,970,997,4552.345323741008,2196.3069544364507,187.0767386091127,66.84412470023982,1147.6354916067146,184.03836930455637,71.18465227817747,233.52038369304557,1054.748201438849,133.68824940047963,0.033258873169520975,0.2667989090007439,1247.4676258992806,1286.5323741007194,1613.8081534772184,289.0791366906475,360.26378896882494,82.03597122302159,129.34772182254198,75.09112709832135,144.10551558753,0.4918515797207936,10.6,23.8,1788,75,30,8,0,5,15,30
106031123,Seaham - Woodville,0,0,2897,127,0.004289544235924933,0.9882037533512065,0.0016085790884718498,0.005898123324396783,162.82408759124087,993,1112,1047,1066,5451.963686131387,2678.1390510948904,256.3950729927007,93.57098540145985,1328.4965328467151,226.26204379562043,67.66715328467153,133.74835766423357,1364.444708029197,72.425,0.0545985401459854,0.13308095515433896,1449.557299270073,1447.4427007299269,2222.4430656934305,248.46532846715326,231.54854014598538,48.63576642335766,76.12554744525546,39.12007299270073,185.0273722627737,0.09653892217504513,21.4,26.7,2056,26,3,15,4,0,10,7
101021012,Queanbeyan West - Jerrabomberra,0,1,7386,254,0.02145178764897075,0.808884073672806,0.1668472372697725,0.0028169014084507044,1114.9209125475286,1089,1115,1113,1100,13521.154220532319,6056.5199999999995,843.0711787072244,598.7434220532319,2069.765019011407,613.9085931558935,128.62311787072244,398.78783269961974,3057.7478326996197,133.11650190114068,0.03249969795819741,0.18017147687477358,3685.136577946768,3700.8634220532317,4232.20608365019,954.282433460076,1605.8231178707224,452.1467680608365,494.2722433460076,137.04821292775665,388.1160456273764,0.5445101579805394,14.3,13.8,5881,69,40,77,3,42,47,43
101021009,Queanbeyan,0,1,5918,306,0.36312157140329143,0.4006370553884268,0.22332330560962663,0.012918067598655105,1414.9447907390918,998,944,982,990,10199.19608192342,4067.7686553873555,678.7519145146928,355.71237756010686,1872.8915405164737,420.0040961709706,186.02439893143367,510.1178984861977,1894.4977738201246,317.2427426536064,0.014383043149129448,0.45481112674531876,2975.8634016028495,2942.1365983971505,2844.1180765805875,593.9079252003562,1793.3173642030276,792.579875333927,341.4838824577026,229.76384683882458,326.20142475512023,0.13118780702859303,9.7,10.7,4367,239,112,67,3,54,34,115
101021008,Karabar,0,1,4392,208,0.033126293995859216,0.7905944986690329,0.17450458444247263,0.001774622892635315,650.7429375219787,966,1004,985,996,7874.298440979956,3423.0931895440162,301.68936818661354,165.25987574727466,1502.7837299261516,282.1258937990857,131.28120970577893,300.14488336654557,1527.4954870472395,183.2788653147345,0.030006743088334457,0.26626221772834513,2174.634626655726,2217.365373344274,2516.4806001641073,477.2458094010081,964.7881842691361,229.09858164341813,312.50076192708946,126.13292697221897,521.5210409096237,0.28869316147511637,10.8,11.6,3413,62,37,45,3,19,22,40
