"","SA2_CODE","Bicycle ","Bus ","Car, as driver ","Car, as passenger ","Ferry ","Motorbike/scooter ","Taxi ","Train ","Tram ","Truck ","Walked only "
"539","127011597",6,75,5126,348,3,19,7,283,0,105,28
"540","127021509",7,162,4201,409,3,6,5,263,3,92,36
"541","127021510",7,160,5607,477,0,9,7,244,0,156,63
"542","127021511",24,77,4854,756,0,19,6,1138,4,91,406
"543","127021512",11,130,4041,485,0,21,5,310,3,105,74
"544","127021513",16,86,4375,594,0,8,8,911,3,83,134
"545","127021514",3,77,2810,258,0,4,7,185,0,65,26
"546","127021515",21,76,2913,333,4,12,9,781,0,47,135
"547","127021516",16,84,4138,464,0,25,3,440,3,108,68
"548","127021517",3,65,2116,179,0,3,5,142,0,58,24
"549","127021518",0,11,1303,74,0,3,0,32,0,136,45
"550","127021519",22,118,4481,355,0,30,7,286,0,124,100
"551","127021520",3,92,2835,272,0,11,0,249,0,47,29
"552","127021521",0,0,6,0,0,0,0,0,0,3,0
"553","127031522",12,95,4333,313,0,22,10,482,3,74,73
"554","127031523",22,92,5935,336,0,37,14,557,0,106,99
"555","127031524",62,89,6453,373,0,63,9,1282,0,88,266
"556","127031598",14,199,4862,429,0,24,23,986,0,71,551
"557","127031599",3,89,2238,227,0,18,4,143,0,52,50
"558","127031600",8,96,5402,401,0,19,13,562,0,82,55
"559","127031601",0,29,959,75,0,3,5,322,0,18,209
"560","128011529",37,26,5541,329,0,44,4,1176,0,75,170
"561","128011530",30,60,5163,323,0,39,20,1077,0,57,407
"562","128011531",20,70,4624,306,0,31,11,300,0,69,95
"563","128011602",23,33,3616,197,0,21,5,819,0,54,260
"564","128011603",20,25,3803,219,0,25,0,524,0,54,69
"565","128011604",98,44,7789,362,9,68,12,1533,0,123,488
"566","128011605",4,6,1061,62,0,8,0,99,0,18,12
"567","128011606",23,10,2522,162,0,19,4,413,3,40,89
"568","128021533",9,6,2026,87,0,4,3,371,0,40,52
